 [1] "capsule bleak pointblank just way "                                                                                                    
 [2] "makes case coldblooded precision intelligence "                                                                                        
 [3] " serial killer chic relatively new entry cultural vocabulary one stomachturning ones "                                                 
 [4] "ive never found someone automatically admirable even interesting killed creatively great numbers apprehensions seeing henry "          
 [5] " wasnt sure wanted see story multiple murderer henry lee lucas portrayed kind nihilistic heroantihero "                                
 [6] "thankfully thats way henry works "                                                                                                     
 [7] " director john mcnaughton took small budget gallery actor friends created chilling intelligent piece work "                            
 [8] " doesnt provide cheapjack explanations henrys behavior shows unrepentant unidolizable man killed mood struck "                         
 [9] " films opening henrys friend ottis toole sister comes stay tries find work chicago "                                                   
[10] " viciously riveting scene admits matteroffactly murdered mother covers hand "                                                          
[11] " damned together moment "                                                                                                              
[12] "henry ottis eventually begin kill fun "                                                                                                
[13] " movie especially good showing seem drifted casually theres scene two go buy new tv "                                                  
[14] " pawnbroker talk goads henry ugly words henry responds stabbing man death soldering iron "                                             
[15] " preface smashes us suddenly broker "                                                                                                  
[16] " scene many damned movie unseen steal video camera film murder whole household playing back enjoyment "                                
[17] " movie however glorify killings shows instead henry feels joy work irritation "                                                        
[18] "henry succeeds thanks excellent writing direction well acting "                                                                        
[19] "michael rooker credible henry first frame just standing rest cast works unaffected casual well "                                       
[20] " producers originally comissioned slasher film mcnaughton decided give something memorable consequently film nearly didnt see release "
[21] " film glorify justify just shows us unflinching coldness henry "                                                                       
[22] "im hard pressed see anyone can see consider henry kind victim hero "                                                                   
[23] " probably henry "                                                                                                                      
