 [1] " big surprise "                                                                                                           
 [2] " good trailer hinted pulled impossible making blues brothers movie without jake blues john belushi dumb idea really hope "
 [3] " replaced just fine "                                                                                                     
 [4] " john goodman didnt much anything brilliant actor joe morton can really sing "                                            
 [5] " fourth blues brother j evan bonifant whos ten "                                                                          
 [6] " another fears film hes really good dancer plays mean harmonica although may dubbed "                                     
 [7] "things intellectually bothered like mission god everyone richer filmed chicago gave problems "                            
 [8] "im quite pleased less car pileups meant less music john landis seems lost interest whole thing "                          
 [9] "theres early crashes one huge pileup stops "                                                                              
[10] " just music "                                                                                                             
[11] "one problems first cab calloways song good actually blues brothers look dull theres problems "                            
[12] " music good ever tons great musicians showing exception johnny lang cant sing musicians great job "                       
[13] " real problems special effects "                                                                                          
[14] " superfluous waste money "                                                                                                
[15] "since film isnt well mean possibility another sequel want see "                                                           
[16] " bluegrass version riders sky even better rawhide "                                                                       
[17] " http www geocities comhollywoodacademy "                                                                                 
[18] "remove spam reply "                                                                                                       
[19] " drive carefully recklessly mama childs toy excercise take walking behind coffins friends took exercise "                 
[20] "peter otoole "                                                                                                            
