 [1] "just inseparable team sgt "                                                                                                                                               
 [2] "martin riggs mel gibson sgt "                                                                                                                                             
 [3] "roger murtaugh danny glover "                                                                                                                                             
 [4] "lets just say one partner asks partner strip boxer shorts asks run middle road flapping arms feverishly cackling like chicken just create distraction partner actually "  
 [5] " familiar lethal weapon family back including rene russo now expectant mother riggs child joe pesci sopranalike foulmouthed former accountant decided become private eye "
 [6] "new team chris rock also fasttalking coming detective "                                                                                                                   
 [7] "trouble seems follow two veteran detectives ever go film exception "                                                                                                      
 [8] "even just taking leisurely boat ride somehow manage collide freighter ship "                                                                                              
 [9] " ominous music clues us confrontation happen "                                                                                                                            
[10] "gunfire ensues detectives want learn freighter questioning chinatown crime lord "                                                                                         
[11] "although dont know theyre looking inquisitiveness causes bad guys take action "                                                                                           
[12] " theres plenty action two movies "                                                                                                                                        
[13] "led fighting sensation jet li whose martial arts skill nothing less impressive can make sure one finds "                                                                  
[14] "li ruthless approach will kill anyone just make point develops enormous disdain two detectives "                                                                          
[15] " terrific car chases explosions gunshot galore "                                                                                                                          
[16] " summer action recipe followed letter result nothing less pure unadulterated summer fun "                                                                                 
[17] " even many explosions can get boring "                                                                                                                                    
[18] " counter treated several amazingly choreographed fight sequences jet li "                                                                                                 
[19] "luckily hed rather fight handtohand instead firing guns "                                                                                                                 
[20] "meanwhile detectives arent reloading guns running fireballs theyre engaged sophomoric banter silly conversations provide nice diversion hail bullets "                    
[21] "everybody gets shtick "                                                                                                                                                   
[22] "russo screams delivery crime lord funny bits hes interrogated given laughing gas pesci rock funny go discussing drawbacks cellular phones "                               
[23] "gibson glover always sync film moves brisk pace get final terrific mano mano "                                                                                            
[24] "score one old guard "                                                                                                                                                     
