 [1] "theres quilt fabric threadeach patchwork design unique story stories tell "                                                                                                                                                                                                                                     
 [2] " make american quilt first hollywood release australian director jocelyn moorhouse proof come understand tales seven makers imbue creation passion vitality "                                                                                                                                                   
 [3] " sorrows joys longings sufferings loves women sewn quilt bittersweet memories given expression one young woman applies lessons past uncertain future "                                                                                                                                                          
 [4] "motion pictures filled male bonding rituals make american quilt presents distinctly feminine alternative "                                                                                                                                                                                                      
 [5] " quilting bee consists seven members sisters gladys ann bancroft hy ellen burstyn sophia lois smith woman known frightening children emma jean simmons timid wife perpetually unfaithful man constance kate nelligan affair emmas husband anna maya angelou leader group marianna alfre woodard annas daughter "
 [6] " project theyre busy wedding quilt hys granddaughter finn winona ryder just become engaged "                                                                                                                                                                                                                    
 [7] "shes spending summer hy gladys away fiance decide whether lifelong commitment really wants whether better marry friend lover "                                                                                                                                                                                  
 [8] "one greatest pleasures make american quilt comes watching array fine performances impressive ensemble cast "                                                                                                                                                                                                    
 [9] " winona ryder ann bancroft ellen burstyn maya angelou minor players like rip torn claire danes kate capshaw film overflowing realized talent "                                                                                                                                                                  
[10] " performances good enough fact cover many scripts weaknesses "                                                                                                                                                                                                                                                  
[11] " make american quilt basically unremarkable affecting tale love across generationsa sort truncated american version joy luck club dash fried green tomatoes added "                                                                                                                                             
[12] " probably many characters "                                                                                                                                                                                                                                                                                     
[13] " instead really getting know presented quick glimpses single defining event lives "                                                                                                                                                                                                                             
[14] " learn root smoldering resentment gladys hy told reasons emma stays husband sophia irascible "                                                                                                                                                                                                                  
[15] " episodes well love annas life mariannas soul mate look reasons constance entered affair friends husband "                                                                                                                                                                                                      
[16] " sum total tales meant provide framework finns story whether go forward marriage dally hunky stranger "                                                                                                                                                                                                         
[17] " emotional epiphany make american quilt "                                                                                                                                                                                                                                                                       
[18] " stories welltold difficult really connect characterstheir moments pass quickly "                                                                                                                                                                                                                               
[19] " certainly feel something eight principals emotional investment tenuous "                                                                                                                                                                                                                                       
[20] " isnt enough depth pull viewer way many personalities relationships feel half formed like quilt patches missing "                                                                                                                                                                                               
[21] " put bluntly enjoyed watching film didnt much "                                                                                                                                                                                                                                                                 
[22] " whole make american quilt nicelyunderstated drama lot say love passion monogamy relationships "                                                                                                                                                                                                                
[23] "finns segment far compelling shes focal point actions shaped everyone elses experiences "                                                                                                                                                                                                                       
[24] " patches american quilt successful varying degrees "                                                                                                                                                                                                                                                            
[25] " theres disappointment script doesnt resonance privilege seeing fine cast top form allows viewer enjoy picture even story somewhat conventional "                                                                                                                                                               
