 [1] "every see film effective delivering goods easy forget forgive glaring imperfections "                                                                                                                                                   
 [2] " case good will hunting subtle character study socially inept mathematics genius struggles find path life "                                                                                                                             
 [3] "despite serious character problems still good film "                                                                                                                                                                                    
 [4] " probably know plot ll make quick "                                                                                                                                                                                                     
 [5] "will hunting damon janitor m t s really smarter einstein nobody knows "                                                                                                                                                                 
 [6] " likes go friend chuckie affleck workingclass buddies drink beer "                                                                                                                                                                      
 [7] " s goodlooking charismatic witty terrible time authority stiff college folk "                                                                                                                                                           
 [8] " getting tiff law distinguished professor skarsg rd discovers will s genius offers chance clean record avoid jail time price must attend weekly sessions therapist work various mathematical problems stumped academic elite professor "
 [9] " outsmarting scaring hell couple different psychologists meets match hooked oncepromising therapist named sean maguire williams problems "                                                                                              
[10] " meantime will meets british medical school student driver begin fall love "                                                                                                                                                            
[11] " story starts well enough pretty original basis film "                                                                                                                                                                                  
[12] "even though ve seen movies misunderstood erratic prodigies shine ring bell script creates complex narrative doesn t just focus solely one character "                                                                                   
[13] "alas though perfect film much feel like ve watching "                                                                                                                                                                                   
[14] " one real problem unrealistic nature main character "                                                                                                                                                                                   
[15] " possible lowly janitor intelligent "                                                                                                                                                                                                   
[16] " course "                                                                                                                                                                                                                               
[17] " possible estranged deep human relationships "                                                                                                                                                                                          
[18] "usually yes "                                                                                                                                                                                                                           
[19] " possible also handsome funny quick tongue citystreet tough "                                                                                                                                                                           
[20] " likely "                                                                                                                                                                                                                               
[21] "come usually guys total nerds can t even buy shirts much less talk harvard student hip pub picking phone numbers pretty med school "                                                                                                    
[22] "girls "                                                                                                                                                                                                                                 
[23] "will just little perfect order accept character disbelief suspension needs excellent working condition "                                                                                                                                
[24] " heavyhanded antiwar statement made will government job interview late film also boorish overlong pompous completely unnecessary "                                                                                                      
[25] " sounds pretty bad film somehow makes ways "                                                                                                                                                                                            
[26] "damon s acting overshadows fact character slightly unbelievable performance truly extraordinary "                                                                                                                                       
[27] " leads really good part review "                                                                                                                                                                                                        
[28] " strength movie can summed one single word acting "                                                                                                                                                                                     
[29] " can t recall seeing film recently wellacted top bottom "                                                                                                                                                                               
[30] " minnie driver s frustrated lover ben affleck s laidback best friend small roles performances magnificent "                                                                                                                             
[31] "robin williams skill given bereaved psychologist ve legendary career knocked path somewhere line "                                                                                                                                      
[32] " real gem though stellan skarsg rd s turn professor lambeau awardwinning mathematician feels reduced comparison younger smarter will hunting "                                                                                          
[33] " scenes williams skarsg rd two old college pals ve brought back together enigmatic kid display best acting ve ever seen "                                                                                                               
[34] " say delivering goods m talking "                                                                                                                                                                                                       
[35] "watching two work going see movies "                                                                                                                                                                                                    
[36] "gus van sant s die drugstore cowboy cold urban direction right well danny elfman s sauntering musical score "                                                                                                                           
[37] " highly recommend good will hunting "                                                                                                                                                                                                   
[38] "despite faults still intriguing fascinating film likely see better acted one year "                                                                                                                                                     
