 [1] "plot peculiar french girl grows lonely father doesnt quite know wants life "                                                                                                                                                                                                                                                                                               
 [2] "one day falls upon something believes ticket happiness may helping others "                                                                                                                                                                                                                                                                                                
 [3] " starts people around suddenly falls guy cant act strongly enough shy dreamy nature "                                                                                                                                                                                                                                                                                      
 [4] "critique clever quirky original french flick set picturesque paris featuring endearing lead giant imagination much loneliness little bit love everyone "                                                                                                                                                                                                                   
 [5] " feelgood kind movie fairy tale grownups bummed life "                                                                                                                                                                                                                                                                                                                     
 [6] " doesnt pretend deep doesnt weigh long expositions intricate studies characters basically just cute movie vein chocolat pay forward amazing visuals incredibly nice intentions chocolat somehow able nab oscar nomination best picture last year sham many different levels might well slap film consideration also since quite bit better much original former "          
 [7] "one thing film isnt though least according best film year bestowed honor best least different film festivals far year "                                                                                                                                                                                                                                                    
 [8] " actually managed stagnate little bit halfway just went way long little two hours felt even longer much second half movie devoted many different characters werent interesting lead lot indecisiveness ms amelie got frustrating "                                                                                                                                         
 [9] "thankfully film doesnt bog much stuff actually goes way invent new ways shoot scenes integrate moments fantasy fabric transport audience inside imagination kindhearted french girl "                                                                                                                                                                                      
[10] " whole lot fun carries beautiful message love support fellow man "                                                                                                                                                                                                                                                                                                         
[11] " lead audrey tautou perfect role gives enough moments truth develop character someone care end film "                                                                                                                                                                                                                                                                      
[12] "unfortunately rest cast isnt welldeveloped even though pretty appealing couple couldve left save time least one left stranded plotwise films end happened guy caf spying exgirlfriend whole movie "                                                                                                                                                                        
[13] "now havent seen many recent french films will admit kind scene theyre developing le pays du vin wouldnt mind catching flicks future crimson rivers another french film saw earlier year really liked ironically film directed mathieu kassovitz costar film "                                                                                                              
[14] "granted english subtitles got little tough keep times speak understand french also local colloquialisms went head especially since films visuals intriguing just couldnt help constantly gawk general idea background music nifty french neighborhoods creative way enveloping audience storyline start easy appreciate one especially glad seen movie trying times world "
[15] " fact id recommend anyone looking jolly ol time movie house particular emphasis folks lot imagination little loneliness lives many dreams hearts "                                                                                                                                                                                                                         
[16] " guy directed alien resurrection "                                                                                                                                                                                                                                                                                                                                         
[17] "get outta "                                                                                                                                                                                                                                                                                                                                                                
[18] "note especially loved way script detailed showed loveshates everyone exact mentions film "                                                                                                                                                                                                                                                                                 
[19] " original well shot nostalgic many us able relate behaviors described "                                                                                                                                                                                                                                                                                                    
[20] "good stuff "                                                                                                                                                                                                                                                                                                                                                               
[21] "wheres joblo coming "                                                                                                                                                                                                                                                                                                                                                      
[22] "chocolat crimson rivers ghost world like water chocolate o brother art thou pay forward rushmore woman top "                                                                                                                                                                                                                                                               
