 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                               
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                      
 [3] " three years since release groundbreaking success pulp fiction cinematic output creator quentin tarantino surprisingly low "                                                                                                                                                                                                                                                                       
 [4] "oh hes busy talk show circuit taking small roles various films overseeing production screenplay dusk till dawn making cameo appearances television shows providing vignette illfated anthology four rooms everything seems except direct another featurelength film "                                                                                                                              
 [5] " long intermission projects well dizzying peak pulp fiction reached made mr tarantinos new feature film jackie brown one anticipated films year third feature film cements reputation single important new american filmmaker emerge s "                                                                                                                                                           
 [6] "things arent going well jackie brown pam grier "                                                                                                                                                                                                                                                                                                                                                   
 [7] "shes years old stuck deadend job year plus retirement benefits arent worth damn flight attendant worst airline north america shes just caught airport atf agent ray nicolette portrayed terrific childlike enthusiasm michael keaton police officer mark dargus michael bowen smuggling mexico gunrunner ordell robbie samuel l jackson bailed unassuming bail bondsman max cherry robert forster "
 [8] " loquacious ordell based hermosa beach house horny bonghitting surfer girl melanie bridget fonda agreeable crony louis gara robert de niro hang operates policy best rat dead rat hes soon silence jackie brown "                                                                                                                                                                                  
 [9] "meanwhile authorities target ordell want jackie help arranging sting tune halfmillion dollars "                                                                                                                                                                                                                                                                                                    
[10] " series clever twists turns doublecrosses will jackie able gain upper hand nemeses "                                                                                                                                                                                                                                                                                                               
[11] "although jackie brown marks mr tarantinos first produced screenplay adaptation based elmore leonard novel rum punch theres mistaking distinctive fingerprints film "                                                                                                                                                                                                                               
[12] " hes adhered closely source material narrative sense setting relocated los angeles lead characters now black "                                                                                                                                                                                                                                                                                     
[13] " terms ambiance film harkens back s walltowall funk soul music drowning soundtrack nondescript look sets even opening title credit sequence echo vintage s productions "                                                                                                                                                                                                                           
[14] " opening sequence featuring ms grier wordlessly striding lax funky music blaring away speakers emblematic films era "                                                                                                                                                                                                                                                                              
[15] " timeframe film fact atmosphere jackie brown decidedly retro "                                                                                                                                                                                                                                                                                                                                     
[16] " course nothing film screams s casting pam grier robert forster two leads although caper intrigue fun watch plot twists backstabbing deceptions deliciously unfold strength jackie brown quiet understated relationship developed jackie max kiss perhaps tender scene year "                                                                                                                      
[17] "tenderness quentin tarantino film "                                                                                                                                                                                                                                                                                                                                                                
[18] "sure thereve moments sweetness prior films affectionate exchanges bruce willis maria de madeiros characters pulp fiction unflagging dedication shared characters tim roth amanda plummer even reservoir dogs deep unspoken bond develops harvey keitel tim roth characters part mr tarantinos films typified manic energy unexpected outbursts violence clever often wordy banter "                
[19] " staples work present jackie brown whats new different facet storytelling willingness imbue film poignant emotional undercurrent patience draw several scenes great deliberation "                                                                                                                                                                                                                 
[20] " effective demonstration range prohibits pigeonholing mr tarantino simply helmer slick hip crime dramas fasttalking lowlifes heralds bonafide multifaceted talent hes real deal "                                                                                                                                                                                                                  
[21] " new aspect mr tarantinos storytelling probably best embodied single character worldweary sensitive exceedinglyprofessional max cherry whose unspoken attraction jackie touching "                                                                                                                                                                                                                 
[22] "mr forsters nuanced understated performance best film creates amiable character poignancy gazes jackie smile along "                                                                                                                                                                                                                                                                               
[23] "much press given casting blaxploitationera icon pam grier lead wags buzzing mr tarantino may pulp fiction bolster john travoltas thensagging career "                                                                                                                                                                                                                                              
[24] " turns ms grier solid films title role although nothing forces test range "                                                                                                                                                                                                                                                                                                                        
[25] " take exception claim film marks career resurrection though shes working steadily years often directtovideo action flicks also recent theatrical releases tim burtons mars attacks "                                                                                                                                                                                                               
[26] " larry cohens original gangstas first teamed mr forster "                                                                                                                                                                                                                                                                                                                                          
[27] " course true role godsend meaty part rarity actress let alone one age current status industry "                                                                                                                                                                                                                                                                                                    
[28] " jackie brown may disappoint looking another pulp fiction clone marks tremendous growth mr tarantino director whose horizons rapidly expanding whose characterizations never better "                                                                                                                                                                                                              
[29] " films narrative doesnt really warrant running time minutes filled sumptuous riches ranging brashness vivid soundtrack entertaining inconsequential conversations characters wasnt unengaging moment "                                                                                                                                                                                             
[30] " impressive trio feature films belt itll interesting see tries next "                                                                                                                                                                                                                                                                                                                              
