 [1] " wednesday march murder investigation underway charlotte south carolina "                                                                                       
 [2] " crime young prostitute elizabeth renee zellweger brutally slain "                                                                                              
 [3] "one half severed body found bag train station "                                                                                                                 
 [4] " half discovered trunk harbor authority miles away "                                                                                                            
 [5] " police duo braxton chris penn kennesaw michael rooker strapped leads "                                                                                         
 [6] " moment one possible suspect wayland tim roth wealthy unemployed genius graduated summa cum laude princeton appears least likely character commit heinous act " 
 [7] "thats premise deceiver new thriller pate brothers jonas josh made mark film world two years ago sundance movie grave "                                          
 [8] "deceiver plays like mind game intellectually superior wayland two sobright cops captions early proceedings let us know waylands iq contrast kennesaws braxtons "
 [9] " setting police interrogation room lie detector test administered "                                                                                             
[10] " three days wayland returns answer questions drama tension among three characters gradually escalates inevitably boils "                                        
[11] " plot elements thrown good measure "                                                                                                                            
[12] "wayland suffers peculiar kind epilepsy can stressful situations render virtually catatonic extremely violent "                                                  
[13] "braxton compulsive gambler deep debt local syndicate "                                                                                                          
[14] " kennesaw haunted dark abusive side delights terrorizing women especially wife rosanna arquette suspects unfaithful "                                           
[15] " foibles failings three brought open mystery around elizabeths death deepens becomes unclear upper hand suspect questioners "                                   
[16] "deceiver mostly transpires dimlylit room involves lot smart dialogue feel david mamet play edgy claustrophobic tense "                                          
[17] " atmosphere explosive pivotal moments confrontation riveting "                                                                                                  
[18] "deceiver power grab audience "                                                                                                                                  
[19] "unfortunately end succumbs need throw one last unexpected twist undoing "                                                                                       
[20] " surprise will certainly shock viewers also stretches credulity much raises questions answers "                                                                 
[21] " effective wrapup dont think carefully full implications "                                                                                                      
[22] " course film whole plays fast loose reality logic "                                                                                                             
[23] "police procedure totally ignored almost impossible accept criminal investigation proceed manner "                                                               
[24] " real focus deceiver character interaction plot details "                                                                                                       
[25] "deceiver occasionally gets police station instances occur primarily flashbacks featuring prostitute "                                                           
[26] " pates employ number interesting techniques present vignettes elizabeths final days hours "                                                                     
[27] " intriguing use unreliable narrator underlining discrepancies voiceover visually showing really happened "                                                      
[28] "moments like effective dismissed gimmicks "                                                                                                                     
[29] " movie obviously fashioned manner classic film noir drips atmosphere "                                                                                          
[30] " fascinating stylistic touches example although setting contemporary telephones oldfashioned rotary models "                                                    
[31] "cinematographer bill butler given opportunity use unconventional camera work liven deceivers look "                                                             
[32] " things tries mostly involve contrast light shadow work exceptionally well others like several lazy susan shots seem like unnecessary visual tricks "           
[33] " wayland tim roth gives films top performance despite occasionally treading tightrope acting overacting "                                                       
[34] "roth makes us believe wayland brilliant troubled hes supposed "                                                                                                 
[35] " two leads chris penn michael rooker arent effective "                                                                                                          
[36] " play characters like familiar types "                                                                                                                          
[37] "penns performance uninspired rookers lacks subtlety "                                                                                                           
[38] " best work turned supporting actors "                                                                                                                           
[39] "renee zellweger role thats miles away starmaking turn jerry maguire brings note vulnerability humanity part easily become caricature "                          
[40] "rosanna arquette solid kennesaws wife michael parks delivers several wonderful scenes psychiatrist whos entrusted evaluating waylands condition "               
[41] "one best things deceiver never talks audience "                                                                                                                 
[42] "plot points arent hammered home although ending weaknesses everything isnt spelled bold letters "                                                               
[43] " pates give audience members credit brains increasingly rare characteristic film makers "                                                                       
[44] "occasionally gripping never uninteresting deceiver fine noir effort "                                                                                           
