 [1] "seen july crossgates cinema albany ny theater p m mom using hoyts cinema cash "                                                                                                   
 [2] "theater rating good sound picture seats "                                                                                                                                         
 [3] " rare medium entertainment can give one authentic vivid sense reality life "                                                                                                      
 [4] " stories select moments time places characters lives truly great ones able define realities well enough audience can experience just characters "                                 
 [5] "therefore gone wind deserves accolades ability tell epic story crafted intricate entertaining manner "                                                                            
 [6] " crowning achievement filmmaking storytelling "                                                                                                                                   
 [7] " film takes place georgia civil war "                                                                                                                                             
 [8] " plays major factor films success "                                                                                                                                               
 [9] " use historic setting presents many possibilities problems since one alive time verify accuracy "                                                                                 
[10] " might also seem cliche boring deterent factors potential viewers "                                                                                                               
[11] "can story set long ago relatable now "                                                                                                                                            
[12] " film confronts problems paradoxically cronfronting "                                                                                                                             
[13] " doesnt simply plug right thing right time creates entire reality everything makes sense said concerns irrelevant "                                                               
[14] "building strong foundation important forms media without build "                                                                                                                  
[15] " given backstory learn little characters especially main character scarlett ohara leigh beautiful southern belle will steel cunning wit tremendous sense liberty oppressive time "
[16] " knows society works wherein everything can will play role shaping life around "                                                                                                  
[17] "right beginning realize determined way matter consequences may "                                                                                                                  
[18] " soughtafter woman allows manipulate men women ensure gets way whether obvious e "                                                                                                
[19] " will one get food subtle e "                                                                                                                                                     
[20] "getting married just spite someone "                                                                                                                                              
[21] " man claims love ashley wilkes howard modest gentleman seem passion "                                                                                                             
[22] " isnt arrogant demanding scarlett fact hes engaged woman personality much like "                                                                                                  
[23] " name melanie de havilland one sweetest kindest likable characters one will ever see "                                                                                            
[24] " scarlett become dear friends never suspects jealously scarlett love husband "                                                                                                    
[25] " meekness strongest weakest characteristic defines doesnt give much emotional selfdefense "                                                                                       
[26] "acting catalyst love triangle story whole daper stongwilled cunning cocky southern business military man captain rhett butler gable "                                             
[27] "hes quite character right everyone listens say even though hes got bad reputation "                                                                                               
[28] "butler makes apologies vast amount money behavior "                                                                                                                               
[29] " tells everyone muchneeded truth rigid castelike society freewill doesnt seem exist everything done honor tradition "                                                             
[30] " example first appearance butler tells fellow southerners theres way south defeat north war break "                                                                               
[31] " angers lack faith gall say aloud boastfully "                                                                                                                                    
[32] " ammunition factories "                                                                                                                                                           
[33] " food "                                                                                                                                                                           
[34] " navy "                                                                                                                                                                           
[35] " tobacco "                                                                                                                                                                        
[36] " true statements yet south still insists hes wrong "                                                                                                                              
[37] "butler shifty character sure takes pride arrogance appealing "                                                                                                                    
[38] "scarlett notices first sees look butler gives know hes going stop "                                                                                                               
[39] " scarlett cant get past need ashley scene sets stage grand story butler learns continues throw back scarlett forever "                                                            
[40] " story goes scarlett thrown obstacle obstacle life "                                                                                                                              
[41] " conflicts must overcome range taking care entire family finding proper husband especially marked life first husband dies "                                                       
[42] " gives film many opportunities bring characters epic story "                                                                                                                      
[43] " vital scenes true signifcance will endure throughout film "                                                                                                                      
[44] " films characters exist support background film realistic believable incorporates supporting cast size small town everyone signficance "                                          
[45] "even people background seem just extras wandering set "                                                                                                                           
[46] " costuming design outstanding film makes real sense time place "                                                                                                                  
[47] " filmmakers easily set scenes indoors narrowly focused avoid show outside real world types simple approaches never taken "                                                        
[48] " first half film depicts traumatic experience south faced last days civil war "                                                                                                   
[49] "fleming able convey horror painting image destruction letting viewer decide just bad "                                                                                            
[50] "one scene scarlett working nurse military hospital hear soldier background screaming "                                                                                            
[51] " leg "                                                                                                                                                                            
[52] "dont cut leg "                                                                                                                                                                    
[53] "another scene shows simplying trying cross street camera pulls back see path blocked hundreds wounded soldiers moaning thats graphic bloody gore ever "                           
[54] " second half begins film concentrates scarlett completely independent woman singlehandedly takes care family melanie just spite tyrany north "                                    
[55] " manages resurrect family plantation willpower cant help must pay exuberhant taxes set north souths ultimate defeat "                                                             
[56] " brings rhett butler back picture thus begins torrid love hate relationship "                                                                                                     
[57] " second half film somehow related relationship lack thereof rhett scarlett "                                                                                                      
[58] " uses personal gain time still feel intimate connection "                                                                                                                         
[59] "scarlett continues use manipulative powers men get wants rhett cant help want every time tries oneup marrying another man taking business "                                       
[60] " say opposites attract conflict rhett scarlett goes way beyond opposing personalities borders magnetic polarization "                                                             
[61] " need know yet never seem truly happy together "                                                                                                                                  
[62] "perhaps mistake love passion film leaves us make call "                                                                                                                           
[63] " things wants vice versa compromise just get way actually care "                                                                                                                  
[64] "love perception love two completely separate things throughout final act film left wondering rhett scarlett ever truly loved "                                                    
[65] "gable leigh great chemistry always leaving viewer wondering emotions authentic manufacture "                                                                                      
[66] " "                                                                                                                                                                                
[67] "none "                                                                                                                                                                            
[68] "either way possible mystery solved even upon repeated viewings "                                                                                                                  
[69] " safe say us wont live overly dramatic lives gone wind still masterpiece ability give us sense weve just experienced lifes worth joy pain "                                       
