 [1] " filmcritic com "                                                                                                                                                                                                                                                                                                                                                    
 [2] "colleague norm schrager nailed session brad andersons throwback spooky horror films s "                                                                                                                                                                                                                                                                              
 [3] " worked eerie homage without selfreferential smugly postmodern "                                                                                                                                                                                                                                                                                                     
 [4] "genre aficionados will acknowledge similarities tone stanley kubricks shining george romeros dawn dead without taken engrossing narrative e psychologically addled waste management team clears abandoned lunatic asylum unspeakable dread ensues "                                                                                                                  
 [5] " doublewhammy anderson shoots mostly scores eclectic riff timetravel episodes twilight zone appropriately titled happy accidents "                                                                                                                                                                                                                                   
 [6] "much like session cards played close vest "                                                                                                                                                                                                                                                                                                                          
 [7] " boyish eccentric sam deed dubuque iowa futuristic voyager year just runofthemill psychologically disturbed nutcase let loose presentday streets nyc "                                                                                                                                                                                                               
 [8] " played wonderful character actor vincent donofrio full metal jacket air whether accept detailed monologues life polar ice caps melted "                                                                                                                                                                                                                             
 [9] " question proves moot least time "                                                                                                                                                                                                                                                                                                                                   
[10] "even whole thing proves creative delusion one agrees character judgment passed new girlfriend ruby marisa tomei hes freak sure tells good story "                                                                                                                                                                                                                    
[11] "neurotic ruby thinks may found true love series nightmarish dating disasters junkie fetishist artist frenchman etc isnt quite sure handle sam deed starts explaining barcode arm elaborately constructed fake identity pathological fear dogs ability speak five different languages mission change crucial moment time may ramifications times alternate realities "
[12] " dont ask "                                                                                                                                                                                                                                                                                                                                                          
[13] " bit much take "                                                                                                                                                                                                                                                                                                                                                     
[14] "rubys close friend gretchen cuz ya cant love story without token friend though nadia dajani invests thankless role warmth chalks sexy roleplaying game cautious therapist holland taylor warns codependency rearing ugly head shes head yet another doomed relationship "                                                                                            
[15] " ya gonna believe "                                                                                                                                                                                                                                                                                                                                                  
[16] "despite winning academy award marisa tomei always struck annoying unwelcome screen presence one undermines pleasure watching happy accidents "                                                                                                                                                                                                                       
[17] " brassy new yawk attitude never really meshes desperate desire appear cute adoring fans "                                                                                                                                                                                                                                                                            
[18] " loud flashing disingenuous smile necessarily equal substantial sexy "                                                                                                                                                                                                                                                                                               
[19] " takes crack team hair wardrobe people imbue personality "                                                                                                                                                                                                                                                                                                           
[20] " theres damned voice strains ohsoadorable "                                                                                                                                                                                                                                                                                                                          
[21] "look stuff purely subjective "                                                                                                                                                                                                                                                                                                                                       
[22] " people feel way richard gere others bear watch robin williams hyperactive schtick "                                                                                                                                                                                                                                                                                 
[23] " money m tomei bullet "                                                                                                                                                                                                                                                                                                                                              
[24] "happy accidents romantic comedy filtered twelve monkeys appropriately chris markers la jetee especially still framed memory photographs anderson employs stylistic device throughout "                                                                                                                                                                               
[25] "modern manhattan filmed otherworldly vaguely alien eye color scheme oddly reminiscent logans run "                                                                                                                                                                                                                                                                   
[26] " stranger strange land donofrio walks slightly outofstep wonderfully affable often inscrutable wayward expressions bemused detachment "                                                                                                                                                                                                                              
[27] " science fiction told mainly via power suggestion though often falls scifi trap entirely much forced exposition want deeds words "                                                                                                                                                                                                                                   
[28] " least twenty minutes long happy accidents eventually gets around raceagainsttime scenario puts sam deed ultimate test "                                                                                                                                                                                                                                             
[29] " movie can live ambiguity forever anderson seems terminally unable provide satisfactory conclusions otherwise well structured recent narratives "                                                                                                                                                                                                                    
[30] " lets pretend loathsome predictable next stop wonderland never happened shall "                                                                                                                                                                                                                                                                                      
[31] " also slow repetitive stretches ruby sam go arguments whether hes crazy "                                                                                                                                                                                                                                                                                            
[32] " premise strong enough sustain interest enough throw nod general direction rod serling wrapping ideas halfhour time slots commercials included "                                                                                                                                                                                                                     
