 [1] " minutes rated though suspect rated pg adult themes language "                                                                                                                                                     
 [2] "mamoru oshii name probably isnt wellknown american audiences perhaps "                                                                                                                                             
 [3] "oshii director last years bestknown japanese animated film import ghost shell known among fans japanese animation anime making films deep philosophical bent "                                                     
 [4] "one films first theatrical venture patlabor animated series "                                                                                                                                                      
 [5] " many incarnationsgraphic novels manga two different runs madeforvideo episodes original animation videos oavs short television series running nearly fifty episodespatlabor proven one popular series ever japan "
 [6] "set near future though somewhat farther away near future series first conceived atypical giant robot anime features characters rather machinery primary focus "                                                    
 [7] " whole patlabor story exciting time japan "                                                                                                                                                                        
 [8] " prologue episode television series explains giant industrial robots known labors interesting play words considering robot derived czech word labor come widespread use japan toward close twentieth century "     
 [9] " rise labors however come new menacelabor crime "                                                                                                                                                                  
[10] " led creation two special vehicle divisions using patrol labors fight labor crime "                                                                                                                                
[11] " patlabor story centers around second special vehicle division sv fault acquired bad reputation destructiveness "                                                                                                  
[12] "sometimes utterly hilarious sometimes almost deadly serious patlabor series explores interpersonal relationships special vehicle crewmembers also looks effects technology modern life "                           
[13] " unfamiliar patlabor story characters may find slightly confused coming movie although ample background exposition provided new viewers "                                                                          
[14] " story much patlabor centers around controversial babylon project gigantic seawall will completion allow reclamation thousands square miles land tokyo bay "                                                       
[15] " project almost constant target environmentalist terrorists notably house sea organization "                                                                                                                       
[16] "however threat case comes terrorist someone already dead "                                                                                                                                                         
[17] "shinohara heavy industries premier labor manufacturer japan whole world just come new operating system increases labors movement speed efficiency "                                                                
[18] " hyper operating system hos short quickly installed well nations labors including patrol labors sv "                                                                                                               
[19] "since installation dozens labors including heavilyarmed military model begun go berzerk rampages apparent reason factor common running new hos "                                                                   
[20] " wags compared windows "                                                                                                                                                                                           
[21] " asuma shinohara labor command officer sv son president shinohara heavy industries find source problems laborsincluding svs ownfall victim hos drags fathers company "                                             
[22] " case ghost shell just want nobrainer actionfest might movie "                                                                                                                                                     
[23] "patlabor movie psychological thriller technological suspense drama "                                                                                                                                               
[24] " closer perhaps chrichton novel action movie crichton novels made action movies notwithstanding "                                                                                                                  
[25] " long thoughtful montages dialogueless footage two investigators make way slums derelict housing old quarters tokyo similar sequences ghost shell "                                                                
[26] " movie fraught symbolismin fact large part based christian symbolism "                                                                                                                                             
[27] "patlabors nearfuture setting aside giant robots tromping around similar present day "                                                                                                                              
[28] " film uses setting make central point progress moving fast humans keep "                                                                                                                                           
[29] " history culture falling wayside like old buildings torn replaced new "                                                                                                                                            
[30] " question just applicable today patlabors alternate setting "                                                                                                                                                      
[31] " far technical aspects film go referring subtitled version thats one ive seen film transfer clear almost phenomenally "                                                                                            
[32] " animation quality incredible though character design different patlabor fans will used "                                                                                                                          
[33] " oavs tv series cheerful bettersuited humor movie however makes everyone look great deal less cute emphasizes going part deadly serious storyline "                                                                
[34] " far cinematography goes many interesting moments patlabor movie "                                                                                                                                                 
[35] " dont think can recall ever seeing fisheye perspective used animated film save ghost shell another oshii film indeed many movies "                                                                                 
[36] " cinematography wellsuited storyline emphasizing needs though couple scenes characters features exaggerated anger may seem slightly strange western audiences "                                                    
[37] " audio track patlabor movie glorious hifi stereo used demonstrate home theater systemsit good "                                                                                                                    
[38] "even without headphones sounds either side screen can clearly heard come side "                                                                                                                                    
[39] "giant robot footsteps deep booming "                                                                                                                                                                               
[40] " sometimesunderstated sometimesblaring score crisp clear always right mark enhancing moods created animated scenery "                                                                                              
[41] " far subtitles go say theyre among easilyreadable subtitles ive ever seen anything "                                                                                                                               
[42] "large enough dont strain eyes small enough conceal much screen "                                                                                                                                                   
[43] "although several action sequences notably climactic conclusion patlabor foremost action movie "                                                                                                                    
[44] "although superblyrealized film relies large part upon prior familiarity characters carry story detract peoples enjoyment "                                                                                         
[45] " "                                                                                                                                                                                                                 
