 [1] " can hear question already "                                                                                                                                                 
 [2] " earth two movies common "                                                                                                                                                   
 [3] " people lot except renowned directors "                                                                                                                                      
 [4] " saw however movies flawed romantic scripts wrapped distinctive packaging lavish visuals musical numbers "                                                                   
 [5] " oh differently packages affect films "                                                                                                                                      
 [6] " everyones production numbers make otherwise ordinary woody tale something special jane campions imaginative visuals serve emphasize pompous uninvolving laura jones script "
 [7] " left everyone says love remembering lot loved infectious happiness put grin face "                                                                                          
 [8] " left portrait lady remembering lot loved cared less "                                                                                                                       
 [9] " everyone features nothing allen hasnt done storywise "                                                                                                                      
[10] "woody desperately love beautiful woman roberts odds manage click awhile allen left wondering went wrongagain "                                                               
[11] "similar situations happen family friends "                                                                                                                                   
[12] " outlandish comedy scenes even hark back early funny films "                                                                                                                 
[13] " scenes tim roth drew barrymore come take money run directorial debut "                                                                                                      
[14] "however nothing allen ever done prepared oneofakind display sheer good spirits "                                                                                             
[15] " fact movie feeling whats important "                                                                                                                                        
[16] "yes movie betteramong best thinkif meatier story "                                                                                                                           
[17] " lacks substance makes feeling "                                                                                                                                             
[18] " better way express feeling music "                                                                                                                                          
[19] "love often best expressed song numbers cast break cut straight heart "                                                                                                       
[20] " tad goofy number lot ghosts prance around funeral parlor admired allen even putting "                                                                                       
[21] " also helps usual allen topflight cast working "                                                                                                                             
[22] " singing voices range quite good goldie hawn quite good allen literally unlistenable barrymore whose real voice dubbed professional "                                        
[23] " vocal abilities differ actors great job putting joy screen making rub audience "                                                                                            
[24] "granted people will simply never accept characters singing movies attuned film work wonders "                                                                                
[25] "jane campion topflight cast working portrait lady even considerable skills can nothing keep film stilted virtually lifeless mess albeit visually interesting one "           
[26] "campion cinematographer stuart dryburgh come great variety eyefilling images linger mind "                                                                                   
[27] "unfortunately didnt linger mind story visuals supposed reflecting "                                                                                                          
[28] " remember well shots train light beaming shots men vanishing around nicole kidman can remember little happened people "                                                      
[29] "even worse dont find feeling bad ive forgotten "                                                                                                                             
[30] " problem think lies cast seemed trying hard material "                                                                                                                       
[31] " script couldnt convince care anyone "                                                                                                                                       
[32] " characters putting kinds emotion found reason connect "                                                                                                                     
[33] " understood story cold emotionally vacant characters care identify somehow want inject feeling lives "                                                                       
[34] "jones script never simply gave opportunity "                                                                                                                                 
[35] " end almost seemed campion trying inject life proceedings visual flourishes "                                                                                                
[36] "unfortunately kept painting dazzling pictures served push away material remind connection film "                                                                             
[37] " end movies one strength ended hurting "                                                                                                                                     
[38] " two films pretty uninteresting plots yet able truly enjoy one "                                                                                                             
[39] " "                                                                                                                                                                           
[40] " films head cared neither story everyone says love able make heart sing "                                                                                                    
