 [1] "call crazy dont see saving private ryan film summer "                                                                                                                                                    
 [2] " good movie yes chillingly realistic battle scenes emotion spare "                                                                                                                                       
 [3] " utterly riviting movie par steven spielbergs best work "                                                                                                                                                
 [4] "personally spielberg wouldnt go back world war ii era one time schindlers list indiana jones movies "                                                                                                    
 [5] "im guessing steve thing nazis really wouldnt surprised velociraptor ate one swastikawearing dudes next jurassic park movie "                                                                             
 [6] " lofty pretenses aside saving private ryan goriest movie side s slasher flick "                                                                                                                          
 [7] " difference easy friday th laugh spear sticking kevin bacons chest blood spurts like crazy damn hard sit eat reeses pieces soldiers suffer machine gun bullets head intestines spilled onto battlefield "
 [8] " believe theres plenty "                                                                                                                                                                                 
 [9] " minute sequence beginning movie army captain tom hanks soldiers landing omaha beach join countless americans already fire "                                                                             
[10] "lives lost seconds purposefully confusing jarring scene goes young men audience find never ever wanting drafted "                                                                                        
[11] "cut bureaucratic defense office hundred women pound sympathy form letters families casualties "                                                                                                          
[12] "one woman happens upon interesting detail three brothers different platoons killed combat mother getting telegram today "                                                                                
[13] " guess interesting conversation piece everyone mother army chief harve presnell sends hanks essentially public relations mission find fourth ryan brother send home "                                    
[14] " way army saves postage yet another telegram mrs ryan "                                                                                                                                                  
[15] "one good thing saving private ryan soldiers headed rescue ryan know mission designed make army look good "                                                                                               
[16] " question worth risking eight soldiers lives save one hanks character admits doesnt give damn ryan hes just following orders "                                                                           
[17] " john wayne movie things different "                                                                                                                                                                     
[18] "thered phony lets go get boy gosh darn "                                                                                                                                                                 
[19] "attitude sugarcoat reality war "                                                                                                                                                                         
[20] " things way spielberg admits instincts self preservation complacency every normal person "                                                                                                               
[21] " makes saving private ryan lot powerful testosteronedriven stallone movie mission "                                                                                                                      
[22] " movies pattern long battle scenes followed quiet scenes semiintrospective conversation among soldiers "                                                                                                 
[23] "hanks painted first nailstough army man careful hide true self men "                                                                                                                                     
[24] " way long "                                                                                                                                                                                              
[25] "edward burns guy get movie ben affleck isnt available impulsive one "                                                                                                                                    
[26] "jeremy davies plays translator seeing combat first time "                                                                                                                                                
[27] "none characters fascinating natural born heroes spielbergs obvious intention "                                                                                                                           
[28] " wondered heard saving private ryan three hours long going fill three hours time searching one person still make interesting "                                                                           
[29] " false starts hanks finds one private ryan ted dansons company apparently danson joined army ink canceled breaks bad news learning wrong ryan "                                                          
[30] " course movies far hanks locate ryan matt damon guy get affleck isnt available "                                                                                                                         
[31] "thats movie turns conventional war flick although body parts limbs still fly like never "                                                                                                                
[32] "saving private ryan worth time definitely schindlers list "                                                                                                                                              
[33] " battle scenes intense realistic attempts sincere emotion arent "                                                                                                                                        
[34] " movies bookends particularly cheesy place old private ryan goes cemetary family bawls eyes whining tell ive led good life "                                                                             
[35] "tell im good man "                                                                                                                                                                                       
[36] "spielberg apparently following james cameron line thought threehour movie past framed selfcontained prologue epilogue takes place present "                                                              
[37] "much effective subtler scenes like one several hanks men rifling thrugh bag dogtags dead soldiers make light theyre pretending theyre playing poker "                                                    
[38] " airborne division marches eyes full mound dogtags "                                                                                                                                                     
[39] " explicitly pointing symbolizes random poker game life death can war audience gets message "                                                                                                             
[40] " even classic saving private ryan definitely one better war movies "                                                                                                                                     
