 [1] " good know much someone charlie charles warns niece charlie margaret welsh devilish grin "                                                                                                  
 [2] "charlie infatuated namesake uncle soul mate calls since mother gave name "                                                                                                                  
 [3] "theres lot know charles least strangled widows back east "                                                                                                                                  
 [4] "mark harmon looks like anything killer specializes playing plays charles merry widow murderer hallmark hall fame remake hitchcock film shadow doubt "                                       
 [5] " avoid questions guilt see charles action opening scene last victim "                                                                                                                       
 [6] " story takes place early s small town petaluma california charles heads avoid police "                                                                                                      
 [7] "john gays script uses original screenplay sally benson alma reville thornton wilder "                                                                                                       
 [8] "karen arthurs direction certainly match great master absolute scale movie maintains high level suspense "                                                                                   
 [9] " supercilious deceitful charles comes pay visit indeterminate length sister family petaluma dont know nefarious activities "                                                                
[10] " showers elaborate gifts buy love already given anyway "                                                                                                                                    
[11] "two mysterious exceedingly cleancut writers magazine show take pictures family spread average american family interest focused uncle charles especially taking picture learning background "
[12] "charlie first welcomed uncles visit begins feel uncomfortable suspicious disingenuous magazine reporters "                                                                                  
[13] " picture advances delicate power using small details newspaper article uncle tries secretly remove charlie discovers "                                                                      
[14] " beauty story pas de deux uncle niece try psych "                                                                                                                                           
[15] " wants leave doesnt want go local rich widow prospective victim "                                                                                                                           
[16] "will charles kill charlie first will get town "                                                                                                                                             
[17] "harmon wonderfully creepy smug welsh tough trapped "                                                                                                                                        
[18] " deft touch director sets scene several thunderstorms tom neuwirths sepiatoned cinematography makes movie feel filmed s "                                                                   
[19] " quibble directors awkward staging final scene train "                                                                                                                                      
[20] " hitchcocks version better "                                                                                                                                                                
[21] " course "                                                                                                                                                                                   
[22] " one worth watching well "                                                                                                                                                                  
[23] "actually yes "                                                                                                                                                                              
[24] "shadow doubt runs "                                                                                                                                                                         
[25] " rated pg adult themes fine kids around nine "                                                                                                                                              
