 [1] " say know madison "                                                                                                                                                                                                                                                                                  
 [2] " brad asshole majors barry bostwick shows just unhip watching kooky transylvanians wrap ode time warp cult classic rocky horror picture show "                                                                                                                                                       
 [3] " story behind rocky horror picture show one legend "                                                                                                                                                                                                                                                 
 [4] " early s stage actor turned firsttime playwright richard obrien decided wanted make musical homage crazy bmovies grown child set bunch catchy rock tunes design "                                                                                                                                    
 [5] " result stage play rocky horror show opened fairly decent reviews london even hailed best musical prominent drama critics england "                                                                                                                                                                  
 [6] " play successful film rights immediately snapped production film began mere year later october "                                                                                                                                                                                                     
 [7] " film version now titled rocky horror picture show released "                                                                                                                                                                                                                                        
 [8] " immediately tanked box office "                                                                                                                                                                                                                                                                     
 [9] "whether fox wasnt quite sure market audiences audiences didnt quite know make never really determined one common bit knowledge film huge flop "                                                                                                                                                      
[10] " seemed infectious spirit brought stage version infused film version fox quickly pulled theaters "                                                                                                                                                                                                   
[11] " year later something entirely strange magical happened "                                                                                                                                                                                                                                            
[12] "prints film started distributed theaters small amounts circulating midnight shows across country whole new audience found film "                                                                                                                                                                     
[13] " new audience prone dressing like characters film acting segments front screen movie played yelling rude comments screen just generally good time "                                                                                                                                                  
[14] "word quickly spread new phenomena interactive film rocky horror picture shows life ultimate cult film born "                                                                                                                                                                                         
[15] " virgins unaware plot centers around loving couple brad majors barry bostwick janet weiss susan sarandon come small town called denton "                                                                                                                                                             
[16] "brad janet just attended wedding two friends decide also want wed "                                                                                                                                                                                                                                  
[17] " plan trip see man led meeting dr everett scott jonathan adams played narrator original stage version car gets flat way home "                                                                                                                                                                       
[18] "remembering castle seen back miles road decide walk see residents phone might able use call assistance "                                                                                                                                                                                             
[19] " castle actually home race aliens planet transsexual galaxy transylvania lead eccentric fishnetstocking wearing mad scientist dr franknfurter tim curry "                                                                                                                                            
[20] "franknfurter masterminded secret creating life done form rocky peter hinwood "                                                                                                                                                                                                                       
[21] " rocky becomes accustomed new environment brad janet find mercy franknfurters mad schemes "                                                                                                                                                                                                          
[22] "little know doctors handyman riffraff original author richard obrien domestic magenta patricia quinn actually transsexual planetary protectors sent stop frank spreading alien evil earth "                                                                                                          
[23] "going back revisiting film ten years first time ever seen amazing film ever got made staying power "                                                                                                                                                                                                 
[24] " fox executive around time release dont think known make either "                                                                                                                                                                                                                                    
[25] " intents purposes bad movie though bad really good sort way sumptuous production design great deal incredibly catchy songs really help increase likability film "                                                                                                                                    
[26] " time credits role fairly easy gotten wrapped film characters one really gets feeling richard obrien definitely fan old cheesy bmovies film based "                                                                                                                                                  
[27] " say walltowall songs catchy really mean say hear will ingrained head eternity "                                                                                                                                                                                                                     
[28] " goes without saying time warp popular song film "                                                                                                                                                                                                                                                   
[29] "even people never seen movie know particular song "                                                                                                                                                                                                                                                  
[30] " havent seen movie dont know though even songs film just worthy acknowledgment "                                                                                                                                                                                                                     
[31] " personal favorite frankenstein place dammit janet also maddeningly catchy "                                                                                                                                                                                                                         
[32] "tim currys vocals rocking tune sweet transvestite need heard believed "                                                                                                                                                                                                                              
[33] " finale film big floor show staged franknfurter featuring cast garters fishnets including barry bostwick "                                                                                                                                                                                           
[34] "frightening features less four songs rose tint world dont dream wild untamed thing im going home immensely singable "                                                                                                                                                                                
[35] " films true popularity longevity resides audience participation though "                                                                                                                                                                                                                             
[36] "despite catchiness songs movie long forgotten hadnt multitude folks dress every friday saturday night rush part little floor show "                                                                                                                                                                  
[37] "watching film home nothing compared actually experiencing theater hundreds rabid fans unless dont mind inviting friends letting shoot water guns home letting throw rice pieces toast place "                                                                                                        
[38] "note director jim sharman brought back central characters film form sequel resulting much forgotten film shock treatment picks brad janet time played cliff de young jessica harper contestants game show home town denton "                                                                         
[39] " two menaced evil tv station manager also played de young wishes claim janet "                                                                                                                                                                                                                       
[40] "obrien returned writerperformer project quinn campbell gray performance capacity film nowhere near spirit original "                                                                                                                                                                                 
[41] " years later film still pinnacle cult filmdom continuously screened midnight world "                                                                                                                                                                                                                 
[42] " lasting testament longevity film legion fans brand new special edition disc dvd set released comprehensive compendium rocky horror date even shining laserdisc special edition released th anniversary "                                                                                            
[43] " one people cant get enough film disc enough satisfy appetites "                                                                                                                                                                                                                                     
[44] " attempt recreate interactivity film fox home entertainment released wonderful disc dvd set loaded many extras itll take good eight hours just take majority "                                                                                                                                       
[45] " film located first disc given beautiful transfer shows original aspect ratio enhanced x televisions "                                                                                                                                                                                               
[46] " film presented two different versions us theatrical version uk version adds musical number finale called superheroes "                                                                                                                                                                              
[47] " ambitious viewers disc also includes hidden version located main menu clicking left scene selection menu choice highlighting pair lips lower left corner presents film manner originally supposed seen "                                                                                            
[48] "originally film similar wizard oz first half seen black white changing color transylvanians first revealed brad janet time warp musical number "                                                                                                                                                     
[49] " reports including documentary disc say color supposed appear franknfurter first shows elevator seem work better placed version depicting vast difference world brad janet used compared one introduced "                                                                                            
[50] " film contains commentary track show creator faithful handyman richard obrien costar patricia quinn fairly enjoyable quinn immediately starts refusing speak sarandon nearly contracting pneumonia walk around wet halfnaked freezing cold sets apparently complained entire film future interviews "
[51] " two seem like old friends great stories tell also point cast members sadly longer us anymore quite "                                                                                                                                                                                                
[52] "fox also tried recreate feel attending film theater several audience participation segments "                                                                                                                                                                                                        
[53] " first feature simple subtitle prompter lets know open people water guns right time throw toast "                                                                                                                                                                                                    
[54] " second feature audience participation track lets might hear good night show "                                                                                                                                                                                                                       
[55] " comments unintelligible basically just large group people screaming heads every comment can heard will invoke bit laughter "                                                                                                                                                                        
[56] " final participation segment uses technology much like technology used matrix dvd pair lips will appear onscreen certain scenes film mostly musical numbers can selected pressing enter remote "                                                                                                     
[57] " selected will taken film live participation version scene put one many screenings occur world "                                                                                                                                                                                                     
[58] " segment deposited right back film left "                                                                                                                                                                                                                                                            
[59] " first disc also contains dvdrom goodies particular type dvd player "                                                                                                                                                                                                                                
[60] " timeline evolution stage play version worldwide cult sensation video jukebox dont know jackstyled trivia game bare bones dont know jack parody can bizarre madlibs styled word game known riffraffs story lab "                                                                                     
[61] "links rocky horror websites also available dvdrom portion disc "                                                                                                                                                                                                                                     
[62] " second disc features even goodies person loves extras "                                                                                                                                                                                                                                             
[63] "former literock video channel turned music historians vh allowed outtake footage behind music rocky horror special ran earlier year shown well popup video meat loafsung hot patootie "                                                                                                              
[64] " behind music segments interesting especially richard obriens jaunt castle now hotel film originally shot "                                                                                                                                                                                          
[65] " also extensions sarandon bostwick quinn obrien meat loaf interviews "                                                                                                                                                                                                                               
[66] " far extras film go two deleted musical numbers also included "                                                                                                                                                                                                                                      
[67] "one just superheroes number available uk version also another rare musical number presented called "                                                                                                                                                                                                 
[68] " series alternate takes also presented none really much revelation except undressing scene see patricia quinn hard time unbuttoning barry bostwicks pants "                                                                                                                                          
[69] " completist must every little bit rocky horror paraphernalia misprinted end sequence alternate credit sequence also presented "                                                                                                                                                                      
[70] "rounding disc decent documentary called rocky horror double feature video show two theatrical trailers proclaiming film different sort jaws still gallery two singalongs toucha toucha touch sweet transvestite "                                                                                    
[71] "foxs special edition dvd set rocky horror fans waiting lives youre lucky "                                                                                                                                                                                                                           
[72] "im lucky "                                                                                                                                                                                                                                                                                           
[73] "hes lucky "                                                                                                                                                                                                                                                                                          
[74] " lucky "                                                                                                                                                                                                                                                                                             
[75] " just amazing enough tons classic italian films finally getting recognition u s even long standing traditions finally receiving due wonderful dvd format "                                                                                                                                           
[76] " excellent dvds abyss fight club independence day sound music fox shows certainly made commitment provide things dvd lovers want "                                                                                                                                                                   
[77] " raise toast cue throwing bread cut lights sit back watch disembodied lips begin sing bmovie tradition "                                                                                                                                                                                             
[78] "r "                                                                                                                                                                                                                                                                                                  
