 [1] "lets say live end airport runway "                                                                                                                                                                                                                           
 [2] "large jetliners continuously pass house rattling windows allowing moments peace "                                                                                                                                                                            
 [3] "lets say ground beneath feet also contaminated toxic substances high voltage power lines run across steel towers yards home "                                                                                                                                
 [4] "now lets say airport conglomerate wants buy property order lengthen runway offers worth "                                                                                                                                                                    
 [5] "wouldnt jump air bags packed landed "                                                                                                                                                                                                                        
 [6] " course "                                                                                                                                                                                                                                                    
 [7] " bit land idea paradise house castle "                                                                                                                                                                                                                       
 [8] "thats darryl kerrigan michael caton although hes happy multinational corporation like buy home sorry sale "                                                                                                                                                  
 [9] "unfortunately corporation wields quite bit influence australian government serves darryl family amounts eviction notice "                                                                                                                                    
[10] " take lying darryl enlists help inept attorney friend dennis denuto tiriel mora makes determined albeit pathetic attempt fight back "                                                                                                                        
[11] " castle australian comedy rob sitch perhaps one simplest movies ive seen recent memory yet also one funniest "                                                                                                                                               
[12] " fact films reliance simplicity makes successful "                                                                                                                                                                                                           
[13] " good guys bad guys clear humor straightforward storyline uncomplicated gets "                                                                                                                                                                               
[14] " perfect setup relaxing hilarious good time much hate admit liked fact didnt think much watching film "                                                                                                                                                      
[15] " just sat back enjoyed "                                                                                                                                                                                                                                     
[16] " situation one weve seen regular joe fights back government big business whatever "                                                                                                                                                                          
[17] " makes film different characters "                                                                                                                                                                                                                           
[18] "darryl thinks hes got best life world tells family living next power lines constant reminder success mankind asks ever want go eat fancy restaurant hes got meat loaf feast prepared wife sal anne tenny swells pride son dale stephen curry digs hole yard "
[19] "steve kerrigan anthony simcoe constantly combs buy sell ads looking investments like jousting sticks overhead projectors wayne kerrigan jail result dennis denutos incompetent courtroom maneuvers "                                                         
[20] " great thing kerrigans arent stupid get annoying "                                                                                                                                                                                                           
[21] "theyre just group simpletons whose naive nature perfectly harmless even endearing "                                                                                                                                                                          
[22] " look upon little bit pity whole lot affection "                                                                                                                                                                                                             
[23] "screenwriters sitch santo cilauro tom gleisner jane kennedy pit lovable bunch unlikely crusaders stoic court system condescending business conglomerate polarizing extremes deepening feelings kerrigans "                                                   
[24] "sympathy situation laughter bring us familys wonderful characterization simple may leaves us degree emotional investment causes us actually care happens "                                                                                                   
[25] " suppose one might wonder deep characterization can go characters inane kerrigans trust works "                                                                                                                                                              
[26] " particularly noted writers use slapstick order get laughs "                                                                                                                                                                                                 
[27] "dont get wrong slapstick executed well can genius "                                                                                                                                                                                                          
[28] " just often film will resort use shortcut amusing audience always successfully "                                                                                                                                                                             
[29] "instead jokes castle hinged upon dialog uttered people idea totally skewed rest world "                                                                                                                                                                      
[30] " funny normal people hilarious "                                                                                                                                                                                                                             
[31] "one problems saw film detour taken midway though "                                                                                                                                                                                                           
[32] " kerrigans go vacation spot seemingly reason pack jokes increase films running time "                                                                                                                                                                        
[33] "luckily funny little detour slightly distracting films main drive still quite enjoyable "                                                                                                                                                                    
[34] " levity abound castle film still manages take pretty heavy concept innate right citizen keep property issue bandied courts across civilized world differing outcomes "                                                                                       
[35] "im certain courtroom monologue near end film actually hold real life brings forefront essence constitution australia certainly sounds impressive rate "                                                                                                      
[36] " matter expected light hearted film like "                                                                                                                                                                                                                   
