 [1] " dimension films scream s distributor asked press say extremely little anything films twisty plot "                                                                                                                                                                                                                                                                                                           
 [2] "thats easy task considering wit deserves mentioned will best vague now theres first "                                                                                                                                                                                                                                                                                                                         
 [3] " first one good rest sucked said cinematicallysavvy teen last winters wes craven thriller scream statement referring films nightmare elm street series really putting franchise overkill general "                                                                                                                                                                                                            
 [4] " comment certainly carries clout every truly great sequel appears couple duds making one wonder writers better sticking solely fresh ideas "                                                                                                                                                                                                                                                                  
 [5] " like along comes scream believe doozy slick sinister madly subversive good time movies intent sending hollywoods sequel syndrome much prequel poked fun slasher conventions "                                                                                                                                                                                                                                
 [6] " scream definitely rare movie thing followup can stand along side original pride "                                                                                                                                                                                                                                                                                                                            
 [7] " two years since pair overzealous horror movie fans clad edvard munchesque getups carved way young populace woodsboro california "                                                                                                                                                                                                                                                                            
 [8] " surviving ordeal gotten lives "                                                                                                                                                                                                                                                                                                                                                                              
 [9] "plucky heroine sidney prescott neve campbell drama student midwestern windsor college pop culturewhiz pal randy meeks jamie kennedy tagged along "                                                                                                                                                                                                                                                            
[10] "trash tabloid reporter gale weathers courteney cox written bestseller based ordeal basis turned bad movie called stab "                                                                                                                                                                                                                                                                                       
[11] " dewey riley david arquette still suffering wounds inflicted scream left job police officer "                                                                                                                                                                                                                                                                                                                 
[12] "life tranquil "                                                                                                                                                                                                                                                                                                                                                                                               
[13] " least "                                                                                                                                                                                                                                                                                                                                                                                                      
[14] "several sudden murders bring sidney randy gale dewey together suspicious eyes cast surroundings four people learned anything past trust one "                                                                                                                                                                                                                                                                 
[15] "thus possible victimpotential killer list includes said quartet well derek jerry oconnell sidneys new beau cici sara michelle gellar chatty sorority gal joel duane martin gales cameraman whos thrilled bloodsoaked past hallie elise neal sidneys sassy roommate debbie laurie metcalf local reporter gives gale nottoofriendly competition mickey timothy olyphant randys good friend fellow film student "
[16] "cotton weary liev schreiber man sidney wrongly accused mothers murder scream also shows campus "                                                                                                                                                                                                                                                                                                              
[17] "like first scream craven screenwriter kevin williamson inaugurate things bang "                                                                                                                                                                                                                                                                                                                               
[18] " time extended sequence finds africanamerican couple jada pinkett omar epps attending sneak preview stab making sly references everything sandra bullock lunchmeat nonroles blacks slasher cinema "                                                                                                                                                                                                           
[19] " tragedy ensues screening moviewithinamovie setup allows plenty jokey moments including scene stab turns screams nowfamous drew barrymore prologue ear "                                                                                                                                                                                                                                                      
[20] " b hang phone star "                                                                                                                                                                                                                                                                                                                                                                                          
[21] "pinkett yells screen "                                                                                                                                                                                                                                                                                                                                                                                        
[22] " funny creepy stuff dont think ill ever feel safe movie theater effectively foreshadows ratio smart scares spoofy laughs road "                                                                                                                                                                                                                                                                               
[23] "another flawless example riotous cell phoneassault killer randy dewey gale broad daylight builds comedically ends genuine terror emotional investment made delicious characters "                                                                                                                                                                                                                             
[24] " superb set pieces explaining risks ruining effect "                                                                                                                                                                                                                                                                                                                                                          
[25] " players time around provide higher number suspects staggering body count "                                                                                                                                                                                                                                                                                                                                   
[26] " something tradein new characters large number fullydeveloped original scream gang movie packs knowing performances especially kennedy cox death dollar "                                                                                                                                                                                                                                                     
[27] " can argued original might outclass tad scream scarier funnier "                                                                                                                                                                                                                                                                                                                                              
[28] " certainly doesnt skimp shocks major one killing one cast member near dear heart actually questioned craven williamsons judgment considering much person added films "                                                                                                                                                                                                                                        
[29] "sometimes wish done stab two scenes shown deadon film fans plenty subtle nods movies like usual suspects aliens empire strikes back "                                                                                                                                                                                                                                                                         
[30] "still scream many things right petty quibble "                                                                                                                                                                                                                                                                                                                                                                
[31] " penchant parody irresistible discussions merits film sequels "                                                                                                                                                                                                                                                                                                                                               
[32] " attractive solid cast definite bonus "                                                                                                                                                                                                                                                                                                                                                                       
[33] " denouement shocking scream s priceless films final revelation incorporates bits particular horror film prominently referred scream one best bad guy motives ever put paper "                                                                                                                                                                                                                                 
[34] " scream works "                                                                                                                                                                                                                                                                                                                                                                                               
[35] "knowing series tendency selfreference perhaps one characters will discuss concept sequel justice "                                                                                                                                                                                                                                                                                                            
[36] "mentioning scream ll help argument "                                                                                                                                                                                                                                                                                                                                                                          
