 [1] "hollywood really done whole dracula thing death pun intended honest "                                                                                           
 [2] " shame good count probably frightening old bmovie monsters "                                                                                                    
 [3] " mean come "                                                                                                                                                    
 [4] " people really going get scared big green guy named frankenstein moves speed five miles per hour "                                                              
 [5] "hell "                                                                                                                                                          
 [6] " idea vampire frightening hell also carried kind sensual feeling well commonly associated horror films "                                                        
 [7] " idea done many times possible exception dusk till dawn done well lately either "                                                                               
 [8] " precisely much fun watching original nosferatu "                                                                                                               
 [9] " got go back times making movies even horror movies considered art form just done make cash like nowadays "                                                     
[10] " exactly film art "                                                                                                                                             
[11] "ive horror fan since eight years old day seen horror film cover intellectual ground film covers "                                                               
[12] "let backtrack minute "                                                                                                                                          
[13] " say intellectual ground dont mean nosferatu tackles philosophical questions anything like just mean order film work way intended little bit thinking involved "
[14] " modern slasher movies like friday th whatnot can just simply sit back chair frightened gore shown "                                                            
[15] " movies made fifth grader good makeup kit movies like require viewer actually pay attention ponder happening screen "                                           
[16] " see movie barely violence even less blood gore "                                                                                                               
[17] " thinking mans slasher flick "                                                                                                                                  
[18] " nosferatu title orlock max shreck strange hermitlike count film opens looking new home buy "                                                                   
[19] " employs help hutter gustav von wangenhein real estate salesman something effect nice home even fiancee named ellen greta schroeder "                           
[20] "upon orders boss hutter treks transylvanian mountains visit orlocks castle speak new home just happens right next door hutters "                                
[21] " next morning wakes find teeth marks neck "                                                                                                                     
[22] "really good sign "                                                                                                                                              
[23] " discovers reading count nosferatu vampire one undead feeds blood living humans "                                                                               
[24] " time pieces together late orlock already embarked hutters hometown via boat "                                                                                  
[25] "will hutter reach destination time save fiancee deadly clutches count orlock "                                                                                  
[26] " character orlock course dracula "                                                                                                                              
[27] " reason name changed unauthorized account bram strockers novel "                                                                                                
[28] "just thought interesting little side note "                                                                                                                     
[29] "probably way will get see fine film purchasing copy arrow entertainments digitally restored cut now available stores "                                          
[30] "however version quite different maunaus original masterpiece "                                                                                                  
[31] " movie now sporting new soundtrack band type onegative color tinting much like version langs metropolis "                                                       
[32] "now really appreciate arrow entertainment trying bringing classic like attention wider audience might otherwise just skipped one "                              
[33] " alas like watching movies way originally intended seen "                                                                                                       
[34] " thats just bag may like newer modern version better "                                                                                                          
[35] "either way suggest investing money copy "                                                                                                                       
[36] " like done pop vcr enjoy "                                                                                                                                      
[37] " youre like just ill future viewings turn color way television hit mute turn bach mozart whatever dim lights prepare view truly one greatest films ever made "  
