 [1] "scream isnt quite clever predecessor fills gap cutting wit "                                                                                                                                                                                                                                                                                                                   
 [2] "death even gruesome bloody death can funny handled right way will offended statement need look pulp fiction example "                                                                                                                                                                                                                                                          
 [3] " theres plenty horror go around scream latest s slasher flick incarnation also laughs "                                                                                                                                                                                                                                                                                        
 [4] "scream sliceanddice movie dont take horror seriously "                                                                                                                                                                                                                                                                                                                         
 [5] " success original scream took everyone industry surprise "                                                                                                                                                                                                                                                                                                                     
 [6] " unexpected blockbuster whose gross soared million mark six month release window opened just year ago turned one profitable horror films time "                                                                                                                                                                                                                                
 [7] " sequel inevitable fortunately nearly entire creative team returned scream including director wes craven screenwriter kevin williamson actors neve campbell courtney cox david arquette jamie kennedy liev schreiber "                                                                                                                                                         
 [8] " stipulated one rules sequels uttered movie obsessed character film body count scream higher original "                                                                                                                                                                                                                                                                        
 [9] "paradoxically theres lot less gore "                                                                                                                                                                                                                                                                                                                                           
[10] " blood course nothing excessive slashermovie standards depictions spilled entrails "                                                                                                                                                                                                                                                                                           
[11] "craven remembered scares important graphic displays human insides bodily fluids "                                                                                                                                                                                                                                                                                              
[12] " second strength scream features gallery legitimate characters rather group cardboard cutout stereotypes lined slaughter "                                                                                                                                                                                                                                                     
[13] " weve known people two movies almost impossible care least little "                                                                                                                                                                                                                                                                                                            
[14] "scream opens approximately two years original "                                                                                                                                                                                                                                                                                                                                
[15] " first picture theres slick selfmocking prologue "                                                                                                                                                                                                                                                                                                                             
[16] " time victims jada pinkett omar epps whose characters visiting local theater preview screening movie stab based true life events scream "                                                                                                                                                                                                                                      
[17] " smartest dialogue comes sequence pinkett bemoans lack african american participation horror films surely coincidence addition pinkett epps scream features two black characters "                                                                                                                                                                                             
[18] "shortly thereafter boyfriend gutted signaling beginning series copycat murders "                                                                                                                                                                                                                                                                                               
[19] "craven lets loose burst tongueincheek creativity movie within movie sequences "                                                                                                                                                                                                                                                                                                
[20] " give opportunity openly parody scream act accomplishes great panache "                                                                                                                                                                                                                                                                                                        
[21] "stab features heather graham casey becker role played original drew barrymore tori spelling sidney prescott neve campbell "                                                                                                                                                                                                                                                    
[22] "sadly see couple scenes stab "                                                                                                                                                                                                                                                                                                                                                 
[23] " little fun think craven used joe dantes approach matinee shown lengthy excerpts satirical production "                                                                                                                                                                                                                                                                        
[24] "following prologue reintroduced sidney prescott left sleepy hometown go windsor college "                                                                                                                                                                                                                                                                                      
[25] " friend randy jamie kennedy student well hes just knowledgeable horror films ever "                                                                                                                                                                                                                                                                                            
[26] " double murder stab becomes big news media converges windsor looking interview original victim "                                                                                                                                                                                                                                                                               
[27] " head flock vultures gale weathers courtney cox little surprise sidney "                                                                                                                                                                                                                                                                                                       
[28] " brought cotton weary liev schreiber man sidney falsely accused murder "                                                                                                                                                                                                                                                                                                       
[29] "also arriving college deputy dewey david arquette act big brother sidney latest round tribulations "                                                                                                                                                                                                                                                                           
[30] " addition survivors original scream field potential victims wellpopulated "                                                                                                                                                                                                                                                                                                    
[31] "theres blond coed named cece sarah michelle gellar now appeared two williamsons movies one know last summer sidneys requisite boyfriend derek jerry oconnell local newswoman laurie metcalf gales new cameraman duane martin british drama teacher david warner several sorority sisters wouldbe sorority sisters portia de rossi rebecca gayheart elise neal marisol nichols "
[32] "ultimately lots attractive corpses "                                                                                                                                                                                                                                                                                                                                           
[33] " stab scenes lines like brothers dont last long situations like craven williamson clearly lot fun scream movie enjoyable little overlong livelier first hour better second "                                                                                                                                                                                                   
[34] " resolution obligatory whodunit "                                                                                                                                                                                                                                                                                                                                              
[35] " less letdown knowingly offers wink nod past unmasking scenes "                                                                                                                                                                                                                                                                                                                
[36] " nice twist quips killer "                                                                                                                                                                                                                                                                                                                                                     
[37] " didnt see coming didya "                                                                                                                                                                                                                                                                                                                                                      
[38] "one senses however end picture overall concept hip selfreferential slasher film played "                                                                                                                                                                                                                                                                                       
[39] "supposedly theres going scream film makers dont come something radical end classic case sequel overkill "                                                                                                                                                                                                                                                                      
