 [1] "richard linklaters slacker made budget immerses twentysomething collegetown culture austin texas "                                                                                                                         
 [2] " characters either unemployed work jobs apparently menial worth mentioning "                                                                                                                                               
 [3] " lifestyle sort passive resistance idea people go actively pursue career graduation seem content sit around spouting inadequacy american democracy pervasiveness slave morality subtle messages pop culture "              
 [4] "ask theyve lately theyll likely reply oh know just hanging "                                                                                                                                                               
 [5] "linklater uses interesting technique examine characters camera follows one person minutes someone else walks camera follows person walks diner just another person walking door "                                          
 [6] " "                                                                                                                                                                                                                         
 [7] " "                                                                                                                                                                                                                         
 [8] " "                                                                                                                                                                                                                         
 [9] " certainly lot fun listening characters talk clearly intelligent genuinely insightful ideas just plain weird think ideas lot profound really "                                                                             
[10] " opening monologue delivered linklater taxi driver tosses around ideas alternate realities nicely set meandering structure film "                                                                                          
[11] " characters along way offer observations everything dating relationships history anarchist philosophy groups pseudointellectuals kick around ideas nobility sitting around nothing subtle briberybased morality scoobydoo "
[12] " part however best moments ones involving slightly unhinged types "                                                                                                                                                        
[13] "near beginning paranoid man follows pedestrian several blocks warning government conspiracies involving everything global warming secret colonization mars "                                                               
[14] "another man seems collecting televisions keeping least fifteen sets running time playing tapes graduate student recorded nervous breakdown destroying camera "                                                             
[15] " scene drew big laugh everyone present saw film man tries achieve closure failed relationship reciting poetry bridge throwing typewriter creek "                                                                           
[16] " problem slacker starts run steam towards end "                                                                                                                                                                            
[17] "since linklater spends minutes character introduction new characters gets repetitive "                                                                                                                                     
[18] " many times can hear hey whats going "                                                                                                                                                                                     
[19] " much "                                                                                                                                                                                                                    
[20] " nothing really just hanging around gets nerves film might well benefited slightly slower pace little bit characterization "                                                                                               
[21] " dialogue second half film large quite interesting first half jfk buff example seems like pale imitation previous conspiracy theorist many characters just generally arent weird unique "                                  
[22] "instead depicting city populated mostly normal people showing us strangeness might noticed first linklater shows us oddballs first stops reminds us ordinary people live "                                                 
[23] " slacker good film wonderfully offbeat entertaining comedy whatever flaws status cult classic welldeserved "                                                                                                               
[24] " just cant help think might even better linklater slowed little bit filmed scenes reverse order "                                                                                                                          
