 [1] " saw night hunter long time since gasped watching movie "                                                                                                                                                                                
 [2] "forget others deep end veered toward strained dramatics night hunter far scariest movie ive seen far year "                                                                                                                              
 [3] "even though movie nearly years old theres drop blood seen "                                                                                                                                                                              
 [4] "luckily night hunter charles laughtons first final directing gig restored ucla film television archive rereleased october "                                                                                                              
 [5] " theres still plenty time spill popcorn place "                                                                                                                                                                                          
 [6] "robert mitchum stars harry powell reverend nasty habit courting killing widows cash "                                                                                                                                                    
 [7] " newest target young mother willa harper shelley winters whose murderer husband ben peter graves hidden somewhere "                                                                                                                      
 [8] "powell finds stash decides court mrs harper hes released ben hanged "                                                                                                                                                                    
 [9] " finding money isnt easy powell must contend stepchildren billy chapin sally jane bruce know money arent telling "                                                                                                                       
[10] " hard part seeing classic now pop culture monster usually drawn quartered flaunted memorable moments thus ruining spontaneity adventure finally watch first time "                                                                       
[11] " many spoofs salutes shower scene psycho seen movies "                                                                                                                                                                                   
[12] " brilliant baby stroller sequence battleship potemkin "                                                                                                                                                                                  
[13] " im blaming brian de palma entirely sampling problem "                                                                                                                                                                                   
[14] "yes visual elements directors seem borrowed night hunter "                                                                                                                                                                               
[15] "powells love hate knuckle tattoos obviously influenced spike lee right thing remember radio raheem "                                                                                                                                     
[16] " powells black suit black tie white shirt shaped quentin tarantinos early visual style "                                                                                                                                                 
[17] "seeing night hunter first time amazed much crackled wicked wit fright much intensity intact "                                                                                                                                            
[18] " can now sign president robert mitchum fan club "                                                                                                                                                                                        
[19] " plays role controlled malice induces unease every time appears "                                                                                                                                                                        
[20] "hes like senior class president evil streak "                                                                                                                                                                                            
[21] " ever need stay awake ill just picture crooning leaning "                                                                                                                                                                                
[22] "leaning "                                                                                                                                                                                                                                
[23] " actor wants play character touch evil study performance way rabbinical student studies torah "                                                                                                                                          
[24] " credit must handed laughton cinematographer stanley cortez create series haunting surreal shadowy images rural depressionera backdrop "                                                                                                 
[25] " testament men theyre able invigorate become hackneyed storyline kids harassed evil guardians sticking old maxim scared dont see "                                                                                                       
[26] "screenwriter legendary film critic james agee beautiful job giving shape substance array supporting characters drunk birdie james gleason whos haunted wife spoons evelyn varden walt spoon whose marriage become verbal vaudeville act "
[27] " lapse movies third act pearl john run away home find home motherly biblereading mrs cooper lillian gish "                                                                                                                               
[28] " showdown powell memorable battle done dueling hymns "                                                                                                                                                                                   
[29] "however whole segment feels little rushed underdone still thrill seeing queen silent film era handling shotgun "                                                                                                                         
[30] " favor dont miss comes nearby theater "                                                                                                                                                                                                  
[31] "note series revealing overlong outtakes preceded movie "                                                                                                                                                                                 
[32] " highlights included legendary laughton sounds eerily like mr pitt seinfeld running winters lines mitchum adorable tiny bruce trouble descending coal pile "                                                                             
[33] "hours footage exists laughton liked keep cameras constantly rolling "                                                                                                                                                                    
[34] "screened part new york film festival retrospectives feature story coming soon "                                                                                                                                                          
