 [1] "mpaa rated though feel likely pg martialarts violence "                                                                                                                                                                                                     
 [2] " three movies already re released theatrically america least three way jackie chan one newest hot properties action adventure stardom just time "                                                                                                           
 [3] " twentyfive years jackies starring martial arts action movies hong kong thrilling audiences incredible grasp acrobatics martial arts wonderful sense comedy "                                                                                               
 [4] " drunken master distinction first jackie chan movie make big movie supposedly set jackie big stardom hong kong "                                                                                                                                            
 [5] "im entirely sure exactly "                                                                                                                                                                                                                                  
 [6] " many ways drunken master similar jackies early films fearless hyena ii master cracked fingers half loaf kung fu spiritual kung fu others "                                                                                                                 
 [7] " fact looking early films together one gets impression stamped cookiecutter style rate four six per year using casts telling similar stories "                                                                                                              
 [8] " honest think early jackie chan movies something acquired taste "                                                                                                                                                                                           
 [9] "theyre quite different action movies know america "                                                                                                                                                                                                         
[10] " films tend set chinese countryside indeterminate period sometime distant past fairly slow plots often meander far afield sometimes seem exist intention stringing comedy fight scenes together "                                                           
[11] " drunken master though plot tighter exception "                                                                                                                                                                                                             
[12] " aside drunken master first jackie chan movie ever saw saw way meant seen "                                                                                                                                                                                 
[13] " movie theater seattle part asian film festival "                                                                                                                                                                                                           
[14] " time didnt really think anything special "                                                                                                                                                                                                                 
[15] " seen films like kind grown "                                                                                                                                                                                                                               
[16] " drunken master s storyline similar early jackie chan movies fearless hyena ii master cracked fingers slacker martial arts student taught martial arts harshseeming master big fight evil bad guy end formula adapted put kindly american films karate kid "
[17] " specifically jackie chan plays part wong feihong aka naughty panther funloving practicaljoking kung fu student good kung fu good quite good enough "                                                                                                       
[18] " embarrassing instructors assistant beating roundly beating bully marketplace wong feihong tries hit pretty girl discovers mother can hit back better can "                                                                                                 
[19] " chagrinned discover two women cousin aunt respectively "                                                                                                                                                                                                   
[20] " father wong keiying unhappy annoyed father brother bully show sue damages "                                                                                                                                                                                
[21] "keiying soon institutes harsh regimen punishment feihong like "                                                                                                                                                                                             
[22] " escaping punishment feihong meets drunken old man proceeds thrash soundly take student thrash "                                                                                                                                                            
[23] " turns su huachi legendary master drunkenstyle kung fu "                                                                                                                                                                                                    
[24] " assigns feihong series bizarre tasks filling jugs water hanging upside frame cracking walnuts hands exercises seem like pointless cruelty actually strengthening "                                                                                         
[25] " hes ready teaches seven styles drunken kung fu "                                                                                                                                                                                                           
[26] "unfortunately lazy feihong practices six "                                                                                                                                                                                                                  
[27] " drunken master features wonderful martial arts sequences jackie winning fights losing others "                                                                                                                                                             
[28] " said ill say againthese fights dont just happen theyre carefully choreographed ballet performance shows "                                                                                                                                                  
[29] " fights jackie often makes use objects found environment benches jugs cups bowls fruits vegetablesoften new surprising ways "                                                                                                                               
[30] " fight scenes particularly toward end film unparallelled american films "                                                                                                                                                                                   
[31] "whether jackie wins loses really something see "                                                                                                                                                                                                            
[32] " often funny anything "                                                                                                                                                                                                                                     
[33] " funny thing jackie chan good "                                                                                                                                                                                                                             
[34] "theres little thats new moviejackie winning fights jackie getting beaten badly master jackie going punishment training "                                                                                                                                    
[35] "schticks seen one several dozen similar jackie movies seventies early eighties "                                                                                                                                                                            
[36] " theyre still hilarious ever "                                                                                                                                                                                                                              
[37] "likewise jackie great supporting cast many also early jackie films theyre often source plenty hilarity "                                                                                                                                                    
[38] " really big thing drunken master though inspired several copycats including couple starring jackie sequel fifteen years later drunkenstyle kung fu "                                                                                                        
[39] "im certain whether actually genuine style kung fu principle behind imitate wobbly movements drunkard lull enemy false sense security "                                                                                                                      
[40] " apparently helps youre drunk youre "                                                                                                                                                                                                                       
[41] "genuine admit theres just something incredibly fun watching fellow looks utterly sloshed wading group startled opponents making mincemeat even realize whats going "                                                                                        
[42] "come think perhaps element accounts films success jackie films "                                                                                                                                                                                            
[43] " just martial arts kind martial arts makes stop go whoa "                                                                                                                                                                                                   
[44] " negative side cinematography film nothing special film stock rather primitive plot often rather slow subtitles sometimes extremely hard read background "                                                                                                  
[45] " gone wind isnt "                                                                                                                                                                                                                                           
[46] "still like martial arts films like youve seen far jackie chan want see give shot "                                                                                                                                                                          
[47] " much real chuck norris jeanclaude van damme "                                                                                                                                                                                                              
[48] " might well like "                                                                                                                                                                                                                                          
[49] "another interesting thing drunken master video availability us "                                                                                                                                                                                            
[50] " drunken master early jackie chan movie know can find original letterboxed hong kong subtitled form commercially available vhs magnum video gold box "                                                                                                      
[51] " plenty early jackie films around typically either dubbed panandscanned form else import tapes priced rental instead purchase "                                                                                                                             
[52] "thankfully drunken master least available aspect ratio meant seen affordable price "                                                                                                                                                                        
[53] " like drunken master take look numerous early jackie chan films even dubbed ones arent really bad "                                                                                                                                                         
[54] "nothing else can enjoy martial arts choreography making fun dialogue "                                                                                                                                                                                      
[55] " particularly recommend spiritual kung fu half loaf kung fu fearless hyena movies snake crane arts shaolin "                                                                                                                                                
[56] "also mostlyunrelatedstorywise sequel drunken master ii will hit theaters american release sometime later year though americanrelease title will still uncertain comes highly recommended reviewer "                                                         
[57] "also rather different interpretation character wong feihong fact popular figure chinese folklore ive told suggest upon time china series starring jet li though havent personally seen yet "                                                                
[58] " choose watch drunken master really hope enjoy hope starts open eyes wonderful world asian cinema thats "                                                                                                                                                   
[59] " give film "                                                                                                                                                                                                                                                
