 [1] " youre type person goes submarine ride every time visit disneyland youre going love hunt red october "                                                      
 [2] "youll also love film enjoy cat mouse military tactics youre sean connery alec baldwin fan admired director john mctiernans earlier films die hard predator "
 [3] " fact people likely disappointed hunt red october read book since films almost never live novels inspired "                                                 
 [4] " hunt red october epic thriller adapted tom clancys best selling novel "                                                                                    
 [5] "set era glasnost movie revolves around topsecret soviet submarine called red october "                                                                      
 [6] " nuclear sub revolutionary propulsion system makes vessel silent allows escape sonar detection "                                                            
 [7] " red october embarks maiden voyage command captain marko ramius played sean connery "                                                                       
 [8] "ramius strict orders just test submarine ideas "                                                                                                            
 [9] " takes sub crew disappears atlantic ocean "                                                                                                                 
[10] " planning start world war iii "                                                                                                                             
[11] "cia analyst jack ryan doesnt think hes convinced ramius plans defect u s ryan played alec baldwin given three days prove theory find missing sub "          
[12] " characters hunt red october paper thin performances thankfully rock solid "                                                                                
[13] "baldwin connery anchor film customary vigor "                                                                                                               
[14] "sam neil gives sturdy performance connerys somber first officer "                                                                                           
[15] " ironic see neil connery playing russians since best known roles british agents connery james bond neil reilly ace spies "                                  
[16] " large cast also includes scott glenn james earl jones tim curry joss ackland plus richard jordan smooth u s national security adviser "                    
[17] " special effects remarkable anything hunt red october distinguished watertight plot "                                                                       
[18] "screenwriters larry ferguson donald stewart gracefully navigated red october story line full twists turns "                                                 
[19] " keep us involved action unveiling plot strands just right moment "                                                                                         
[20] " movie doesnt get sweaty breathless die hard rather tell good story hit head nonstop action "                                                               
[21] " finale rousing suspenseful essentially hunt red october superior potboiler "                                                                               
