 [1] "true faith expression organized religion difficult subject motion picture tackle headon probably "                                                      
 [2] "even religious directors like martin scorsese ingmar bergman usually address issues faith implicit rather explicit religious terms "                    
 [3] " hard see took robert duvall fifteen years get apostle onto bigscreen "                                                                                 
 [4] " matter fact even fifteen years still never managed get financial backing ended paying million money "                                                  
 [5] " also wrote script directed film starred central character fiery texas preacher named euliss sonny dewey "                                              
 [6] " filmmakers courage sheer audacity take kind financial technical creative responsibility singlehandedly testament intensely personal project duvall "   
 [7] " thankfully every bit personal investment translates onscreen power honest emotion "                                                                    
 [8] "sonny energetic pentecostal preacher speaking actually shouting behind pulpit since twelve "                                                            
 [9] " spends much time traveling country evangelizing preachers tent revivals "                                                                              
[10] "unlike hollywood characterizations intense preachers sonny phony swindler films purpose unearth hypocrisy sin either sonny church "                     
[11] "duvall makes abundantly clear sonny truly believes says although like humans weaknesses "                                                               
[12] "one weaknesses become apparent finds longsuffering wife jessie farrah fawcett want leave another man congregation two secretly plotted remove preacher "
[13] "faced loss two things loves passionately church family raw power allows sonny get entire congregations rocking swaying transforms violent temper "      
[14] " sons baseball game sonny snaps smashes wifes lover face baseball bat inflicting wound may fatal "                                                      
[15] " knowing else sonny disappears "                                                                                                                        
[16] " throws away identification drives car lake takes bus louisiana hoping start "                                                                          
[17] " tiny mostly poor coastal town bayou boutte sonny finds calling "                                                                                       
[18] " befriending simple auto mechanic walt goggins tracking towns exminister john beasley sonny sets church one way heaven temple "                         
[19] "rechristening apostle e f quickly draws together eager congregation together realize real change others lives "                                         
[20] " always sonnys past lurking step behind waiting swallow progress "                                                                                      
[21] "duvall made intentions making apostle clear "                                                                                                           
[22] " recent article newsweek wrote filmmakers hardly ever depict spirituality strong emphasis holy spirit tends patronizing full charlatans snake handlers "
[23] " really wanted try understand preachers go believe portray accurate way "                                                                               
[24] " strength duvalls convictions turn strength film apostle always rings true even painful moments know hes sincere subject matter "                       
[25] " fifteen years traveling country listening shapes sizes ministers taking studious notes said duvall captured energy vitality means truly spiritual "    
[26] " sonny man speaks directly god expects spoken right back "                                                                                              
[27] " ive always called jesus youve always called sonny says "                                                                                               
[28] " neighbors call complain loud one night one rants man upstairs sonnys mother june carter cash just hangs knows theres sense trying interrupt "          
[29] " main theme emerge apostle fact good can come situation "                                                                                               
[30] "sonnys act violence toward another human inarguably horrific thing duvall never shrinks fact "                                                          
[31] "however act violence brings sonny bayou boutte finds people desperately needs desperately need "                                                        
[32] " short time louisiana world good police finally show take away goes quietly knowing deserves punishment awaiting "                                      
[33] " scene final credits shows even turns punishment positive opportunity change betterment "                                                               
[34] " strength sonnys character makes appealing magnetic others flawed powerful enough overcome flaws "                                                      
[35] "weak men ones simply accept weaknesses lack desire better "                                                                                             
[36] "watching duvall onscreen hard imagine magnificent preacher chosen vocation acting "                                                                     
[37] " sonny completely inhabits character performance certainly best year "                                                                                  
[38] " spent much time absorbing traits methods quirks personalities real preachers duvall able create complete character always feels indelibly human "      
[39] " director duvall feels less "                                                                                                                           
[40] " camera simply takes goes front little intrusion "                                                                                                      
[41] " fancy crane shots extended dollies excessive closeups "                                                                                                
[42] "duvall knew power films characters enhanced fact cast mostly nonprofessional churchgoers actual ministers didnt need artificially enhanced "            
[43] " way apostle almost plays like documentary technical simplicity importantly sense reality "                                                             
