 [1] " sweet hereafter writerdirector atom egoyan takes us beyond tragedy death tragedy living "                                                                                                
 [2] " shows us isnt dying hurts rather pain living hereafter death dealing loss grief brings "                                                                                                 
 [3] " cold winter day small isolated town british columbia school bus full children slides highway onto frozen lake cracks ice sinks "                                                         
 [4] "fourteen children die numerous others hurt "                                                                                                                                              
 [5] " residents small town whose children bus earthshattering event resolutely alters lives "                                                                                                  
 [6] " always relied past deal heartache pain seems tragedy can handle "                                                                                                                        
 [7] "alberta risa walker local motel lost child accident hire attorney named mitchell stephens ian holm bring lawsuit someone anyone responsibility "                                          
 [8] " bus driver dolores driscoll gabrielle rose kindly woman loved children although lives burden guilt held responsible accident "                                                           
 [9] " bus seems simply slipped ice nothing prevent "                                                                                                                                           
[10] "however according stephens accidents life someone will pay tragedy whether manufacturer bus guardrail bus broke "                                                                         
[11] " goes town approaching parents lost children asking join class action suit find vent anger "                                                                                              
[12] " work stephens will receive onethird settlement money "                                                                                                                                   
[13] "however immediately apparent stephens little interest money "                                                                                                                             
[14] " driven something else something deeper shares common grieving parents "                                                                                                                  
[15] " lost child manner "                                                                                                                                                                      
[16] " daughter zoe caerthan banks almost died arms young child spider bite drug rehab clinics detox stations ten years "                                                                       
[17] " calls irregular basis begging money refusing tell needs "                                                                                                                                
[18] " dont know im taking tells "                                                                                                                                                              
[19] " mind daughter dead "                                                                                                                                                                     
[20] " lawsuit stephens way mend towns pain also "                                                                                                                                              
[21] "however everyone town wants happen "                                                                                                                                                      
[22] "billy ansell bruce greenwood driving behind bus accident happened lost two children wants nothing "                                                                                       
[23] " already lost wife buries grief affair married woman "                                                                                                                                    
[24] " doesnt want talk accident sees lawsuit nothing unnecessary opening old wounds "                                                                                                          
[25] " town able take care pain doesnt need outsiders like stephens getting way "                                                                                                               
[26] "central sweet hereafter tale nicole burnell sarah polley teenage girl dreams singer accident turned wheelchair girl puts "                                                                
[27] "aside stephens nicole complex character film ultimately decides fate town lawsuit will turn "                                                                                             
[28] " also sad haunted voice often hear soundtrack reading robert brownings poem pied piper led towns children away one left behind crippled "                                                 
[29] "obviously nicole child feels somehow betrayed rest towns children left alone dying wreck "                                                                                                
[30] " situation complicated involved loving incestuous relationship father tom mccamus "                                                                                                       
[31] " one fleeting scene suggests relationship somehow tied final act film "                                                                                                                   
[32] " storylines sweet hereafter complicated unresolved although implications stretch throughout entirety film "                                                                               
[33] "egoyan knows kinds questions brings simple answers doesnt condescend audience trying neatly wrap "                                                                                        
[34] " egoyan done sweet hereafter really nothing short miraculous "                                                                                                                            
[35] " adaptation novel russell banks made deeply moving film lawyer transcending pettiness law driving headlong deeper meaning loss pitiful monetary material possessions compared human life "
[36] "egoyan always talented distant cerebral filmmaker whose work suffered felt cold "                                                                                                         
[37] " sweet hereafter quite opposite egoyans stylistic narrative structures work brilliantly heighten impact natural emotion draw audience tragedy "                                           
[38] " sweet hereafter seems contain combined emotional impact films lacked "                                                                                                                   
[39] " film filled beautiful subtle performances actors especially ian holm lawyer sarah polley sad child left behind "                                                                         
[40] " beautiful roving camerawork paul sarossy haunting melodic musical score mychael danna previous egoyan collaborators give film visual aural cohesiveness thematic elements "              
[41] "like earlier films egoyan weaves together multiple storylines form blanketing whole "                                                                                                     
[42] " works time fluid substance shifting back forth past distant past present effortless ease "                                                                                               
[43] " actual bus wreck doesnt happen midway film time event built much emotion egoyan can film distance graphic detail still carry great devastating weight "                                  
[44] " human life become cheap commodity movies astounding egoyan can convey much heartbreak simple direct terms "                                                                              
[45] "certainly one best films sweet hereafter deeply rewarding mystifying ultimately human film "                                                                                              
