 [1] "logical time travel movies nearimpossibility "                                                                                                                                                                                                                                                                  
 [2] "considering skeptics best argument possibility time travel idea altered realities writing script deals problem imposing task "                                                                                                                                                                                  
 [3] "occasionally get film manage "                                                                                                                                                                                                                                                                                  
 [4] "terry gilliams monkeys one film "                                                                                                                                                                                                                                                                               
 [5] " frequently get films dont much deal "                                                                                                                                                                                                                                                                          
 [6] " one question ask case film virtues override existing logical inconsistencies "                                                                                                                                                                                                                                 
 [7] " terminator films made exciting action back future entertaining story new film frequency pulls trick strong package "                                                                                                                                                                                           
 [8] " frequency filled plot holes "                                                                                                                                                                                                                                                                                  
 [9] "yes "                                                                                                                                                                                                                                                                                                           
[10] " matter "                                                                                                                                                                                                                                                                                                       
[11] " really "                                                                                                                                                                                                                                                                                                       
[12] " film opens october "                                                                                                                                                                                                                                                                                           
[13] "firefighter frank sullivan dennis quaid puts life line every time suits job goes home loving wife julia elizabeth mitchell son johnny daniel henson "                                                                                                                                                           
[14] " doublepronged story flashes forward johnny now jim caviezel grown working police detective "                                                                                                                                                                                                                   
[15] " strange occurrence appearance aurora borealis new york city allows father son communicate ham radio frank used john found present day "                                                                                                                                                                        
[16] "though initially skeptical idea john eventually takes opportunity warn father impending death warehouse fire succeeds saving frank certain doom "                                                                                                                                                               
[17] "now flooded memories full life father alive john initially overjoyed discovers changes timeline disastrous serial killer died instead lived kill seven women "                                                                                                                                                  
[18] "frank john now must work together set things right john using information gathered future instruct frank past "                                                                                                                                                                                                 
[19] " premise frequency unusual requires getting one important mental hurdle fully accept john frank ones conscious timeline changed result actions "                                                                                                                                                                
[20] " isnt explained just go "                                                                                                                                                                                                                                                                                       
[21] " frank doesnt die fire john one remembers differently everyone else remembers new way "                                                                                                                                                                                                                         
[22] " concept also runs problems concerning just synchronous two realities "                                                                                                                                                                                                                                         
[23] "sometimes franks changing past results something happening right away johns world sometimes john gets changes ahead time "                                                                                                                                                                                      
[24] "now filmmakers might perfectly good explanations probably come something fairly convoluted nevertheless logical thought hard enough example reason john gets advance information serial killers murders change already happened franks world john witnessing projection change explanations arent really point "
[25] " frequency gets cooking riveting little thriller even confusing "                                                                                                                                                                                                                                               
[26] " matters film like plot makes sense moment frequency works long keeps moving "                                                                                                                                                                                                                                  
[27] " film manages engaging despite logical confusion "                                                                                                                                                                                                                                                              
[28] "director gregory hoblit screenwriter toby emmerich structure frequency good hollywood entertainment establishing decent likable characters making us care setting goal reached conflict resolved "                                                                                                              
[29] " liked many creative touches split screens allowing us see universe affected realities greater framework baseball drive action forward "                                                                                                                                                                        
[30] " actually uses metsorioles world series one featured amazin mets great effect frank uses johns advance knowledge series outcome convince friends believe "                                                                                                                                                      
[31] " admittedly device may interest baseball fan like "                                                                                                                                                                                                                                                             
[32] " even liked final scene features frank john fighting man simultaneously different time periods "                                                                                                                                                                                                                
[33] " may find scene blindingly confusing reality shifts start coming fast furious make sense think give script lot leeway lets face darn cool way end film "                                                                                                                                                        
[34] " enough surprises plot twists frequency keep toes result movie avoids growing stagnant "                                                                                                                                                                                                                        
[35] " major thing appreciate frequency handling fatherson relationship "                                                                                                                                                                                                                                             
[36] "quaid caviezel carry parts easily rocksolid job actors "                                                                                                                                                                                                                                                        
[37] " relationship instantly credible find human truth behind high concept one react able communicate dead relative future descendant "                                                                                                                                                                              
[38] "watching exchanges frank john will give pretty good idea answer question "                                                                                                                                                                                                                                      
[39] " credibility human relationship absolutely crucial rest film dont believe characters dont care outcome thriller plot "                                                                                                                                                                                          
[40] " care like lead actors "                                                                                                                                                                                                                                                                                        
[41] " also liked supporting cast members "                                                                                                                                                                                                                                                                           
[42] "elizabeth mitchell gets stuck two thankless roles playing julia doting wife mother still performs admirably "                                                                                                                                                                                                   
[43] "andre braugher late television show homicide life street gives nice supporting turn franks best friend future colleague john "                                                                                                                                                                                  
[44] " lovely scene diner tries explain situation julia franks world series predictions come true eyes "                                                                                                                                                                                                              
[45] "braugher strikes perfect facial expression simultaneously dismayed amused "                                                                                                                                                                                                                                     
[46] "perhaps thing didnt like frequency overly sentimental coda cameras focus goes little soft baseball theme gets carried overboard "                                                                                                                                                                               
[47] " thats film already earned poignancy without resorting cheap tactics "                                                                                                                                                                                                                                          
[48] " freely acknowledge frequency may best work guy movie since focuses maleoriented idea fatherson relationships echoes field dreams can easily heard underlying concept universally applicable "                                                                                                                  
[49] " wouldnt want speak longdead parent "                                                                                                                                                                                                                                                                           
[50] " see children turn "                                                                                                                                                                                                                                                                                            
[51] " tell life son excuse mist "                                                                                                                                                                                                                                                                                    
[52] " dont call sissy "                                                                                                                                                                                                                                                                                              
