 [1] " rainy friday afternoon columbus persuaded friend see matinee performance mstk tm "                                                                                                                                                                                        
 [2] " never seen episodes show watched scant due unsocial airtime comedy central uneven nature many episodes "                                                                                                                                                                  
 [3] " familiar premise dr clayton forrester beaulieu wishes take world finding worst film ever made unleashing upon unsuspecting public "                                                                                                                                       
 [4] " achieve words tv series theme missing movie bumped mike nelson nelson noggin shot space monitoring nelsons reactions movies forced endure "                                                                                                                               
 [5] "rather succumb sheer awfulness many movies nelson spends time making wisecracks help two robot companions tom servo crow t robot "                                                                                                                                         
 [6] " format show consists nelson servo crow making comments silhouetted movie watched breaks every minutes segments set satellite love ship heroes marooned "                                                                                                                  
 [7] " two things different movie absence forresters sidekick tvs frank slower pace jokes "                                                                                                                                                                                      
 [8] " latter change presumably deliberate avoid viewing audience missing best lines laughing previous joke "                                                                                                                                                                    
 [9] " big screen outing producers chosen island earth classic one first sf films special effects budget larger average grocery bill "                                                                                                                                           
[10] "unfortunately film making ideal mstk fodder acting dialogue appear taken back seat effects todays standards less impressive "                                                                                                                                              
[11] "nelson co make jokes everything japans dominance world market star trek state disrepair seattles kingdome work "                                                                                                                                                           
[12] "unfortunately segments set outside satellites movie theater seem place arent particularly funny least theyre fairly short "                                                                                                                                                
[13] " big question movie though "                                                                                                                                                                                                                                               
[14] " presume attempt gain larger following keep support behind series rumours impending demise circulated time plug eventually pulled months ago format gains nothing transition big screen special effects dazzle action sequences keep edge seat use digital surround sound "
[15] " seems pointless spend per person see movie months will video can watch sit room full popcorn addicts "                                                                                                                                                                    
[16] "nevertheless mstk tm provides laughoutloud opportunities film youre going see year thoroughly recommend anyone pulse "                                                                                                                                                     
[17] "given uniqueness hesitate grade films fulfils claims class unsubtle comedy films whose laughs come expense bad bmovies well "                                                                                                                                              
