 [1] "american pie acknowledges cold hard fact movies dont difficult get laid "                                                                                                                                                                                                               
 [2] " four virgin heroes jim biggs chronic masturbator kev nicholas desperately wants deflower girlfriend reid oz klein lacrosse player whose approach requires fine tuning finch eddie kaye thomas germphobe crass nickname hilarious wont spoil pays classmate spread rumours size member "
 [3] "jim kev oz finch attend high school suburban michigan full many impossibly beautiful women wonder theyre horny time "                                                                                                                                                                   
 [4] " party studly friend stiflers seann william scott films sharpest performance house leaves sexually unsatisfied quartet make pact lose graduationspecifically prom night weeks away "                                                                                                    
 [5] "american pie tradition bachelor party revenge nerds "                                                                                                                                                                                                                                   
 [6] "almost every conversation characters revolves around makin whoopee "                                                                                                                                                                                                                    
 [7] " women ogled "                                                                                                                                                                                                                                                                          
 [8] " alyson hannigans perky music student memorable female bunch "                                                                                                                                                                                                                          
 [9] "situations abound defy logic arouse andor amuse core audience adolescent boys "                                                                                                                                                                                                         
[10] " arouse nadias shannon elizabeth internet stripteasean unexpectedly raucous guiltily pleasurable sequence "                                                                                                                                                                             
[11] " amuse jims lusty encounter hot apple pie "                                                                                                                                                                                                                                             
[12] " differentiates american pie dirty eighties comedies aside nineties obsession bodily fluids cast thats light years appealing say just one guys "                                                                                                                                        
[13] "two standouts klein sctv s eugene levy "                                                                                                                                                                                                                                                
[14] "klein plays kindhearted athlete second time row alexander paynes underappreciated election "                                                                                                                                                                                            
[15] " hope see warm actor disarmingly honest face soon "                                                                                                                                                                                                                                     
[16] "levys crowdpleasing performance indeed nice see back big screen role makes wonderful use expressive brow "                                                                                                                                                                              
[17] "american pie also wants emulate teen flicks parents let watch growing "                                                                                                                                                                                                                 
[18] " skillfully employs broad mix pop tunes much like john hughes movies even pays homage breakfast club couple times evidently prom band covers simple minds dont forget "                                                                                                                 
[19] " picture ultimately healthy obligatory attitude towards safe sexeven libidinous american pies protagonists first whip condom "                                                                                                                                                          
[20] " filmmakers prove socially responsible raunch possible "                                                                                                                                                                                                                                
[21] " familiarity charming leads recommend american pie buzz film expecting something fresher "                                                                                                                                                                                              
[22] " far new teen cinema goes top heap "                                                                                                                                                                                                                                                    
[23] " dont say didnt warn party scene "                                                                                                                                                                                                                                                      
