 [1] " get jail can kill "                                                                                                                                                            
 [2] "starring ashley judd tommy lee jones bruce greenwood "                                                                                                                          
 [3] "rated r "                                                                                                                                                                       
 [4] "double jeopardy lurid prepostrous thriller thats also one years enjoyable "                                                                                                     
 [5] " uncompromisingly brutal cheerfully anarchic hyperactive actioner mission never diverts "                                                                                       
 [6] " moment events screen dont direct bearing plot film gets going never stops "                                                                                                    
 [7] " branded female version fugitive thats probably correct assessment plot film little common andrew davisharrison ford collaboration besides presence star tommy lee jones "      
 [8] " even bothering character introduction director bruce beresford floors gas pedal getgo never finds brake "                                                                      
 [9] " meet rather hastily libby nick parsons ashley judd bruce greenwood respectively seemingly happy married couple son matty age go sailboat one night period rockin sex go sleep "
[10] "libby hears strange noise wakes discovers covered blood "                                                                                                                       
[11] " follows red trail upper deck finds knife astonishment picks "                                                                                                                  
[12] " convenient moment coast guard shows libby arrested "                                                                                                                           
[13] " lawyer friend puts defense court though know innocent evidence compelling "                                                                                                    
[14] " friend adopts son goes prison "                                                                                                                                                
[15] " prison makes phone call friend "                                                                                                                                               
[16] " friend gives son phone "                                                                                                                                                       
[17] "nick walks room "                                                                                                                                                               
[18] "little matty screams daddy "                                                                                                                                                    
[19] " phone goes dead "                                                                                                                                                              
[20] "libby realizes man imprisoned killing isnt even dead "                                                                                                                          
[21] " gets advice prisonerformer lawyer tells since state already convicted killing husband cant convict crime meaning gets paroled can kill cant touch "                            
[22] " weirdly short amount time gets parole "                                                                                                                                        
[23] " sent live house recent parolees command parole officer travis lehman tommy lee jones "                                                                                         
[24] " sets mission find husband get son back turns much difficult anticipated "                                                                                                      
[25] " winds tracking way new orleans finds long killed girlfriend sons adopter "                                                                                                     
[26] "double jeopardy based assumption legally false "                                                                                                                                
[27] " law stating nobody can convicted twice crime assumes crime time place circumstances "                                                                                          
[28] " like matters "                                                                                                                                                                 
[29] " rollickingly good thriller intense exciting fast furious "                                                                                                                     
[30] " silly alright kind film just dont question "                                                                                                                                   
[31] " films plausibility everything "                                                                                                                                                
[32] "double jeopardy however concerned making sense sole purpose entertain "                                                                                                         
[33] "judd helps film tremendously difficult role "                                                                                                                                   
[34] " breakout boxoffice performance terrific "                                                                                                                                      
[35] " brings emotion onedimensional role giving movie little soul go along effective chase scenes action set pieces "                                                                
[36] "tommy lee jones basically just reprises role won oscar fugitive movie makes good use stonefaced wit "                                                                           
[37] "thankfully double jeopardy refrains developing romance libby travis subplot doubtlessly interfered films story "                                                                
[38] " one movies cops bad guys took sort sick pleasure "                                                                                                                             
[39] " sheer anarchy proceedings nothing short wonderful ashley judd kicks crap every authority figure book "                                                                         
[40] " idealistic hollywood features featuring hero cops deft fbi agents virtues american legal system great see movie doesnt much demonstrate fallacy delights failure "             
[41] "double jeopardy really good isnt kind good remembered recognized awards "                                                                                                       
[42] " one movies better viewed brain turned otherwise brain will busy ruining experience "                                                                                           
[43] " thriller isnt concerned smart plausible "                                                                                                                                      
[44] "instead diverts attention action year second none "                                                                                                                             
