 [1] " scary movie anyhow "                                                                                                                                                                                                                                                                                                                                                
 [2] " movie person gets ripped shreds "                                                                                                                                                                                                                                                                                                                                   
 [3] " person chased damned teenager wants revenge "                                                                                                                                                                                                                                                                                                                       
 [4] "possibly guy hook wants know last summer "                                                                                                                                                                                                                                                                                                                           
 [5] " ever happened horror movies horror atmosphere characters "                                                                                                                                                                                                                                                                                                          
 [6] "movies like halloween psycho revolutionized horror genre forever wait came movie based bestselling book william peter blatty entitled exorcist movie opened rave reviews scared audiences death now year exorcist comes back big screen version youve never seen complete six channel digital surround sound fifteen minutes new footage never seen long new ending "
 [7] "chris mcniell actress living georgetown washington twelve year old daughter regan "                                                                                                                                                                                                                                                                                  
 [8] " working new film chris still stays close regan starts wonder bed shakes night regan starts convulsions sudden "                                                                                                                                                                                                                                                     
 [9] " chris finds regan possessed demon shuns fact considers getting priest help daughter "                                                                                                                                                                                                                                                                               
[10] "father karras jason miller man bring mother just died still mourning decides help little girl "                                                                                                                                                                                                                                                                      
[11] "christ father karras nanny sharon kitty winn sit wait man shows man exorcist man will help little girl "                                                                                                                                                                                                                                                             
[12] "excrutiatingly scary exorcist classic horror film twenty seven years later still scares audiences half death "                                                                                                                                                                                                                                                       
[13] "now get experience exorcist way meant seen directors cut incorpates fifteen minutes new footage cut friedkin time release content time new ending added well adds lighter feeling movie prefer original darker ending "                                                                                                                                              
[14] " movie also remastered wonderful six channel digital sound mix amazing "                                                                                                                                                                                                                                                                                             
[15] " voices clear music pours engulfs richness "                                                                                                                                                                                                                                                                                                                         
[16] " director friedkin well known films standout film exorcist nominated several academy awards one somehow doubted best picture best actress ellen burstyn best supporting actress linda blair age believe thirteen wonderful job little girl alone possessed unable stop going "                                                                                       
[17] "ellen burstyn think gives best performance date can seen currently requiem dream getting rave reviews "                                                                                                                                                                                                                                                              
[18] "jason miller jason patriks dad amazing father karras performance will forever embedded mind character makes entire film float along "                                                                                                                                                                                                                                
[19] " saddened saw film audience mostly younger people see laughing movie way think movie comical yes stuff regan says funny laughing head spinning green pea soup come people creepy stuff "                                                                                                                                                                             
[20] "anyway rerelease film managed make million dollars still going "                                                                                                                                                                                                                                                                                                     
[21] "hopefully one day rerelease twenty years generations come enjoy "                                                                                                                                                                                                                                                                                                    
