 [1] "well ill damned excellent surprise "                                                                                                                               
 [2] " confused campy far inferior remake starring exporn star traci lords recent attempt remaking s drivein schlockfest earth real gem quite possibly best scifi flick "
 [3] " bmovie king roger corman behind effort directed original time appears role executive producer "                                                                   
 [4] " rest crew cast relative unknowns "                                                                                                                                
 [5] " seems criminal film released direct video countries absolute mustsee scifi fans treat anyone enjoys decently acted written thrillers kooky bent "                 
 [6] " plot brief "                                                                                                                                                      
 [7] "paul johnson michael york alien posing eccentric millionaire though needing kill people live visiting earth far selfish reasons "                                  
 [8] " race dying mysterious blood disease desperately trying find cure key lies blood humans "                                                                          
 [9] " visits soon puts spell respected blood physician dr rochelle hypnotises secret research behalf "                                                                  
[10] " also doctor convince smart sexy nurse amanda elizabeth barondes move johnson private nurse give blood transfusions constantly requires "                          
[11] " long amanda johnsons sleazy chauffeur release johnson lot just eccentric "                                                                                        
[12] " must admit first glimpse video cover earth encouraging "                                                                                                          
[13] "british actor michael york appeared real stinkers past decades far cry quality fare younger days caberat "                                                         
[14] " performance alien human disguise nothing short outstanding "                                                                                                      
[15] " weird twitches bizarre modes speech dapper clothes cool spectacles unexpected pathos invests character "                                                          
[16] "york turns hilarious menacing tragic "                                                                                                                             
[17] " tourdeforce quite simply best performance ive seen "                                                                                                              
[18] " obviously made modest budget film boasts enormous strengths "                                                                                                     
[19] " casting spot acting terrific script intelligent witty consistently engaging cleverly updating original "                                                          
[20] " balance horror humour just perfect marked contrast earlier remake "                                                                                               
[21] " film doesnt drag second minute running time thanks tight editing sure hand littleknown director terrance h winkless "                                             
[22] " doesnt matter one bit special effects cheesy schlock even high class schlock "                                                                                    
[23] " fact criticism film things get tad weak towards end "                                                                                                             
[24] "tighter direction given climax urgency characters act rather illogically given lifethreatening situation "                                                         
[25] " minor complaints "                                                                                                                                                
[26] "just see "                                                                                                                                                         
[27] " earth one biggest scifi surprises years "                                                                                                                         
[28] " michael york one cool swoop youve made bmovie legend dude "                                                                                                       
