 [1] "perhaps dramatic changes motion picture industry decade special effects "                                                                                                                
 [2] " question actionadventure sciencefictionaction movies now judged character light noise "                                                                                                 
 [3] "whereas classic adventure pics last twenty years raiders lost ark made grand traditional fashion contemporary films like jurassic park multimilliondollar creations computer technology "
 [4] " latest visually awesome series movies wachowski brothers matrix testament skilled use special effects ability enhance movies story "                                                    
 [5] "unlike many scifi movies promote effectsheavy blockbusters fail deliver promise matrix carefully constructed special effects event "                                                     
 [6] " runs minutes length employs countless number computerized tricks range gimmick grandiose quality effects remains constant throughout films length "                                     
 [7] "contrary popular trend matrix commits spectacle light sound "                                                                                                                            
 [8] " regard movie something like card sharp "                                                                                                                                                
 [9] " flashy mass stripped away matrix quite shallow untalented "                                                                                                                             
[10] " script characteristically weak dialogue suffers lieu far innovative visual approach "                                                                                                   
[11] " like card sharp matrix wows audience high degree actual content irrelevent "                                                                                                            
[12] " viewers dont care matrix say long next special effects sequence right around corner "                                                                                                   
[13] " right around corner usually script tells fastpaced albeit frequently revisited story "                                                                                                  
[14] " movie explains world know nothing elaborate computer program constructed artificial intelligence purpose placating mankind "                                                            
[15] "billions human beings lie dormant state intelligence matrix farms life energy "                                                                                                          
[16] " select group individuals knows real world particularly ingenious squad rebels led ultracool morpheus laurence fishburne "                                                               
[17] "morpheus crew recruit computer expert named neo keanu reeves believing prophesied individual will help overthrow matrix return peace earth "                                             
[18] " cast plays story stylish fashion "                                                                                                                                                      
[19] " set design dynamic running gambit cramped dreary bright airy "                                                                                                                          
[20] " costumes well actors wear add roles "                                                                                                                                                   
[21] " instance manifested antagonists movie group agents created matrix computer program dress matching secret servicewear rebel fighters hand dress rich hues leather "                      
[22] " casting criticized typically stoic reeves isnt required say much laurence fishburne gets plenty time damn cool "                                                                        
[23] "supports carrieanne moss joe pantoliano hugo weaving effectual "                                                                                                                         
[24] "one best comparisons thw matrix last years science fiction masterpiece dark city particularly one ponders premise wouldve worked different approach "                                    
[25] " alex proyas film far dark introspective requiring bit thought themes became clear wachowski brothers managed construct thrillride motion picture little abandon much noise "            
[26] " better picture two depends viewer key success matrix noise get way fun "                                                                                                                
