 [1] "labelling sometimes everything "                                                                                                                                                             
 [2] " original mad max opening title set plot movie near future thus making one science fiction classics despite future world almost exactly like "                                               
 [3] "walter hill wanted opening title action classic warriors "                                                                                                                                   
 [4] "producers werent thrilled idea consequently movie lost futuristic overtones "                                                                                                                
 [5] " hand producers right mark walter hill accused actually promoting disturbing trends quite visible contemporary america "                                                                     
 [6] " make movie even distant future plot loosely based anabasis historical book written xenophon greek mercenary soldier described adventures ancient persia years ago "                         
 [7] "instead ancient persia movie begins contemporary coney island cleon dorsey wright leader warriors local youth gang gets invitation great gathering youth gangs city "                        
 [8] " gathering organised gramercy park riffs powerful gang city taking place bronx "                                                                                                             
 [9] " far away warriors home territory small unarmed delegation warriors gets safely thanks general truce "                                                                                       
[10] " gathering cyrus roger hill charismatic leader riffs announces grand plan unite gangs take city "                                                                                            
[11] "crowd enthusiastic small gang rogues led psychopathic luther david patrick kelly uses opportunity assassinate cyrus "                                                                        
[12] "police simultaneously raids gathering commotion warriors get blamed killing leader gets killed riffs "                                                                                       
[13] " remaining eight led cleons lieutenant swann michael beck must now try get coney island time unprotected truce instead chased gangs "                                                        
[14] "upon release despite controversies even youth riots allegedly inspired warriors enjoyed immense popularity quickly received kind cult status "                                               
[15] "however despite one best movies year directed talented action director walter hill peak career movie failed leave strong impression future generations cinematic achievements year "         
[16] " reason probably lies fact movie aged quickly "                                                                                                                                              
[17] " walter hills idea warn public problems urban america failed miserably "                                                                                                                     
[18] " future much worse vision "                                                                                                                                                                  
[19] " youth gangs presented warriors far shadowy armies able take entire cities "                                                                                                                 
[20] " members seem interested unorthodox fashion little petty feuds prosaic public annoying matters like crime "                                                                                  
[21] " vocabulary word arms reserved small knives blunt objects use heavy artillery like handguns "                                                                                                
[22] " even strict detailed laws upheld strictly governments "                                                                                                                                     
[23] "many people american cities happy see young criminals behaving like warriors "                                                                                                               
[24] " critics accused hill actually praising youth crime lot arguments favour "                                                                                                                   
[25] "despite objections warriors elements good film "                                                                                                                                             
[26] " plot simple serves good basis numerous action scenes "                                                                                                                                      
[27] " fights brilliantly choreographed quite realistic although isnt much bloodshed gore movie "                                                                                                  
[28] "editing superb events happen quick pace exception middle boring moralistic exchanges swann wouldbegirlfriend mercy deborah van valkenburgh drag plot straight action social drama territory "
[29] " soundtrack barry de vorzon suggestive recognisable "                                                                                                                                        
[30] "yet trademark film actors showed great talent although later sunk anonymity "                                                                                                                
[31] "best known david patrick kelly whose superb original performance film later subscribed roles psychopathic villains "                                                                         
[32] "michael beck cool almost statesmanlike leader gang also good james remar gives good contrast hotshot contender top spot "                                                                    
[33] " movie perhaps dated yet hour half can give lot entertainment contemporary movies "                                                                                                          
