 [1] " great film "                                                                                                                                       
 [2] " stunning touching heartwrenching heartwarming lifeaffirming miraculous film "                                                                      
 [3] " opening moments life beautiful walks fine line serious tragedy uplifting comedy "                                                                  
 [4] " car brakes speeds town guido roberto benigni motions people move way "                                                                             
 [5] " mistake fascist president traveling town day "                                                                                                     
 [6] "heil "                                                                                                                                              
 [7] "heil "                                                                                                                                              
 [8] "huh "                                                                                                                                               
 [9] "shortly thereafter president drives people stare blank faces "                                                                                      
[10] " standard somehow fresh postmodern stuff clown also jew triumphs antisemitic society lives "                                                        
[11] "granted great dictator comes mindcharlie chaplins almost masterpiece "                                                                              
[12] " think lib benigni wrote directed trumps gd one essential point chaplins jewish barber gives great speech climax break completely character "       
[13] "benigni given similar situation mistaken fascist dignitary must explain classroom filled schoolchildren scientists concluded aryans superior race " 
[14] "benignis guido stays character delivers speech keeping subject matter intact showing absurdity concept "                                            
[15] " one great satirical scenes modern cinema "                                                                                                         
[16] " many scenes especially first half bright loopy funny silly "                                                                                       
[17] "slapstick reigns although film subtitled doubt universal language conveyed "                                                                        
[18] " although focus courtship guido dora played nicoletta braschi benignis real life wife silent undercurrent creeps "                                  
[19] " clearly racist society evidenced aforementioned scene others will soon affect family "                                                             
[20] " second half film takes place five years later unnamed concentration camp guido dora insistence fiveyear old son giosue giorgio cantarini deported "
[21] "guido seeing horrors desperate protect wife child "                                                                                                 
[22] " wife separated must find ways communicate right "                                                                                                  
[23] " son controversial part film convinces youngster one big elaborate game rules include hiding quiet learning ask seconds "                           
[24] " raises big questions deal pain "                                                                                                                   
[25] " persecution "                                                                                                                                      
[26] " injustice worst level "                                                                                                                            
[27] " said tragedies bring best people finding strengths realize "                                                                                       
[28] " times deteriorate become overwhelmed little strength incentive swim "                                                                              
[29] "sometimes even people giggle moments vacant emotion behind yearning brightness soothe wounds "                                                      
[30] "benignis guido realizes "                                                                                                                           
[31] " clown fool "                                                                                                                                       
[32] " sees slurs vandalism feeling weight verbal attacks still audacity see everyone around perhaps even antagonists laugh "                             
[33] " liberty stripped dignity certainly dignities around "                                                                                              
[34] " obvious onset someone much fascism preposterousness aryan nation grinning joyful demeanor "                                                        
[35] "perhaps form denial "                                                                                                                               
[36] "perhaps alternate reality muster unlike different brazil "                                                                                          
[37] " "                                                                                                                                                  
[38] "perhaps example great fortitude weapons wit "                                                                                                       
[39] "whatever purposes subject debate also sure sign one great threedimensional characters stranded amidst terrifyingly risky concept "                  
[40] "surprisingly works "                                                                                                                                
[41] " important footnote film intended accurate reflection holocaust "                                                                                   
[42] " atrocities trivialized far "                                                                                                                       
[43] " dont broadcast explicitly shown muster horrorless "                                                                                                
[44] " believe benigni cautious preserve tone like theory guidos alternate reality seeing "                                                               
[45] "however criticism rewriting history holocaust wasnt bad seems simply offtarget "                                                                    
[46] "benignis film won audience awards cannes toronto definite shooin best foreign language film hopefully best picture well "                           
[47] " made honorary jew jerusalem film society "                                                                                                         
[48] " swept italian academy awards "                                                                                                                     
[49] "controversy notwithstanding one great films year writing one beat best film "                                                                       
[50] "masterful "                                                                                                                                         
[51] "miraculous "                                                                                                                                        
[52] " mustsee "                                                                                                                                          
