 [1] " happy bastards second review "                                                                                                                                                
 [2] "american pie "                                                                                                                                                                 
 [3] " summer raunch continues spread theatres latest yuk fest filled sick jokes teen dialogue aplenty "                                                                             
 [4] " go expecting dawsons creek youre problem "                                                                                                                                    
 [5] " expectations lower better might add will enjoy hell american pie "                                                                                                            
 [6] " movie casts several unknowns real recognizable one sctvs eugene levy happygolucky dad "                                                                                       
 [7] " story revolves around four high school seniors one goal school year gets get laid "                                                                                           
 [8] "thats pretty much "                                                                                                                                                            
 [9] "throughout movie little sick comic bits sprinkled throughout including memorable scene involving apple pie wont give away probably know internet broadcast gone horribly awry "
[10] " course movie slightly sentimental bits dont drag movies humor content bad "                                                                                                   
[11] " actors get job done levy whos hoot father tries talk sex son help curious visual aids "                                                                                       
[12] " couldnt stop laughing movie can stand raunch sex references american pie "                                                                                                    
[13] " youre one conservative types well ill bet youre fun home south park austin powers ii plays theatres now arent "                                                               
