 [1] " thing "                                                                                                                                                                                                                                                            
 [2] " r tom hankss screenwriting directorial debut thing qualities associate beloved screen actor moment fun lively ohsonice "                                                                                                                                           
 [3] " latter quality however becomes hindrance s nostalgia trifle nice sweet teeters becoming bland milquetoast "                                                                                                                                                        
 [4] " thing focuses wonders teen rock band erie pennsylvania suddenly thrust national spotlight score major dance hit called course thing "                                                                                                                              
 [5] " groups members naturally diverse group theres brooding lead singer songwriter jimmy johnathon schaech girlcrazy lenny steve zahn lead guitarist goofy geeky type known bass player ethan embry films center guy tom everett scott drummer aspirations jazz "       
 [6] "along wonders ride success jimmys perpetually neglected galpal faye liv tyler "                                                                                                                                                                                     
 [7] "hanks proves capable writerdirector deftly recreating innocent spirit hanks calls last innocent year "                                                                                                                                                              
 [8] " spirit reflected period clothes settings also music like recent period music film grace heart expressly written film hanks hand writing four tunesbut infectious title cut adam schlesinger guaranteed stay head long end credits rolled still playing mind write "
 [9] " come surprise hanks director works well actors eliciting charming likable work entire cast notably hanks lookalike scott tyler remarkable delivering films biggest best dramatic moment "                                                                          
[10] " work young ensemble natural truly convince teens early s appear s grungers playacting retro "                                                                                                                                                                      
[11] "yet light frothy charms thing nearly nice fault "                                                                                                                                                                                                                   
[12] " unbridled innocence film refreshing change sinful cinema around days enough conflict keep things consistently interesting "                                                                                                                                        
[13] "everyone happy basking glow overnight success marvelling allexcept toward end even tone quickly reverts sweetness ending appropriately feelgood note "                                                                                                              
[14] " isnt much edge throughout thingthe thing remotely edgy hankss turn wonders managerand thus becomes danger nice bland "                                                                                                                                             
[15] " little niceness goes long way days theres denying entertainment value thing just impossible hate "                                                                                                                                                                 
[16] " inoffensive enjoyable piece nostalgia sure leave audiences smiling humming singing thing quite "                                                                                                                                                                   
[17] "possibly days "                                                                                                                                                                                                                                                     
[18] " paraphrase passage song though try try forget song just hard every time play thing "                                                                                                                                                                               
