 [1] " regards making movie like trying stretch rubber band far can without breaking "                                                                     
 [2] "try hard snaps much reservation means someone else will come along pull farther "                                                                    
 [3] " simon birch director mark steven johnson shows us just master technique takes advantage caution poise also risks movie bold steps "                 
 [4] " end hes holding unbroken band makes audience appreciate lengths went direct fine feature "                                                          
 [5] "theres doubt film johnson crafted rich "                                                                                                             
 [6] " chooses setting quaint town gravestown maine leaves turn bright orange fall grass lush green pure white snow falls winter sky goes forever "        
 [7] " characters continue turn two leads simon birch ian michael smith joe wenteworth joseph mazzello "                                                   
 [8] "simon smallest baby ever born within records local hospital age twelve hes two feet tall "                                                           
 [9] "joe bastard son rebecca ashley judd age twelve hes ready know father "                                                                               
[10] "naturally two outcasts become good friends share many adventures together disrupting sunday school community service playing little league baseball "
[11] " wonderfully executed performance ian michael smith simon birch convinced hes gods instrument must reason hes small "                                
[12] "joe doesnt quite buy sticks simon two tough worst times others true friends "                                                                        
[13] "early two meet ben goodrich oliver platt rebeccas new boyfriend although bond isnt immediate ben two boys develop liking "                           
[14] " platt judd give solid performances lend characters deep likeability "                                                                               
[15] " audience cares much joe simon testament acting jobs "                                                                                               
[16] "finally jim carrey gives cameo adult joe present day minutes relatively impressive entire performance truman show "                                  
[17] "mark steven johnsons sense drama writing fantastic "                                                                                                 
[18] " script loosely based john irvings novel prayer owen meany far source material irving actually requested credits changed based suggested "           
[19] "along lines almost unfitting compare two johnson uses tension humor atmosphere suspense create original drama forrest gumpian proportions "          
[20] " means developed project similar popularity gump made million dollars birch pass sight weeks winning idea remains "                                  
[21] "simon birch different look different life one will likely studied film school classes decades come "                                                 
[22] " present however enjoyable little picture everyone take look "                                                                                       
