 [1] "set wild west carry centres around arrival rumpo kid sidney james cronies stodge city "                                                                
 [2] " dodgy dealings summary shootings aggravate judge burke kenneth williams much asks sheriff albert earp jon pertwee drive rumpo town "                  
 [3] "instead rumpo kid shoots sheriff dead "                                                                                                                
 [4] "therefore judge burke sends law marshall come clean city "                                                                                             
 [5] "due misunderstanding english sanitary engineer called marshall p knutt jim dale assigned without knowing law marshall stodge city "                    
 [6] " arrives time annie oakley angela douglas seeking revenge father sheriffs murder "                                                                     
 [7] " marshall arrives stodge city soon becomes aware misunderstanding due rather limited intellect manipulated rumpo kid always ends getting things wrong "
 [8] " end headtohead rumpo marshall "                                                                                                                       
 [9] " rumpos past experience seem marshall depth using sanitary skills learning ways west annie oakley least stands chance "                                
[10] "sid james american accent perfect rumpo kid part suits ground "                                                                                        
[11] "jim dale provides one best carry performances stupid sanitary engineer angela douglas effective role revengeful daughter "                             
[12] " regulars appear movie include charles hawtrey bernard bresslaw debut big heap little heap respectively "                                              
[13] "big heap local indian leader crazy casting hawtrey part amusing performance steals every scene even though enter film thirty minutes past "            
[14] "joan sims provides useful amusing support belle local bar owner takes fancy rumpo kid "                                                                
[15] "however part doc played peter butterworth sheriff albert earp played jon pertwee really necessary pertwees performance rather poor "                   
[16] "kenneth williams uses new voice struggles weak part judge "                                                                                            
[17] "even carry sid james kenneth williams favourite "                                                                                                      
[18] " different carry film played seriously actors possesses realism carry "                                                                                
[19] " death count highest carry film "                                                                                                                      
[20] "sets costumes action sequences commendable "                                                                                                           
[21] " songs included movie title song annies song impressive "                                                                                              
[22] " strange therefore interesting carry film "                                                                                                            
[23] " best kind certainly distinctive film series "                                                                                                         
