 [1] "warning actually wish see film stop reading see "                                                                                                                                                           
 [2] " dont blow plot details know movie disappointing built becomes waiting month see titanic thing "                                                                                                            
 [3] " nutshell good film "                                                                                                                                                                                       
 [4] "star wars episode phantom menace reviewed vince yim "                                                                                                                                                       
 [5] "never biggest star wars fanatic world star trek next generation difficult relate mass fandom surrounding latest installment phantom menace "                                                                
 [6] "however cant ignored "                                                                                                                                                                                      
 [7] "endless toys lining shelves endless news reports multibillion dollar advertising campaign makes difficult "                                                                                                 
 [8] " level hype one recall overhyped disaster godzilla definitely failed live expectations "                                                                                                                    
 [9] "thankfully phantom menace much much better "                                                                                                                                                                
[10] " first star wars trilogy told story jedi knight luke skywalker prequels backpedal tell backstory obi wan kenobi young jedi named anakin skywalker become father luke eventually become darth vader "        
[11] "without blowing much story phantom menace evolves around peaceful planet naboo held hostage greedy trade federation two jedi knights quigon ji played liam neeson obiwan kenobi played ewan mcgreggor free "
[12] " phantom menace taken literal beating various film critics leaving lower expectations somewhat "                                                                                                            
[13] "common complaints range lack characterization weak narrative poor direction actors dated style much focus special effects "                                                                                 
[14] "still film critics often apply much historical theory regards film criticism much average film buff care "                                                                                                  
[15] "hence film lot fun definitely improvement previous films even improvements special editions "                                                                                                               
[16] " many memorable sequences throughout film ranging fast furious pod race sequence take chariot races ben hur many fight scenes involving legions battle droids "                                             
[17] "utilizing technology light years beyond anything made special effects computers used create everything monsters robots amazing cityscapes incredible detail "                                               
[18] " matter many times watch film will catch something new "                                                                                                                                                    
[19] " level humour bit higher previous films well mostly conveyed reluctant hero jar jar binks belongs race known gungans "                                                                                      
[20] "best described mr bean planet naboo steals show "                                                                                                                                                           
[21] "unfortunately computergenerated character tells bit direction actors although natalie portman queen pretty effective jake lloyd young anakin skywalker "                                                    
[22] " star wars mania time high risk film will disappoint doubts film tendency times "                                                                                                                           
[23] " logic problems plot several things left unchecked times seems made diehard star wars fans although appearance tusken raiders makes laughs "                                                                
[24] " young anakin skywalker really annoying character coming smarmy arrogant brat attitude wonder turns dark side "                                                                                             
[25] "still seems many people especially critics missing point "                                                                                                                                                  
[26] " film fun half hours youll blow life something wouldnt mind "                                                                                                                                               
[27] " may psychological impact academy award contender really cares "                                                                                                                                            
[28] " film pure fun beginning end "                                                                                                                                                                              
[29] " isnt really matters "                                                                                                                                                                                      
