 [1] " part former yugoslavia country croatia used almost completely ignored western films general "                                                                                                                            
 [2] "words croatia croatians unheard even movies whose plots actually took place croatian locations "                                                                                                                          
 [3] " rare exception dogs war adaptation frederick forsyths bestselling novel yet rare occasion added insult injury mentioning croatians unflattering context "                                                                
 [4] " single line referred bunch mean people probably terrorists happen remove parts arm dealers stomachs unsatisfied quality merchandise "                                                                                    
 [5] " line also illustrates milieu movie takes place dark violent world shady international deals blurred boundaries business politics crime "                                                                                 
 [6] " movie protagonist shannon christopher walken mercenary spent best years life fighting numerous little wars globe "                                                                                                       
 [7] " latest job intelligence mission powerful mining corporation demands information political climate west african nation zangaro "                                                                                          
 [8] "shannon arrives country find oppressive regime president kimba bloodthirsty madman whose brutality crushed opposition scared almost westerners away "                                                                     
 [9] " arrested tortured kimbas secret police shannon leaves country help british journalist north colin blakely "                                                                                                              
[10] "upon return approached mining company time want plan execute coup detat kimba "                                                                                                                                           
[11] "shannon reluctantly agrees assembles small group surviving mercenary friends begin meticulous preparation another small war "                                                                                             
[12] "thing separates dogs war conventional action movies especially made s authenticity almost close documentary "                                                                                                             
[13] " shouldnt surprise anyone author novel frederick forsyth made reputation blending fiction real life thus creating interesting exciting yet believable plots books "                                                       
[14] " plots also responsible successful s thrillers one zinnemmans day jackal now considered classic genre "                                                                                                                   
[15] " one deals soldiers fortune ancient tradition resurrected great turmoil s s filled void left vanishing colonial empires "                                                                                                 
[16] "unlike wild geese used pretext conventional action adventure script george malko gary de vore author whose death last year became real life mystery serious instead action puts emphasis characters prosaic details work "
[17] " movie doesnt try romanticise mercenary profession glorify mercenaries kind superheroes simply shown deadly yet expendable tool powerful forces questionable agenda "                                                     
[18] "christopher walken played many movies yet rarely can see leading role "                                                                                                                                                   
[19] " performance film perhaps isnt breathtaking yet adequate "                                                                                                                                                                
[20] " notoriously expressionless face perfect illustration disillusioned world weary man whose alienation normal way life becomes complete remaining ideal loyalty shrinking circle friends "                                  
[21] "although movie doesnt lack capable actors roles miniature compared walkens colin blakely cynical reporter opportunity portray character "                                                                                 
[22] "however look familiar faces find plenty dogs war tom berenger paul freeman jo beth williams victoria tennant brief cameo biggest surprise ed oneill married children fame shannons reluctant colleague "                  
[23] " first major production john irvin shows earned reputation capable yet second class director "                                                                                                                            
[24] " good script can make good movie bad script can make real mess "                                                                                                                                                          
[25] "luckily dogs war good script "                                                                                                                                                                                            
[26] "irvins direction ascetic gave movie almost documentary feel "                                                                                                                                                             
[27] " distraction dramatic music geoffrey burgon used wrong places "                                                                                                                                                           
[28] " final battle scene can see mercenaries work irvin shows us modern warfare means superior firepower tactics unlike s ramboesque fantasies rely macho superheroes "                                                        
[29] "unfortunately making battle realistic irvin made somewhat less attractive sloppy editing also didnt help "                                                                                                                
[30] " despite shortcomings movie remains interesting rare combination action thriller gritty realistic political drama "                                                                                                       
