 [1] " brief best bleak comedy film since heathers "                                                                                                                     
 [2] "full wonderful swipes fifteen minutes fame mentality feeds much modern american pop culture "                                                                      
 [3] "go see "                                                                                                                                                           
 [4] " prepared film watching moving interview hard copy pam smart new hampshire media teacher convicted engineering death husband back s "                              
 [5] " hard copy s diane diamond asked smart thought nicole kidmans fictionalized portrayal new film die "                                                               
 [6] "smart replied thought kidmans character came dumb vicious tramp thought publicity new movie generates might just hurt chances latest court appeal "                
 [7] " smart convicted given life sentence part murder husband "                                                                                                         
 [8] "smarts got point "                                                                                                                                                 
 [9] " wouldnt first time public took better scripted wellacted movie version event absolute truth duller far less artistic real life version "                          
[10] "however given choice mass media happening real event fictionalized movie definitely opt later "                                                                    
[11] "real murderers rarely dialogue witty buck henry written movie smart pretty alluring match cinematic charms nicole kidman "                                         
[12] " die begins town called little hope new hampshire archetypal dry intellectually barren american suburb "                                                           
[13] " story concerns ambitious suzanne stone tackles obstacles life long ambition tv "                                                                                  
[14] " course one little obstacles turns dull unambitious husband larry played matt dillon "                                                                             
[15] " little imagination charm raw sex appeal rather novel approach junior achievement heroine manages overcome naysayers life least temporarily "                      
[16] "kidman triumphs trashy role suzanne "                                                                                                                              
[17] " never really fond actress shows wonderful flair comedy picture "                                                                                                  
[18] " portrayal incredibly shallow dumb femme fatale resonates "                                                                                                        
[19] "kidman knows starmaking role sees plays consciencedeprived suzanne ultimate career driven postfeminist ubertemptress hell "                                        
[20] " ably abetted wonderfully demented comic dialogue kidman delivers unselfconsciously funny way "                                                                    
[21] " one point suzanne expounding knowledge world events future husband sisterinlaw "                                                                                  
[22] " know knowingly exclaims gorbachev still leader russia whatever just ugly purplish thing removed head "                                                            
[23] " husband beams suzannes profound knowledge world politics proudly proclaims qualifies next barbara walters "                                                       
[24] " close pop culture bashing heaven folks "                                                                                                                          
[25] " standout performance film delivered joaquin phoenix "                                                                                                             
[26] " plays jimmy burned teenager becomes addicted suzannes sexual favors "                                                                                             
[27] "kidmans character vapid though sort suave beacon success jimmy lost friends russell lydia winningly portrayed casey affleck alison folland "                       
[28] "phoenix looks like embodiment genx slackerhood envisioned tabloid tv course "                                                                                      
[29] " jimmy dead eyes demeanor kid knows aint going anywhere ever "                                                                                                     
[30] "phoenix reacts sexy suzanne sort obsessed amazement makes us believe loser character like jimmy really willing kill someone like suzanne someone actually noticed "
[31] "gus van sant drugstore cowboy private idaho direction firstrate "                                                                                                  
[32] " keeps pacing notquitethriller snapping along "                                                                                                                    
[33] "van sant rightly keeps focus movie amoral suzanne doesnt stop proselytize audience rightness wrongness actions "                                                   
[34] "van sant trusts material trusts audience get without stopping explain funny allamerican story "                                                                    
[35] " screenplay buck henry absolutely great includes best bleakly comic lines ive heard since heathers "                                                               
[36] "henrys story blast shallowness american media mindlessness fame yet screenplay delivers sharp message focusing just characters "                                   
[37] "henry ably manages avoid diluting story aiming many targets result crisp funny miniclassic "                                                                       
[38] "danny elfman original music movie delivers another eccentric loopy score strongly echoes themes edward scissorhands "                                              
[39] "either film score make wonderful background music halloween trickortreat parties "                                                                                 
[40] "allinall wonderful production well worth seven bucks "                                                                                                             
[41] " die columbia pictures release directed gus van sant "                                                                                                             
[42] "written buck henry score danny elfman starring nicole kidman matt dillon joachin phoenix based book joyce maynard "                                                
[43] "rated r language mature themes "                                                                                                                                   
[44] " respect r s rating stars "                                                                                                                                        
[45] "go see "                                                                                                                                                           
