 [1] " promotion fear loathing las vegas made film comedy first hour seems like might one "                                                                                                                                                          
 [2] " hippie movement left behind quite washouts among journalist raoul duke johnny depp attorney dr gonzo benito del toro "                                                                                                                        
 [3] " two spend film druginduced stupor strange hallucinations trashing hotel rooms either annoying scaring almost everyone crosses path "                                                                                                          
 [4] "duke first assigned cover outdoor desert motorcycle race las vegas gets lost blur drugs beer flying dust ends wandering around clue won "                                                                                                      
 [5] " leaves vegas briefly sent back can described strangely appropriate twist fate cover drug enforcement conference "                                                                                                                             
 [6] "fear loathing misinterpreted glorifying use drugs "                                                                                                                                                                                            
 [7] " doesnt even beginningwhile pairs antics sometimes amusing relatively harmless first humor still fairly dark "                                                                                                                                 
 [8] "director terry gilliam views rather satirical eye even laughing laughing rather "                                                                                                                                                              
 [9] " spend time paranoid angry just plain befuddled probably understandable reaction seeing entire room suddenly fill giant reptiles "                                                                                                             
[10] " black comedy may entertaining watch onscreen probably something audience members want experience firsthand "                                                                                                                                  
[11] " aside starting grow bit restless film drew near onehour mark thinking wanted something just offkilter satire drug culture "                                                                                                                   
[12] "thankfully script delivers long duke rare moment lucidity stops recall enthusiastic hippie riding wave something seemed special important "                                                                                                    
[13] "now six years later wave finally broken puts "                                                                                                                                                                                                 
[14] "materialistic culture still alive well film right face las vegas american dream duke occasionally speaks still just shallow phony ever "                                                                                                       
[15] " social protesters lost questionable aspects movement turned ugly left casualties duke drift sea drugs disillusionment "                                                                                                                       
[16] " many ways fear loathing gilliams realitybased film others exception fisher king made use sort fantasy sciencefiction plot elements "                                                                                                          
[17] "yet offthewall masterpiece brazil film bears visual resemblance "                                                                                                                                                                              
[18] " protagonist brazil found alternately surrounded plastic soulless society constant chaos totalitarian police inspections terrorist attacks similarly dukes world composed artificial empty glam las vegas bizarre anarchy drug hallucinations "
[19] "unlike protagonist brazil however duke particularly admirable figure neither gonzo "                                                                                                                                                           
[20] " latter half film trips turn nastier consequences worse eventually building incident diner gonzo crudely frightens humiliates waitress duke though doesnt seem approve doesnt anything stop either "                                           
[21] " time scene takes place dont seem like hippies peaceniks protesters anything sort just seem like couple stoned jerks diner "                                                                                                                   
[22] "duke seems realize level hes become something doesnt like hes either apathetic defeated anything change "                                                                                                                                      
[23] " film taken critical drubbing many view essentially pointless film simply throws one trip scene another audience "                                                                                                                             
[24] " gilliam may overdone places think cowriters deserve credit "                                                                                                                                                                                  
[25] "theres plenty substance particularly second half observations broken defeated rebels s objects rebellion just arent usually pleasant "                                                                                                         
[26] "unlike say brazil fisher king feature character dares let dream repressive environment fear loathing las vegas shows us someone whos given dreams resorts quick fix drugs "                                                                    
[27] " psychedelic whackedout way sad regretful think also bit kick pants challenge find alternative chemicallyinduced withdrawal equally addictive drug vegasstyle materialism "                                                                    
[28] "indeed duke admits one point hes never learned accept can get higher without drugs "                                                                                                                                                           
[29] "im sure hes closer accepting end suspect audience will get idea "                                                                                                                                                                              
