 [1] " review theres something mary said something effect laughter isnt everything "                                                                                           
 [2] " now need make brief addendum postulate laughter isnt everything unless im watching jim abrahams film "                                                                  
 [3] "see spoofs easy "                                                                                                                                                        
 [4] " love movies love movies make fun movies love "                                                                                                                          
 [5] "sometimes im one theater laughing "                                                                                                                                      
 [6] "sometimes laugh hard embarass laugh highpitched comparison speaking voice cuts right everyone elses laughter "                                                           
 [7] "sometimes laugh much cheekbones sore end film "                                                                                                                          
 [8] "abrahams latest film mafia induced kind hysteria upon "                                                                                                                  
 [9] " gotten mediocre reviews hey im guy laughs everything "                                                                                                                  
[10] " may lot jokes flop film far work laughed frequently failed jokes usually occurred recovering previous bout giddy madness "                                              
[11] " enjoy films like one second serious thoughtprovoking "                                                                                                                  
[12] " lighweight films pose comedies try things like develop characters shape stories nonsense "                                                                              
[13] "mafia "                                                                                                                                                                  
[14] " pretentions characters story exists reason make people laugh "                                                                                                          
[15] " film begins perfect high note mockery opening casino "                                                                                                                  
[16] " hero jay mohr seen walking casino getting car subsequently explodes sends flying air backdrop flowing fire "                                                            
[17] " describe story mafia "                                                                                                                                                  
[18] " absurd pointless will mention basically follows framework godfather films lot casino references inserted throughout "                                                   
[19] "along way parodies seem arbitrary rarely victimize mob films pictures like english patient forrest gump jaws undergo severe hilarious bashing "                          
[20] "movies like rely just things important element direction "                                                                                                               
[21] "abrahams path many times hot shots top secret airplane film exclamation point title hold success mafia "                                                                 
[22] " experience "                                                                                                                                                            
[23] " takes just right attitude scene manages wring least bit laughter even oddly placed references one inexplicable moment seems like wants make fun titanic never develops "
[24] " actors energetic helps lot tone film "                                                                                                                                  
[25] "mohr suicide kings paulie quickly becoming one favorite actors good "                                                                                                    
[26] " looks like hes much fun hes containing laughter every scene watch face sequence swimming pool "                                                                         
[27] "hes probably performer cast manages urge laughter without help material "                                                                                                
[28] "lloyd bridges decent imitation brandos godfather pamela gidley deadon fullblown mockery sharon stone "                                                                   
[29] " hard thing writing reviews comedies im supposed give examples things specific "                                                                                         
[30] "unfortunately constantly blindsided laughter mafia "                                                                                                                     
[31] " cant remember lot made laugh "                                                                                                                                          
[32] " thats good sign mafia "                                                                                                                                                 
[33] " funny wasnt even given time apply scenes memory "                                                                                                                       
[34] " laughed hard shut brain "                                                                                                                                               
[35] " know doesnt sound particularly complimentary watching dumb comedy like first thing want shut brain "                                                                    
[36] "finally film "                                                                                                                                                           
