 [1] "contact nobly intentioned ultimately unsatisfying adaptation carl sagans novel "                                                                                   
 [2] " details circumstances surrounding first clear sign intelligent life outer space effects life young idealistic radio astronomer named ellie arroway jodie foster " 
 [3] " first meet ellie giant radio telescope puerto rico part seti search extraterrestrial intelligence project "                                                       
 [4] " research quickly killed however highly political david drumlin tom skerrit disdains pure research favor science commercial applications "                         
 [5] " goes search private funding turned every step pitches project corporation run mysterious s r "                                                                    
 [6] "hadden john hurt "                                                                                                                                                 
 [7] " money just finally dry ellie sitting desert near large array new mexico hears headphones powerful pulsing radio signal "                                          
 [8] " movies exciting believable sequence ellie coworkers determine signal coming star vega "                                                                           
 [9] " first signal appears just sequences prime numbers turns tv signal berlin olympics bounced back earth years "                                                      
[10] " decoding haddens help reveals another layer message containing detailed plans massive complex machine "                                                           
[11] " appears machine transport will allow one person travel aliens home world "                                                                                        
[12] " course big question becomes gets ride "                                                                                                                           
[13] " right whos gonna pay thing "                                                                                                                                      
[14] " boil ellie gets denied seat machine bluntly acknowledges atheism drumlin gets go rather insincerely professes deep religious faith "                              
[15] "drumlin killed machine destroyed religious fanatics bomb launch platform apparently keep godless science talking god something like "                              
[16] " hadden reappears startling news "                                                                                                                                 
[17] " secretly constructed second machine coast japan reserved ride ellie taken rather paternal interest "                                                              
[18] "ellie boards machine transported kind wormhole dreamlike place looks lot like waikiki beach built hotels meets aliens take form late father david morse "          
[19] " returns home one believes "                                                                                                                                       
[20] " even gone one second say even though remembers gone hours "                                                                                                       
[21] " story officially discredited although believed large segment public dont even know computer records trip contain nothing static "                                 
[22] " "                                                                                                                                                                 
[23] " "                                                                                                                                                                 
[24] "eighteen hours worth static "                                                                                                                                      
[25] " lot like contact will highlight points first "                                                                                                                    
[26] "ellie arroway wellrounded character portrayed one best actresses currently working "                                                                               
[27] "neither character performance depth clarice starling silence lambs thats tough standard meet "                                                                     
[28] "ellie interesting woman defined strange array father figures "                                                                                                     
[29] " real father idealized movie dad nothing film love daughter unconditionally "                                                                                      
[30] "drumlin comes across distant stepfather ellie like irritating teenager wants use toys get trouble "                                                                
[31] "hadden obviously affection ellie end seems see creation nothing favorite piece chess board "                                                                       
[32] "even palmer joss matthew mcconaughey ellies love interest takes paternalistic interest ellie seeing misguided person needs protection impulses "                   
[33] " film technically impressive especially scenes message first received destruction first machine "                                                                  
[34] " part film dealing message best presentation real science film since andromeda strain "                                                                            
[35] " film falls apart dealing central theme dichotomy science religion "                                                                                               
[36] " real debate contact boils simplistic level never really touches actual issues involved "                                                                          
[37] " film presents science pretty well end real problem stems presentation religious faith "                                                                           
[38] "religious people presented shallow caricatures "                                                                                                                   
[39] "rob lowe plays ralph reed clone named richard rank subtle guys voice religious right "                                                                             
[40] "another religious figure fanatic blows first machine jake busey "                                                                                                  
[41] " really fleshedout religious person palmer joss supposed minister sort actual faith left pretty vague "                                                            
[42] " cant even say certain supposed christian "                                                                                                                        
[43] " know dropped seminary obviously qualms premarital sex "                                                                                                           
[44] " film drops science ball end ellie appears assert things even scientists must take faith "                                                                         
[45] " day age theory evolution denounced religion right atheist religious doctrine exactly wrong message send "                                                         
[46] " movie dealing issues science faith last thing want scientist character abandon principle scientific skepticism "                                                  
[47] " ellie said shouldnt believe "                                                                                                                                     
[48] " without evidence dont evidence "                                                                                                                                  
[49] " know happened shouldnt take word alone "                                                                                                                          
[50] " voice science speaking "                                                                                                                                          
[51] " character david drumlin another problem film "                                                                                                                    
[52] " attitudes toward pure research project seem place person position "                                                                                               
[53] "also profession faith selection committee nakedly transparently insincere pack idiots fallen "                                                                     
[54] " last big problem use real personalities various roles "                                                                                                           
[55] " media figures bernard shaw jay leno arent bad much participation voluntary "                                                                                      
[56] " use bill clinton however give anyone pause "                                                                                                                      
[57] "first lifting image sitting head state inserting fictional story line thus using words outside context spoken just plain creepy "                                  
[58] "also using real president places film forever dating "                                                                                                             
[59] "people watching film future will say hey never took place clintons term "                                                                                          
[60] " bit unreality will jar people suspension disbelief "                                                                                                              
[61] "also level technology portrayed film advanced take place first decade next century "                                                                               
[62] "better fictitious president played actor president "                                                                                                               
[63] " film raise interesting question although never develops satisfying way "                                                                                          
[64] " picking emissary send alien culture atheist automatically disqualified just ninety percent population world professes belief god least form supernatural creator "
[65] "personally hope since religion basically opinion form ideology "                                                                                                   
[66] " want form ideological test import task "                                                                                                                          
