 [1] " hes back time "                                                                                                                                                                                                                     
 [2] " motto television series pilot call pilot dont care fox network says revival cult classic british tv show doctor spawned series means smart network execs exactly news lot people know "                                             
 [3] " motto well chosen "                                                                                                                                                                                                                 
 [4] " series simple time lord scientist called doctor thirteen lives traveled around type forty spaceship called tardis outsmarting kind alien baddies including evil daleks master appears feature played badly eric roberts "           
 [5] " good revival something missing make sure really doctor "                                                                                                                                                                            
 [6] " acting "                                                                                                                                                                                                                            
 [7] "hell "                                                                                                                                                                                                                               
 [8] "paul mcgann just good seven guys whove played doctor including predecessor offscreen friend sylvester mccoy appears regeneration scene "                                                                                             
 [9] " looks right role brilliant actor slips effortlessly role way two favorites jon pertwee tom baker "                                                                                                                                  
[10] "daphne ashbrook brings class role dr grace holloway doctors first companion kisses screen typical female companion screams spends free time making coffee doctor tough spunky american ashbrook shows well "                         
[11] "young yee jee tso shows promise chang lee ive seen stuff usually plays punk kid dies end film included imho wastes talent "                                                                                                          
[12] " problem acting eric roberts "                                                                                                                                                                                                       
[13] "one time say mcganns doctor always dress occasion "                                                                                                                                                                                  
[14] " broke said slowly wounded sounding like song lyric always "                                                                                                                                                                         
[15] "dress "                                                                                                                                                                                                                              
[16] " occasion "                                                                                                                                                                                                                          
[17] " need actor less slow less reliant moving hands act whos also british like mcgann doctor "                                                                                                                                           
[18] "executive producer phil segal said casted fox insisted one american star role "                                                                                                                                                      
[19] " dunno thought casting theyre reading news flash eric roberts star "                                                                                                                                                                 
[20] " rides sisters coattails hit movie makes nothing "                                                                                                                                                                                   
[21] " problem kisses past "                                                                                                                                                                                                               
[22] " references show subtle non fans notice whovians theyre good "                                                                                                                                                                       
[23] " script movie whole "                                                                                                                                                                                                                
[24] " script classy piece work featuring master can spit slime mouth nice dialogue movie whole one fans will love good stand alone viewing nonfans enjoy series "                                                                         
[25] " "                                                                                                                                                                                                                                   
[26] "simple plot "                                                                                                                                                                                                                        
[27] " master last legs sends doctor rescue daleks put trial planet skaro exterminate "                                                                                                                                                    
[28] " doctor attempts take remains back gallifrey accidentally land san francisco december master young street hood chang lees help opens eye harmony will suck earth midnight doctor help female surgeon dr grace holloway doesnt close "
[29] "virtually plot "                                                                                                                                                                                                                     
[30] " told movie wouldve featured daleks screen started courtroom drama master daleks lot rewriting went set "                                                                                                                            
[31] " shows smart people made movie hell lot interesting wouldve gotten four star rating "                                                                                                                                                
