 [1] "george little jonathan lipnicki wants little brother "                                                                                                                                                                                                                                                                                                                                                              
 [2] " mr mrs little hugh laurie geena davis visit orphange decide adopt stuart talking mouse voiced michael j fox "                                                                                                                                                                                                                                                                                                      
 [3] "george isnt fond new brother stuart arrives little house neither snowbell family cat voiced nathan lane "                                                                                                                                                                                                                                                                                                           
 [4] "george stuart eventually bond preparing remote control boat race snowbell wants stuart house hes unable live taunts neighborhood felines saying ridiculous mouse pet cat "                                                                                                                                                                                                                                          
 [5] "stuart little mix live action computer generated imagery cgi "                                                                                                                                                                                                                                                                                                                                                      
 [6] " character stuart obviously computer generated image grows film progresses youll soon see much mere special effect "                                                                                                                                                                                                                                                                                                
 [7] " also great deal animal training involved film many supporting cast actual cats computer animated mouths can speak "                                                                                                                                                                                                                                                                                                
 [8] " fascinating watch cats give performances without actual mouse interact "                                                                                                                                                                                                                                                                                                                                           
 [9] "stuart little charming family film "                                                                                                                                                                                                                                                                                                                                                                                
[10] " great laughs movie script cowritten sixth senses m night shyamalan less "                                                                                                                                                                                                                                                                                                                                          
[11] " moments can described cute boat race sequence won even majority oneliners common nowadays childrens films films featuring nathan lane tolerable "                                                                                                                                                                                                                                                                  
[12] "kids parents will love one "                                                                                                                                                                                                                                                                                                                                                                                        
[13] "stuart little available dvd columbia tristar home video "                                                                                                                                                                                                                                                                                                                                                           
[14] " two different dvds sale one contains film full frame presents film original theatrical aspect ratio "                                                                                                                                                                                                                                                                                                              
[15] " versions feature choices either dolby surround dolby digital audio "                                                                                                                                                                                                                                                                                                                                               
[16] " versions also contain following extras hang theres lot full length audio commentary track director rob minkoff animation supervisor henry anderson full length audio commentary track visual effects supervisors isolated score track interactive trivia game interactive featurette goes step step eight effects film making documentary originally aried hbo stuart little readalong story can read stuart read "
[17] " also three music videos six theatrical trailers called thecatrical trailers "                                                                                                                                                                                                                                                                                                                                      
[18] "get "                                                                                                                                                                                                                                                                                                                                                                                                               
[19] " funny stuart little five columbia tristar releases adventures elmo grouchland madeline nuttiest nutcracker muppets space baby geniuses bad thing entire dvd "                                                                                                                                                                                                                                                      
[20] " want reminded awfulness baby geniuses "                                                                                                                                                                                                                                                                                                                                                                            
[21] "dvdrom features also disc including web links demo stuart little cdrom game "                                                                                                                                                                                                                                                                                                                                       
[22] " wait "                                                                                                                                                                                                                                                                                                                                                                                                             
[23] "theres still "                                                                                                                                                                                                                                                                                                                                                                                                      
[24] "theres section called basement treasures will find auditions films animators six deleted scenes can select view without commentary director visual effects gag reel production gag reel incredible eight minute storyboard sequence detailing original concept boat race scene commentary director "                                                                                                                
[25] " first commentary track features director rob minkoff animation supervisor henry anderson "                                                                                                                                                                                                                                                                                                                         
[26] " give insightful detailed thoughts films production "                                                                                                                                                                                                                                                                                                                                                               
[27] "minkoff likes point scenes screenwriters came polished script namely writers like scott alexander larry karaszewski wrote people vs larry flynt ed wood lowell ganz babaloo mandel wrote splash multiplicity among others "                                                                                                                                                                                         
[28] "anderson appreciative animators worked often points animator worked scene occur "                                                                                                                                                                                                                                                                                                                                   
[29] " second commentary track features visual effects supervisors john dykstra jerome chen discuss specific details effects film "                                                                                                                                                                                                                                                                                       
[30] "movie fans will enjoy informative first commentary track serious animation buffs will love second one "                                                                                                                                                                                                                                                                                                             
[31] "now know slightly topic related specifically dvd must voice now "                                                                                                                                                                                                                                                                                                                                                   
[32] "one music videos disc song called need know group called r angels "                                                                                                                                                                                                                                                                                                                                                 
[33] " video features four midteenage girls singers obviously slumber party "                                                                                                                                                                                                                                                                                                                                             
[34] " girls ask ouija board need know "                                                                                                                                                                                                                                                                                                                                                                                  
[35] " song begins "                                                                                                                                                                                                                                                                                                                                                                                                      
[36] " sneak house along way strike pose slumber party pajamas magically transformed middle class streetwalker outfits "                                                                                                                                                                                                                                                                                                  
[37] " head party dance suggestively guys singing lyrics like ill pleasure time "                                                                                                                                                                                                                                                                                                                                         
[38] "just say words youll mine "                                                                                                                                                                                                                                                                                                                                                                                         
[39] "um "                                                                                                                                                                                                                                                                                                                                                                                                                
[40] " hell "                                                                                                                                                                                                                                                                                                                                                                                                             
[41] " stuart little "                                                                                                                                                                                                                                                                                                                                                                                                    
[42] " way song suitable kids movie let alone video suitable kids movie dvd "                                                                                                                                                                                                                                                                                                                                             
[43] " video concludes words continued appear "                                                                                                                                                                                                                                                                                                                                                                           
[44] "oh cant wait see theyve slept toy story dvd comes "                                                                                                                                                                                                                                                                                                                                                                 
[45] "kids wont care special features dvd us can sometimes turned kid heart thanks winning family film sure appreciate "                                                                                                                                                                                                                                                                                                  
[46] " way dvd good movie loaded great features reasonable cost "                                                                                                                                                                                                                                                                                                                                                         
[47] " diney people learn lot columbia tristar "                                                                                                                                                                                                                                                                                                                                                                          
