 [1] " watching shallow grave found periodically noticing thematic similarities coens blood simple "                                                                                                                    
 [2] " good films several characters none conscientious walked earth still really evil indulge act deception soon necessitates serious crimes "                                                                         
 [3] " body count rises long seemingly normal people blood hands "                                                                                                                                                      
 [4] " films also flawed different reasons "                                                                                                                                                                            
 [5] " blood simple unrelentingly dark moody characterizations little hollow "                                                                                                                                          
 [6] " shallow grave hand nearly flawless hour twenty minutes filmmakers throw away much theyd accomplished standard audiencepleasing ending "                                                                          
 [7] " events film sufficiently intense disturbing honestly felt quite troubled witnessing screen time yet slight grin face end "                                                                                       
 [8] " film begins introduced alex ewan mcgregor juliet kerry fox david christopher eccleston scottish trio living apartment glasgow "                                                                                  
 [9] " sarcastic occasionally obnoxious seem like fairly normal bunch "                                                                                                                                                 
[10] " man named hugo moves apartments remaining vacancy next morning found dead drug overdose "                                                                                                                        
[11] "juliet call police alex discovers hugo brought suitcase filled brim cash presumably criminal activities "                                                                                                         
[12] " three eventually decide keep money cover death drawing straws particularly unenviable task mutilating body make unidentifiable burying falls david reluctant partake scheme beginning "                          
[13] " transpires first twenty minutes film part makes shallow grave brilliant honestly idea coming next "                                                                                                              
[14] " obvious question dont report death simply hide cash addressed plotting characterization sometimes predictable worked way kept attention one occasion gave chills "                                               
[15] " will therefore attempt continue review way doesnt give away much plot "                                                                                                                                          
[16] "broadly trio danger due hugos underworld connections two goons search money kill several people process "                                                                                                         
[17] " police inspector ken stott clearly suspicious visits apartment asking pointed questions trying unnerve three suspects exchanging banal weirdly humorous bits dialogue junior detective "                         
[18] "david meanwhile becomes increasingly paranoid moves attic develops affinity sharp objects "                                                                                                                       
[19] "director danny boyle effectively creates atmosphere mounting tension suspicion apartment finally three seem ready turn "                                                                                          
[20] " consider happy endings automatically stupid type thought shallow grave really ended tragedy realistic analysis story last ten minutes film indicate three characters probably end prison mental hospital morgue "
[21] " accomplished quite credibly boyle screenwriter john hodge seem flinch opt conventional caper ending get kick seeing outsmarted nothing "                                                                         
[22] "granted isnt really happy ending still pretty lighthearted compared preceded "                                                                                                                                    
[23] " really shouldnt say anything ending far details go let add seemed shallow lazy also inconsistent rest film believable "                                                                                          
[24] "yes ending made crack smile couple minutes ultimately left feeling id cheated "                                                                                                                                   
[25] "still shallow grave brilliant way least meet minimum requirements entertaining thriller therefore awarding three stars "                                                                                          
[26] " guess just cant help think fourth star boyle hodge let slip away "                                                                                                                                               
