 [1] "robert redford good playing characters incredible godgiven gifts able act like ordinary people "                                                                                                                                                                                                   
 [2] " natural played fallen angelic character roy hobbs baseball player destined best ever still acted like humble farm boy "                                                                                                                                                                           
 [3] " butch cassidy sundance kid dangerous shot west yet came like nothing boyishly goodlooking charmer "                                                                                                                                                                                               
 [4] "even indecent proposal played man good making money believed buy love redford still able exude aura shy decency especially reciting tale lost love "                                                                                                                                               
 [5] " latest film horse whisperer based bestselling novel nicholas evans redford plays character "                                                                                                                                                                                                      
 [6] "redford also directed film although swore never direct movie suppose character tom booker man amazing gift understanding somehow communicating horses just good pass "                                                                                                                             
 [7] "despite enormous rare gift comes training troubled horses magazine article coins phrase horse whisperer describe uncanny talent booker sees everyday cattle rancher whose greatest fear growing old longer purpose life "                                                                          
 [8] "bookers talents taxed service annie maclean kristin scott thomas new york magazine editor whose daughter grace scarlett johansson recently horrible accident "                                                                                                                                     
 [9] " accident filmed gutwrenching horror happens grace best friend riding horses eighteenwheeler kills graces friend severely wounds traumatizes graces horse pilgrim causes grace lose part right leg "                                                                                               
[10] "annie believes pilgrim can healed grace will healed well leads booker "                                                                                                                                                                                                                            
[11] " first tries get booker come new york see horse doesnt work "                                                                                                                                                                                                                                      
[12] "instead packs grace pilgrim leaves husband robert sam neill behind heads rolling hills montana booker runs ranch brother frank chris cooper sisterinlaw diane dianne wiest "                                                                                                                       
[13] " many ways film like journey literally symbolically "                                                                                                                                                                                                                                              
[14] " move west always great american tradition renewal hard see annie graces leaving manhattan montana variation classic theme city vs country "                                                                                                                                                       
[15] " horse whisperer country clearly victor "                                                                                                                                                                                                                                                          
[16] " city characterized claustrophobia unhappiness characters arrive wideopen spaces montana graces anger physically emotionally crippled begins dissipate annies controlling nature begins relax pilgrim learns trust people "                                                                        
[17] "redford just love grand montana country film directed river runs six years ago "                                                                                                                                                                                                                   
[18] " many ways horse whisperer comes poetic vein river movie probably good fifteen minutes shorter redford decided spend less cameratime grass mountains "                                                                                                                                             
[19] " ruin magic "                                                                                                                                                                                                                                                                                      
[20] "much films photography truly elegant creates palpable sense sheer expansiveness land "                                                                                                                                                                                                             
[21] " emphasize redford cinematographer robert richardson natural born killers platoon cheated bit shooting beginning film takes place new york mostly cold harsh bluish filters squarish aspect ratio action shifts montana richardson switches softfocus natural lighting screen widens aspect ratio "
[22] " terms story horse whisperer gives us romanticized view adultery found david leans brief encounter clint eastwoods adaptation robert james wallers bridges madison county richard lagravenese coscreenwriter also adapted bridges "                                                                
[23] "although horse whisperer strong romantic sensibility still find something oddly troubling kind story "                                                                                                                                                                                             
[24] " seems sympathy husband whos left behind brief heartsweeping affair rarely "                                                                                                                                                                                                                       
[25] " horse whisperer thankless role fuddyduddy husband falls sam neill "                                                                                                                                                                                                                               
[26] " plays character decent hardworking man good husband father failure loves wife loves "                                                                                                                                                                                                             
[27] " risk losing annie booker anything drive away simply happens normal fairly uninspiring man "                                                                                                                                                                                                       
[28] " one scene particularly telling movie feels character "                                                                                                                                                                                                                                            
[29] " shows booker robert going horse pen booker dressed like classic cowboy hat robert looks somewhat frumpy outofplace baseball cap "                                                                                                                                                                 
[30] " enter pen booker assuredly swings fence robert hesitates opens gate goofy moment forgets close behind "                                                                                                                                                                                           
[31] " small scene clearly demonstrates movies thorough love booker character romantic roughness "                                                                                                                                                                                                       
[32] " booker represents everything good city robert represents everything banal unnatural "                                                                                                                                                                                                             
[33] " best scenes horse whisperer tend involve building romance booker annie rather healing process grace horse "                                                                                                                                                                                       
[34] "although bookers horsetraining methods mythical unrealistic scenes pilgrim strangely mesmerizing "                                                                                                                                                                                                 
[35] " paralleled scenes grace humorous tender true "                                                                                                                                                                                                                                                    
[36] " point wished movie drop whole romance angle focus grace "                                                                                                                                                                                                                                         
[37] "nevertheless redford obviously romantic heart brings light touch erotic moments film "                                                                                                                                                                                                             
[38] " dramatic sex scenes moving scene scott thomas slowdancing always moving ever closer together far erotic scene sweaty bodies grinding together "                                                                                                                                                   
[39] "although movie longer essentially melodramatic tearjerker unsatisfying conclusion guarantees unhappiness just every character enough moments like make horse whisperer worth price admission "                                                                                                     
