 [1] " take number fill form wait turn "                                                                                                                                                                                                                                                              
 [2] "starring kati outinen kari v n nen sakari kuosmanen elina salo written directed aki kaurism ki cinematography timo salminen "                                                                                                                                                                   
 [3] " might possible call drifting clouds satire black comedy imply sense anger vitriol energy drifting clouds get rage vitality gone "                                                                                                                                                              
 [4] " sad slow story lauri ilona married couple caught wheels capitalism grinds inexorably onward "                                                                                                                                                                                                  
 [5] " loses job tram driver everyone drives cars nowadays "                                                                                                                                                                                                                                          
 [6] "within couple months loses position head waiter restaurant bought chain entire staff replaced "                                                                                                                                                                                                 
 [7] " conversation early film reveals lot situation "                                                                                                                                                                                                                                                
 [8] "lauri surprised ilona buying tv greets little enthusiasm "                                                                                                                                                                                                                                      
 [9] " notes havent finished paying bookshelves couch yet "                                                                                                                                                                                                                                           
[10] " says four years payments will done can buy books shelves "                                                                                                                                                                                                                                     
[11] " pass deadpan humour wasnt spoken resigned weariness "                                                                                                                                                                                                                                          
[12] " sets tone rest movie "                                                                                                                                                                                                                                                                         
[13] " humour idiosyncracy periphery centre frustration futility sorrow ways logic profit reduces people worth equated solely earning capacity "                                                                                                                                                      
[14] " element political commentary critique mechanisms capitalism stultifying social environment creates drifting clouds political subsumed personal movie two people happens nothing else matters "                                                                                                 
[15] "lauri ilona live lives starved friendship respect culture passion "                                                                                                                                                                                                                             
[16] " go movies walk past old posters latalante largent movie just seen pointless violent unfunny comedy "                                                                                                                                                                                           
[17] " house workplaces uniformly unpleasant painted upholstered lifeless colours ugly greens dull reds insipid blues full inelegantly functional objects appliances "                                                                                                                                
[18] " art design impeccable tawdriness director aki kaurism ki often matches colour characters clothes background colour andor lighting seems almost physically fading environment "                                                                                                                 
[19] " suggestion sexuality relationship ilona lauri sleep separate beds gestures affection lack heat desire lives now bound something complex desperate love "                                                                                                                                       
[20] " downward downsized downtrodden lives momentum almost comic one setback succeeds another bottoming lauri stakes remaining money spin roulette wheel "                                                                                                                                           
[21] " must tempting play story laughs farce deadpan wit films great strength sober empathic manner observes lauri ilonas misfortunes "                                                                                                                                                               
[22] "irony injustice "                                                                                                                                                                                                                                                                               
[23] "situations settings broad exaggeratedthis realismbut distorted "                                                                                                                                                                                                                                
[24] " emotions authentic "                                                                                                                                                                                                                                                                           
[25] " difficult laugh anything happens despite droll performances laconic humour thats kaurism ki brings compassion understanding manifold indignities suffered "                                                                                                                                    
[26] " shows us humiliating must woman thirtyeight worked long hard win respectable position forced accept job dishwasher twobit restaurant humiliating must man nearing confront wifes former employer demanding rest wages crap beaten unable land single punch employer cronies refuse give money "
[27] " observed keenly great economy every cut every line dialogue judicious "                                                                                                                                                                                                                        
[28] " films novelistic telling one brings focus concentration short story bear "                                                                                                                                                                                                                     
[29] " gained nuance acumen rather undermined sense material barely accommodates minute running length "                                                                                                                                                                                              
[30] " seen many movies far less profound less humane less necessary drifting clouds filled urge watch one "                                                                                                                                                                                          
[31] " need seen twice every detail implication can absorbed one viewing "                                                                                                                                                                                                                            
[32] " movie will seen large audience pitched one "                                                                                                                                                                                                                                                   
[33] " selling point "                                                                                                                                                                                                                                                                                
[34] " understatement restraint melancholy "                                                                                                                                                                                                                                                          
[35] " characters unremarkable best years behind dreams dissipated takes effort can muster just pay bills "                                                                                                                                                                                           
[36] " make less fascinating merely less marketable shame movie seen precisely pays attention people emotions movies prefer ignore "                                                                                                                                                                  
[37] " engages us touches us resolvessurprisingly movinglyinto something resembling happy ending "                                                                                                                                                                                                    
[38] " thing greater illluck governs characters lives refusal give despair "                                                                                                                                                                                                                          
[39] " persistence rewarded might called feelgood ending elsewhere ending differs kind endings one truly earned "                                                                                                                                                                                     
