 [1] " print television ads trumpeting grease still word right money "                                                                                                                                                                                           
 [2] " celebrate th anniversary quintessential movie musical getting royal treatment reserved classics like star wars welldeserved redcarpet rerelease "                                                                                                         
 [3] "thats fantastic especially considering classic characters scenes film served can forget aspiring beautician frenchie didi conn serenaded tellitlikeitis guardian angel frankie avalon "                                                                    
 [4] " hardnosed principal eve arden reminding student body athletic supporter rooting home team "                                                                                                                                                               
 [5] " national bandstand emcee vince fontaine edd byrnes flirting marty pre empty nest dinah manhoff "                                                                                                                                                          
 [6] " probably considered minor moments "                                                                                                                                                                                                                       
 [7] " skinny john travolta young olivia newtonjohn respective leads danny zuko sandy olsson pairing still ranks one screendoms effervescently charming "                                                                                                        
 [8] " eight arent familiar story heres brief recap greaser bad boy danny aussie good girl sandy reunited senior year rydell high brief fling summer thought going return native continent school started wrong "                                                
 [9] "sandy tries rekindle relationship dannys cool cat fall wholesome appeal front tbird buddies including jeff conaway "                                                                                                                                       
[10] " sandy hooks gang pink ladies headed sassy sexy rizzo stockard channing just superb independent woman well ahead time danny still really feels love attempts compromise ideals order win back "                                                            
[11] " drag race finale yet something drag never thought much greased lightening films big guy number choreography ack grease s flaws amount carp "                                                                                                              
[12] " movies first showpiece summer nights danny sandy separately recount wildly different versions funinthesun romance "                                                                                                                                       
[13] " nights tremendously catchy also smart look men women see events varying eyes "                                                                                                                                                                            
[14] " yet liveaction musical sequence rivals onetwo punch youre one want go together grease s euphoric cappers "                                                                                                                                                
[15] " pleasing moments come smaller quieter moments oscarnominated hopelessly devoted lovely showcase newtonjohn channings lamenting ballad worse things one grease s unjustly overlooked tunes "                                                               
[16] " soundtrack remastered though travolta still hits awful high note end nights restored widescreen allows us see previously panandscannedout choreography nothing else changed computergenerated backgrounds outtakes new musical numbers jabba hutt cameos "
[17] " testament grease s timeless success nothing needs changed allaround blast always appealing cast fun story told great music "                                                                                                                              
[18] " s viewers grease will probably recall disco bellbottoms much made original audience nostalgic doowop poodle skirts "                                                                                                                                      
[19] " regardless decade transports us can agree one thing without doubt grease still word "                                                                                                                                                                     
