 [1] " freedom "                                                                                                                                                                                   
 [2] " one determine free "                                                                                                                                                                        
 [3] " questions difficult answer now "                                                                                                                                                            
 [4] "yet mistakes forefathers must examined order rectify current situations "                                                                                                                    
 [5] " essence steven spielbergs gripping drama amistad "                                                                                                                                          
 [6] " various dramas spielberg presents case group africans seized home forced onto ship sent united states aboard la amistad "                                                                   
 [7] " way slaves led cinque djimon hounsou rebelled killing part crew "                                                                                                                           
 [8] "however ship still directed towards united states africans brought trial murder "                                                                                                            
 [9] " court various factions claim ownership slaves therefore try seize away "                                                                                                                    
[10] " united states government led president martin van buren nigel hawthorne secretary state secretary forsyth david paymer try ship africans spain year old isabella ii anna paquin wants back "
[11] " two spaniards la amistad want slaves "                                                                                                                                                      
[12] " american ship found slaves also wants "                                                                                                                                                     
[13] " midst two abolitionists stellan skaarsgard morgan freeman want slaves free "                                                                                                                
[14] " enlist help lawyer matthew mcconaughey tries free "                                                                                                                                         
[15] " various legal proceedings case appears supreme court argued expresident john quincy adams anthony hopkins "                                                                                 
[16] " film visual wonder "                                                                                                                                                                        
[17] "spielberg favorite janusz kaminski sets film dark somber mood appropriate visual setting appropriate well "                                                                                  
[18] " times film slow methodical "                                                                                                                                                                
[19] "however spielberg finest courtroom scenes tendency lag "                                                                                                                                     
[20] " film essence courtroom drama one whose events oversimplified "                                                                                                                              
[21] " characterization also weak displaying weaknesses building characters lawyer baldwin mcconaughey especially morgan freemans abolitionist "                                                   
[22] " spielbergs finest work film opening scene scene cinques family brutal voyage slaves america altogether stunning "                                                                           
[23] " emotional force carries film "                                                                                                                                                              
[24] "mcconaughey superb lawyer defending africans hopkins sensational old adams freeman outstanding used spielberg vastly uses supreme talents rest cast stellar "                                
[25] " movie however belongs hounsou "                                                                                                                                                             
[26] " emotional intensity brilliant "                                                                                                                                                             
[27] "spielberg manages make even slowest scenes sparkle focus hounsou films extraordinary power simply captivating "                                                                              
[28] " film flawed supporting characters merely cardboard "                                                                                                                                        
[29] " doesnt matter "                                                                                                                                                                             
[30] " story gripping one one extreme importance "                                                                                                                                                 
[31] "kudos spielberg finding finding right men job letting audience listen words cinque "                                                                                                         
[32] " good job around "                                                                                                                                                                           
