 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                                             
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                                    
 [3] "floating life australias firstever submission academy motion picture arts sciences consideration best foreign language film category dialogue cantonese english german marks special accomplishment clara law "                                                                                                                                                                                                  
 [4] " compelling times poignant film manages maintain truthfulness teetering comedy melodrama "                                                                                                                                                                                                                                                                                                                       
 [5] "floating life centers around hong kong familys sense dislocation loss identity moving australia order avoid communist takeover hong kong divided clearly defined vignettes chapter labelled title cards pertaining houses serves emphasize films theme family "                                                                                                                                                  
 [6] " film opens mr mrs chan edwin pang cecilia fong sing lee two teen sons toby wong toby chan leaving bustling claustrophobic metropolis hong kong join second daughter bing annie yip australia "                                                                                                                                                                                                                  
 [7] " spacious immaculatelywhite new house vast abundance neighbourhood greenery chans initially find serene new land strange wonderous one neurotic bing cooly remarking possible dangers australian life killer dogs poisonous spiders dangerous ultraviolet rays frightening one "                                                                                                                                 
 [8] " sets wonderfully amusing scene early film four immigrants aimlessly ambling new suburban neighbourhood sent scrambling yelps little white puppy "                                                                                                                                                                                                                                                               
 [9] " tone set early film broadly comic one expects floating life depict clash cultures chans struggle acclimatize new ways australian life integrate australian society scene two teen sons meet sunbathing neighbourhood girl left dangling film suddenly veers towards introspective melodramatic tone "                                                                                                           
[10] "floating life shifts focus away exploits new immigrants towards bings domineering newlyreunited family setting set stringent oppressive rules create tremendous tension within household threaten fracture family "                                                                                                                                                                                              
[11] "meanwhile elder daughter yen annette shun wah happily settled germany husband young daughter begins suffer identity crisis manifesting claims patiently exasperated husband new home cursed bad feng shui exacerbated upon hearing familial conflict "                                                                                                                                                           
[12] "among dramatic threads floating life perhaps effective engaging interesting set characters storyline generates genuine emotional punch "                                                                                                                                                                                                                                                                         
[13] " one misguided vignette floating life involves eldest son gar ming anthony wong left behind hong kong resolve various affairs behalf family await immigration papers rejoining parents brothers australia "                                                                                                                                                                                                      
[14] "emotionally detatched aimlessly drifting uncompelling character consequently subsequent attempts draw pathos uninvolving ineffective "                                                                                                                                                                                                                                                                           
[15] " desperate search emotional fulfillment depicted philosopical droning exquisite peak orgasm quickly becomes tedious "                                                                                                                                                                                                                                                                                            
[16] "ms laws film cheerfully embraces melodrama major vignettes feature excessively emotional climaxes couldnt help find reminiscent wayne wangs acutely unsubtle joy luck club despite directors rather clear attempts tug heartstrings couldnt help touched powerful affecting soliloquy delivered masterfully cecilia fong sing lee truly packs emotional wallop dramatic terms certainly highlight floating life "
[17] "floating life times spreads thin given myriad characters involved either stand delve vignette little deeper narrow focus select group key characters "                                                                                                                                                                                                                                                           
[18] "however fine film thoughtful insightful screenplay clara law husband eddie lingching fong superb acting cast consisting almost exclusively nonactors special note made cecilia fong sing lee annette shun wah short dazzling performance actress portrayed gar mings girlfriend vancouver "                                                                                                                      
[19] "floating life ultimately ties bond family together able withstand great distances new environments "                                                                                                                                                                                                                                                                                                             
