 [1] "ive noticed something lately ive never thought "                                                                                                                                               
 [2] "pseudo substance hollywood faking deep meanings films "                                                                                                                                        
 [3] " ever seen movie really enjoyed look back realize something missing "                                                                                                                          
 [4] " filmmakers seem putting well rehearsed melodramatic films evoke strong connotations great film step aside reflect movie going experience may just discover nothing elegantly presented fluff "
 [5] "im trying say city angels bad "                                                                                                                                                                
 [6] " lot going somewhere along way faltered "                                                                                                                                                      
 [7] "somehow underneath seemingly poetic beauty gigantic hole somebody covered iridescent performances glossy cinematography "                                                                      
 [8] " predictable ending shattered hopes even though saw coming added disappointment "                                                                                                              
 [9] " hour city angels well worth time "                                                                                                                                                            
[10] "nicolas cage seth guardian angel like hundreds likely thousands even millions angels spends eternity watching citizens mortality humans never aware much celestial intervention occurs life "  
[11] "meg ryan subdued performance yet plays maggie doctor begins ponder exactly fighting fight keep someone alive "                                                                                 
[12] " losing patient surgery table questions envelope maggie seth angel oversee patients transition afterlife immediately captivated doctor "                                                       
[13] " begins following observing maggie falling love everyday "                                                                                                                                     
[14] "angels quickly learn never humans can experience human sensations taste touch ability make seen anyone desire "                                                                                
[15] "seths adoration much resist eventually appear maggie quite regularly although thing seems taboo among angelic community "                                                                      
[16] " angels interestingly presented dressed black reminiscent hitmen traditional glowing white entities nice touch never seems like mere attempt uniqueness "                                      
[17] "cage wonderfully versatile actor think faceoff raising arizona happen combo slips role heavenly agent quite nicely threatens sappiness "                                                       
[18] " nice see ryan pick roles like one courage fire "                                                                                                                                              
[19] " two arent comparable deviate usual intelligently ditzy romantic comedy roles impressive side ryan movie goers rarely chance enjoy "                                                           
[20] " even though two leads impressive job dennis franz grabs us interpretation hospital patient knows meets eye "                                                                                  
[21] " shame much going city angels falters much final stages leaving us realization emotionally incredible movie just didnt know quite get "                                                        
[22] " struggle impacting conclusion wind painful thud rather exhilarating high "                                                                                                                    
[23] "filmmakers know final impression will one linger remember convey others thru word mouth telling us minutes film glorious masterpiece sure leave us disheartening taste mediocrity mouths "     
[24] "based german film wings desire english title course city angels ninety percent success enough make people forgive shortcomings even devastatingly disappointing ending "                       
[25] " movie goers noncynics anyway will wrapped surreal atmosphere give criticism needs criticized "                                                                                                
[26] "nonetheless city angels beautifully captivating probably enough satisfy poetic viewers will appreciate delve rich emotional territories "                                                      
