 [1] "bruce barths mellow piano plays background conflict erupts little country town florida "                                                                                               
 [2] "ulees gold feels like another fonda creation golden pond soft calm surface tempest brewing underneath cinematography creates place gold yellow olive colors music stirring tranquil "  
 [3] " deal hardships family life "                                                                                                                                                          
 [4] "peter fonda gives undoubtedly best performance victor nu ezs new film patricia richardson home improvement star shows worthy big screen attention "                                    
 [5] "nu ez probably independent films greatest asset along john sayles proves talent slow pace undulating heavy tension "                                                                   
 [6] "peter fondas performance borrows father henry fondas golden pond great vulnerability gives character ulee jackson just like father peter fonda quiet emotional weary exceptional role "
 [7] "ulee jackson films protagonist struggling "                                                                                                                                            
 [8] "pressure mounting wrong time "                                                                                                                                                         
 [9] " beekeeper busy season "                                                                                                                                                               
[10] " deal two granddaughters needs erupting hormones forced pick daughterinlaw orlando strung drugs take care faced challenging task unsettled business son now prison left behind "       
[11] " finds daughterinlaw helen two men son robbed bank "                                                                                                                                   
[12] " apparently told two men money resulted robbery husband "                                                                                                                              
[13] " got caught police found money "                                                                                                                                                       
[14] "now two men demanding get cash will come ulees two granddaughters "                                                                                                                    
[15] "ulee promises will bring takes deranged helen back serene little home two children abandoned scrutinize contempt "                                                                     
[16] "ulee man lost pals war man platoon survive "                                                                                                                                           
[17] " refuses help anybody respond affectionate gestures "                                                                                                                                  
[18] " bitter closedoff man whose passion beekeeping granddaughters dead wife "                                                                                                              
[19] "connie next door neighbor finally gets friendly favors "                                                                                                                               
[20] " nurse helps helen get turmoil drugs "                                                                                                                                                 
[21] "ulees gold story man believes fine truth revealed painfully cold unfeeling "                                                                                                           
[22] " course end ulee softens journey absorbing fallen love tiredness weariness "                                                                                                           
[23] " admirable movie peter fondas winning turn ulee story feels like nobodys fool end ends class "                                                                                         
