 [1] " saw trailer film laughed harder quite time "                                                                                                                         
 [2] " therefore pretty well psyched see ever mindful trailer can make even mediocre film look good "                                                                       
 [3] "im happy say theres something mary one trailer letdowns "                                                                                                             
 [4] " fact watching film quite fine way spend two hours "                                                                                                                  
 [5] " film opens flashback high school cumberland rhode island "                                                                                                           
 [6] "ted stroehmann ben stiller social reject cant seem get date upcoming prom comes defense mentally retarded warren w "                                                  
 [7] "earl brown whos harassed one school jocks "                                                                                                                           
 [8] " seems warrens sister campus queen mary jensen cameron diaz impressed teds willingness stand defenseless brother despite real chance getting beaten "                 
 [9] "mary takes immediate liking ted asks prom "                                                                                                                           
[10] "ted just flattered even knew name "                                                                                                                                   
[11] "unfortunately prom night ruined ted accident zipper every man theater will wince sent hospital "                                                                      
[12] "fast forward present ted cleaned now writes magazine weekly therapy sessions order deal obsession past years mary hasnt seen since fateful day "                      
[13] " help friend dom chris elliott ted hires slimy private investigator pat healy matt dillon track love "                                                                
[14] "however pat finds mary falls soon competing affections "                                                                                                              
[15] "theres something mary directed bobby peter farrelly brought us dumb dumber kingpin "                                                                                  
[16] " exactly intelligent comedies guilty pleasure variety might want friends coworkers think great time watching "                                                        
[17] " current film farrelly brothers come something youll enjoy also wont mind talking next day water cooler "                                                             
[18] " film succeeds employing pretty wide range comedic styles subtle ridiculous gags might offensive seeming like residuals farrelly brothers last two films almost work "
[19] " seen many movies recent past shoot mark often hit dead "                                                                                                             
[20] "one minute youll laughing something ted says next youll howling sight dog dragging across floor marys apartment "                                                     
[21] "one great things film going ben stiller "                                                                                                                             
[22] " perfectly cast role ted hes guy just looks awkward almost every situation "                                                                                          
[23] "teds nice fellow tries best reason another things just dont always work "                                                                                             
[24] " comical also kind appeal really feel want come top "                                                                                                                 
[25] "actually ive liked stiller since short aired saturday night live back mideighties "                                                                                   
[26] " film like theatrical trailer spoof tom cruisepaul newman film color money entitled hustler money "                                                                   
[27] " stiller played wince vince taken wing older man played john mahoney become bigtime bowling hustler "                                                                 
[28] " parody finest showed shortlived ben stiller show fox network late early "                                                                                            
[29] "like critic aired abc fox still mourn shows cancellation "                                                                                                            
[30] "cameron diaz absolutely enchanting film although character seems obsessed perfection men dates qualities looks make mary look paperthin times "                       
[31] "however diaz pulls role panache charm can still see shes got guys just falling "                                                                                      
[32] "heck even found laugh cute even though thought annoying appearance made tonight show last week "                                                                      
[33] " girlfriend remarked matt dillon doesnt change know really true "                                                                                                     
[34] " ralph macchio must hang something "                                                                                                                                  
[35] "maybe live dick clarks pool house "                                                                                                                                   
[36] "anyway heres another good piece casting dillon slips beautifully role guy tries worm way marys heart "                                                                
[37] " supporting performances also good "                                                                                                                                  
[38] "chris elliott bigger part abyss yes check next time less annoying cabin boy "                                                                                         
[39] "lin shae plays marys neighbor magda also appeared landlady kingpin provides good laughs especially scenes benjilike dog acts focal point funniest moments film "      
[40] "lee evans marys friend tucker displays flexibility acting accents surprises contributes interesting plot twist "                                                      
[41] " farrelly brothers scriptwriters ed decter john j strauss keep comedic pacing going arent noticeable times film drags "                                               
[42] " problem saw use couple musicians provide segues several key scenes "                                                                                                 
[43] " appear nowhere actually sing plotrelevant information right toward camera "                                                                                          
[44] " device amusing three seconds opened film "                                                                                                                           
[45] " got little annoying unfortunate spots interrupt otherwise smooth flow "                                                                                              
[46] "fortunately filled sight gags humorous lines solid comedic acting theres something mary will still laughing leave theater "                                           
