 [1] " long illustrious career robin williams included forgettable turns like mrs "                                                                                      
 [2] "doubtfire flubber punctuated actors first academy award role good will hunting "                                                                                   
 [3] " first truly dramatic role since s dead poets society critical remarks unanimously positive "                                                                      
 [4] " next role deceased pediatrician dreams may come unfortunately lackluster "                                                                                        
 [5] " sixyear stint comedic actor proof whether williams can cut dramatic league come patch adams "                                                                     
 [6] "williams title character hunter patch adams sporting scruffy facial hair falls cleanshavenness dreams grotesque hairiness will hunting "                           
 [7] " introduced patch commits mental institution suicidal tendancies "                                                                                                 
 [8] " institution however discovers latent talent relating people "                                                                                                     
 [9] " removes institution enrolls university virginias medical college finds medical doctrine calculating impersonal trade "                                            
[10] " attempts inject humanity profession result several bouts expulsion movie climaxes patchs appearance state medical board "                                         
[11] " characters welldefined oscarworthy sense "                                                                                                                        
[12] "although script perform well narrative theres little story told outside patchs skitlength experiences script go long way toward building relationships characters "
[13] " medical school patch meets truman schiff daniel london outsider like relishes patchs zest humanity "                                                              
[14] " two instantly become best friends easy see "                                                                                                                      
[15] "monica potter plays patchs love interest young woman personifies things patch hates medical school "                                                               
[16] " reason hes attracted although never gets said audience understands intrinsic point view "                                                                         
[17] " script based hunter adams story works well way "                                                                                                                  
[18] " rest cast bob gunton villain professor particular solid "                                                                                                         
[19] "director tom shadyac liar liar leads us patchs life sound intentional manner combined williams presence screen movie rarely becomes boring "                       
[20] "patch adams lack purpose major shortcoming first ninety minutes two hours theres little feeling continuity passage time "                                          
[21] "nevertheless emotionally moving picture patch adams looks one memorable holiday season "                                                                           
[22] " succeeds everything tries fails stuff doesnt try first place "                                                                                                    
[23] " large may another oscar nomination herein williams importantly entertainment entire family "                                                                      
