 [1] " rented brokedown palace last night blind heard nothing beforehand enjoyed immensely despite flaws "                                                                                                                                                         
 [2] " anyone wishing experience suggest reserving judgement movie viewing entirety "                                                                                                                                                                              
 [3] " easy task "                                                                                                                                                                                                                                                 
 [4] "superficially bears unfortunate necessarily unintended resemblance several movies notably return paradise midnight express "                                                                                                                                 
 [5] " result nearly every review brokedown palace subsequently read became hopelessly entangled making obvious comparisons "                                                                                                                                      
 [6] " consequence nearly universal condemnation shame fine film "                                                                                                                                                                                                 
 [7] " yet view movie let say attempt portray nightmarish reality third world criminal justice system midnight express completely moral dilemma examination meaning friendship humanity heart return paradise "                                                    
 [8] " view film compared source joseph conrads acclaimed novel lord jim "                                                                                                                                                                                         
 [9] "problematically basic storyline seems familiar two american teenage girls vacation sentenced spend lives thai prison drug smuggling obvious setup involving suave conman shadowy criminal conspiracy corrupt third world justice system "                    
[10] " girls alice claire danes darlene kate beckinsale "                                                                                                                                                                                                          
[11] "theyre lifelong buddies planned highschool graduation trip hawaii secretly changed destination exotic thailand without telling parents "                                                                                                                     
[12] " find hotel go sightseeing includes sneaking luxury hotel sip expensive drinks poolside "                                                                                                                                                                    
[13] " get caught trying charge bill wrong room minor transgression will later come back haunt saved hotel security charming friendly australian nick daniel lapaine takes care bill polished execution girls scam "                                               
[14] " proceeds separate girls make smooth moves first toward alice toward darlene "                                                                                                                                                                               
[15] " now alarm bells going among viewers "                                                                                                                                                                                                                       
[16] " everpresent nick slick stories dont add us girls course naive notice "                                                                                                                                                                                      
[17] "long happens anticipating inevitable disappearance fasttalking smuggler arrest teenaged sittingducks airport en route hong kong caught holding bag literally containing heroin "                                                                             
[18] "just predictably thai police courts part meting injustice trusting tourists prisonbound long stretch "                                                                                                                                                       
[19] "left unanswered red herring issue whether one girls willing accomplice "                                                                                                                                                                                     
[20] " need ready answer might suggest closer scrutiny bell hop girls fleabag hotel "                                                                                                                                                                              
[21] " one door another comfortable former life closed girls families turn desperation noiresque expatriate lawyerfixer yankee hank bill pullam thaiborn partnerwife "                                                                                             
[22] " recurring element movie tension appearance reality expressed one films tag lines trust hank exception although seasoned movie goers familiar pullmans oeuvre will find surprises "                                                                          
[23] "much remainder movie smorgasbord intriguing themes incompletely explored shorthand fashion "                                                                                                                                                                 
[24] "lou diamond phillips instance plays delightfully sinister callous dea agent appearing casually accommodating hank withholds vital information crucial moments "                                                                                              
[25] " part wider conspiracy "                                                                                                                                                                                                                                     
[26] " inherently powerful somewhat tired premise film offers parts riveting courtroom drama prison story potential character study american teens relationship constitutes friendship "                                                                           
[27] " result reasonably engaging suspenseful girls interaction hanks investigation various trials hearings offering hope release delivering tensionas foredoomed possibility escape "                                                                             
[28] " brokedown palace major flaw creators tendency like timeconstrained tourists take frequent side trips fascinating alleys reverse direction halfway return storys main avenue "                                                                               
[29] " brokedown palace wouldnt good movie "                                                                                                                                                                                                                       
[30] " believe writers director bigger game succeeded "                                                                                                                                                                                                            
[31] " main theme movie like proffered name location freedomin permutations "                                                                                                                                                                                      
[32] "ultimately subthemes may considered window dressing "                                                                                                                                                                                                        
[33] "young pretty alice danes old soul wild streetwise teenager thirst freedom adventure "                                                                                                                                                                        
[34] "presented perfect blend yin yang dark light cautious best friend darlene beckinsale "                                                                                                                                                                        
[35] "cleareyed straightforward alice complex friend "                                                                                                                                                                                                             
[36] " comes poorer background reputation getting trouble lost trust everyone including father "                                                                                                                                                                   
[37] "whereas darlenes life ontrack aimed college marriage kids career suburban home middle age fulfillment alices uncertain unfocused yearning "                                                                                                                  
[38] "one poignant scene film shows darlene shouting across open moat visitorsfriends relatives home whose lives continue limbo "                                                                                                                                  
[39] "tellingly alice present included "                                                                                                                                                                                                                           
