 [1] "scream titillating little scene lays unwritten law horror movie sequels quite well "                                                                                                                                                                                       
 [2] " filmclass discussion windsor college students articulate inevitable laws sequels never live originals "                                                                                                                                                                   
 [3] " rare exceptions noted left one "                                                                                                                                                                                                                                          
 [4] " "                                                                                                                                                                                                                                                                         
 [5] " "                                                                                                                                                                                                                                                                         
 [6] "scream "                                                                                                                                                                                                                                                                   
 [7] "s surprise horror blockbuster scream became instant hit developed obsessive coterie fans included almost every teenager america "                                                                                                                                          
 [8] " sequel unavoidable luckily reteaming writer kevin williamson director wes craven gives us nothing fear way lost entertainment "                                                                                                                                           
 [9] " fact risk sounding sacrilegious adorning fans scream say scream might even better film "                                                                                                                                                                                  
[10] "sidney prescott neve campbell sinuous heroine survived series murders woodsboro ca original scream now two years older college majoring theater "                                                                                                                          
[11] "meanwhile tv journalist gale weathers courtney cox covered murders first film since written book dreadful events book titled stab developed major motion picture "                                                                                                         
[12] " scream opens crowd overzealous teenagers piling crowded movie theater premiere stab long young couple butchered death unnoticed midst hysteria "                                                                                                                          
[13] " marks beginning new murder spree unknown copycat sets repeat whats done "                                                                                                                                                                                                 
[14] " "                                                                                                                                                                                                                                                                         
[15] " "                                                                                                                                                                                                                                                                         
[16] " finish hasnt "                                                                                                                                                                                                                                                            
[17] " course killer just obsessed movies killer first film yes movies play huge role bizarre psychological outlook murderer holds heshe goes slaying assortment gorgeous twenty year olds sequel without deviating original groundwork still given fresh outlook horror movies "
[18] " large part due williamsons deliciously written script will easily leave satisfied "                                                                                                                                                                                       
[19] " much film condemns use cliches riddled done effectively skillful direction craven youre bound complain "                                                                                                                                                                  
[20] " will note however whodunit "                                                                                                                                                                                                                                              
[21] " wind first person suspected believe kept changing mind tried stay one ahead movie "                                                                                                                                                                                       
[22] " actors outdo "                                                                                                                                                                                                                                                            
[23] " talking oscar performances cambell cox david arquette dewey riley jamie kennedy randy give surprisingly satisfying performances go beyond last outing "                                                                                                                   
[24] " characters remain true roots yet show clear sign development last two years "                                                                                                                                                                                             
[25] " can see events first film affected dont lose luster made delight watch first place "                                                                                                                                                                                      
[26] " nice thing scream doesnt seem offkilter predecessor "                                                                                                                                                                                                                     
[27] " natural smooth believable far horror films go transition film film "                                                                                                                                                                                                      
[28] " skip two years doesnt seem holes shortcuts taken connecting two flicks "                                                                                                                                                                                                  
[29] " flows well feel like youre reading chapter two book long chapters eh "                                                                                                                                                                                                    
[30] " just revitalizing cast familiar faces "                                                                                                                                                                                                                                   
[31] " main characters usually connection sequels scream s entire plot structure correlates completely first making immediate fondness absorption "                                                                                                                              
[32] " said scream easily lives surpassing precursor "                                                                                                                                                                                                                           
[33] " reason scream will likely hailed scream first "                                                                                                                                                                                                                           
[34] " doesnt mean overcasts unique whimsical humor overall caliber sequel just means scream will forever known movie mocked maintaining soughtafter qualities "                                                                                                                 
[35] " ever film followed original well scream makes definite mustsee unbridled scream fans "                                                                                                                                                                                    
[36] "scream fits snugly alongside scream will hopefully receive many high remarks "                                                                                                                                                                                             
[37] " top series quite well werent fact two movies dont really make series "                                                                                                                                                                                                    
[38] " unlikely assume scream wont appear next years decide turn undeniably acclaimed horrortrilogy lets hope can keep fantastic work "                                                                                                                                          
[39] "like say dont mess perfection "                                                                                                                                                                                                                                            
[40] " "                                                                                                                                                                                                                                                                         
[41] " "                                                                                                                                                                                                                                                                         
[42] " moneymaking smashhit almost guaranteed whos gonna listen "                                                                                                                                                                                                                
