 [1] "bob happy bastards quickie review "                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
 [2] " must admit doubts single new quite catchy "                                                                                                                                                                                                                                                                                                                                                                                                                                                             
 [3] " bouncy energetic enough get go see new film director doug limon man brought us humorous swingers little back "                                                                                                                                                                                                                                                                                                                                                                                          
 [4] " result "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
 [5] " movie thats just good song really "                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
 [6] " follows lives several individuals course one weekend "                                                                                                                                                                                                                                                                                                                                                                                                                                                  
 [7] "first hear grocery bagger sara polley runs monetary situation problem ends selling bogus drugs rave bad results drug dealer feels hes swindled comes story english grocery store worker store heads vegas weekend friends sex gunplay stolen car trouble come play see story two gay movie actors played scott wolf jay mohr deal cops strange insurance presentation hitting girl sara car finally come another grocery worker katie holmes strange fascination said drug dealer one mentioned earlier "
 [8] "really confusing keep track review format best bet just well go "                                                                                                                                                                                                                                                                                                                                                                                                                                        
 [9] " movie features good acting angles limon adds humorous energy swingers particular product "                                                                                                                                                                                                                                                                                                                                                                                                              
[10] " dialogue pretty snappy resolution pretty well realized going sappy happy ending dreaded bad ending "                                                                                                                                                                                                                                                                                                                                                                                                    
[11] "think well ending "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
[12] " intertwining stories particularly good element movie never really confusing tells different sides story like sliding doors kinda "                                                                                                                                                                                                                                                                                                                                                                      
[13] "however better suited younger generation want little spice flicks sliding doors kinda isnt "                                                                                                                                                                                                                                                                                                                                                                                                             
