 [1] "dora fernanda montenegro sits behind makeshift desk rios major train station "                                                         
 [2] " colorful demeanor offers service unheard states "                                                                                     
 [3] " writes letters illiterate pass try find lost relatives find love search lost debts "                                                  
 [4] "shes quirky shes elderly shes caring "                                                                                                 
 [5] "totally trustworthy right "                                                                                                            
 [6] " chance "                                                                                                                              
 [7] " home never sends letters saving money postage relishing drama contained therein neighbor irene mar lia p ra "                         
 [8] "one letters sent young mother nineyear old son looking father "                                                                        
 [9] "shortly thereafter gets hit bus son orphaned "                                                                                         
[10] "days go boy named josu roams around station hungry desperate somewhat clueless predictament "                                          
[11] " series circumstances precious elaborate upon dora somehow takes responsibility trying find josu s father "                            
[12] " means leaving security rio traveling outskirts brazil unpaved roads religious devotees povertystricken become commonplace "           
[13] "films like remind enjoy foreign films "                                                                                                
[14] " opportunity get fresh breath another part world distant "                                                                             
[15] " entertainingly heartwrenchingly "                                                                                                     
[16] " yet backdrop merely "                                                                                                                 
[17] " focus minute transformation dora learns love little kid without cloying sentimental "                                                 
[18] " interesting backdrop amount religious dedication film "                                                                               
[19] "dora amoral scamartist care less amount bickering candlelighting catholics versus bumpersticker mentality evangelicals "               
[20] " neither side trivialized "                                                                                                            
[21] " even begins develop affection nondrinking evangelical sees problems dora initially "                                                  
[22] "fernanda montenegro surprisingly got oscar nomination delicate performance true marvel vinicius de oliveira plays josu "               
[23] " like discoveries j r mie renier la promesse giorgio cantarini life beautiful prove true acting discoveries may outside united states "
[24] " natural never grating "                                                                                                               
[25] "send memo jonathan taylor thomas "                                                                                                     
