 [1] " remember hearing film first appeared cannes year ago picking grand jury prize festival "                                                                                                             
 [2] "holocaust comedy receives standing ovation headlines read "                                                                                                                                           
 [3] "intrigued statement looked information film found sure enough life beautiful fact comedy greatest atrocity last thousand years "                                                                      
 [4] "even though movie extremely wellreceived critics public alike couldnt help disgusted notion human tragedy something feel celebrated "                                                                 
 [5] " now see error ways "                                                                                                                                                                                 
 [6] " finally viewing film avoiding time became clear headlines proclaimed holocaust comedy contrary life beautiful even really depict graphic events took place nazi deathcamps "                         
 [7] "rather focuses relationship father son trying desperately shield horrors situation "                                                                                                                  
 [8] "roberto benigni also wrote directed movie stars guido orefice chaplininspired clown round jolly guy film opens vying affections attractive school teacher nicoletta braschi benigni real life spouse "
 [9] " course first hour see guido striving get attention beautiful princess calls "                                                                                                                        
[10] "employing magic laughter italian comedian wins heart together raise young boy named giosue child actor giorgio cantarini "                                                                            
[11] "life treats well hitlers minions rise power family whisked away german camp guido becomes convinced must upholds sons innocence matter sacrifice "                                                    
[12] "granted contains uproariously funny moments concentration camp pull hogans heros make light slaughtering six million innocent jews "                                                                  
[13] "somehow achieves hilarity without disrespecting gravely serious subject "                                                                                                                             
[14] " weve established life beautiful holocaust comedy "                                                                                                                                                   
[15] " another complete misrepresentation material really disturbs "                                                                                                                                        
[16] " film despite critics declarations triumph human spirit thing eyes anyway "                                                                                                                           
[17] " called story affirmation beauty life say dark bleak statement mans capability denial masquerading endearing comedy "                                                                                 
[18] " films ending recognized entirely uplifting moment film released recently found truly discerning upsetting "                                                                                          
[19] "essentially life beautiful quite possibly greatest hoax history film "                                                                                                                                
[20] "however denying movies greatness "                                                                                                                                                                    
[21] "believe fantastic "                                                                                                                                                                                   
[22] "im just saying think benigni something different people interpreting "                                                                                                                                
[23] " perhaps im reading movie really "                                                                                                                                                                    
[24] "maybe films brilliance relies idea viewer can interpret meaning way see fit "                                                                                                                         
[25] " fact maybe roberto benigni made film sole argument old saying get movie exactly put "                                                                                                                
