 [1] " often laugh hard movie head hurts "                                                                                                                           
 [2] " thats just happened uhf weird al yankovics big screen debut "                                                                                                 
 [3] "uhf television parody la airplane like airplane movie extraordinarily stupid "                                                                                 
 [4] " dumb best way movie can dumb silly outrageous hilarious "                                                                                                     
 [5] " movie stars weird al george newman world class nerd hyperactive imagination type fantasizes hes indiana jones uses hostess twinkies hot dog buns "            
 [6] "george basically loser daydreams smartalec attitude perpetually prevent holding onto job two weeks "                                                           
 [7] " george finally gets chance funnel creativity something productive uncle wins channel poker game makes general manager struggling uhf television station "     
 [8] "george revives channel innovative programming shows like wheel fish movies like conan librarian "                                                              
 [9] " stations ratings rise comes competition channel leading vhf networkaffiliate "                                                                                
[10] " r j "                                                                                                                                                         
[11] "fletcherchannel s illnatured hardnosed ownerveteran stage film actor kevin mccarthy flamboyantly sleazy really hams snorts grimaces scowls "                   
[12] "uhf satirizes anything everything television including game shows tabloid talk shows childrens shows dizzy news women movieseverything rambo close encounters "
[13] " funniest scene one made head spin commercial spatulas seen believed "                                                                                         
[14] "like movies genre uhf hit miss "                                                                                                                               
[15] " every gag works least one fizzles "                                                                                                                           
[16] " instance weird als mock video money nothing dire straits mildly amusing brings film grinding halt although nifty computer animation "                         
[17] " funniest bits uhf hysterical can forgive ones fail know another gut wrencher way "                                                                            
[18] " fact uhf hits mark often enough make effective airplanetype movie since "                                                                                     
[19] "well since airplane "                                                                                                                                          
[20] "much credit goes weird als exceptionally inventive script movies winsome cast "                                                                                
[21] "weird al seems little stiff beginning hes afraid look silly ultimately lot fun character "                                                                     
[22] " real standout michael richards stanley dimwitted janitor becomes host childrens show stanley spadowskis playhouse "                                           
[23] "stanleys offbeat mixedup personality big hit audience makes overnight star "                                                                                   
[24] " endearing mixture goodnatured innocence highenergy enthusiasm puppydog cuteness "                                                                             
[25] " hes good janitor adores work "                                                                                                                                
[26] "another highlight vintage cameo incomparable emo philips "                                                                                                     
[27] " cast also features gedde watanabe chinese foreignexchange student sixteen candles karate master hosts hit series wheel fish "                                 
[28] "also aboard ride fran drescher plays pamela finklestein channel s roving reporter "                                                                            
[29] "unfortunately weird als girlfriend victoria jackson wasted role calls nothing whimpering whining sulking "                                                     
[30] " character extraneous either integrated story cut script altogether "                                                                                          
[31] " uhf absolute mustsee definitely ticket youre looking wild zany whackedout comedy "                                                                            
[32] " movie good enough see theaters may work even better television medium pokes fun "                                                                             
