 [1] "brian depalma needs hit really badly "                                                                                                                                             
 [2] "since scoring big untouchables depalma seen casualties war raising cain particularly disastrous bonfire vanities go flames "                                                       
 [3] "consequently easy enough consider carlitos way shrewd commercial choice depalma reteaming al pacino scarface returning gangland ground yielded two greatest box office successes " 
 [4] " doesnt hurt latched solid story brought dynamite performances pacino sean penn "                                                                                                  
 [5] "carlitos way hampered depalmas characteristic excesses stylistic cannibalism truly tense engrossing drama "                                                                        
 [6] "carlito brigante pacino lifelong criminal finds unexpectedly given second chance "                                                                                                 
 [7] " carlito released prison serving five years thirty year sentence conviction overturned technicality "                                                                              
 [8] " declares reformed tired life streets determined fulfill simple dream buying rental car business bahamas "                                                                         
 [9] "among find conversion hard believe david kleinfeld penn carlitos crooked attorney childhood friend bodyguard pachanga luis guzman "                                                
[10] "carlito rediscovers old flame gail penelope ann miller seems ready retire peace "                                                                                                  
[11] "old ways die hard though old associates pull carlito step step back life cant seem shake "                                                                                         
[12] "carlitos way will probably make strongest impression two outstanding set pieces bracket film "                                                                                     
[13] " first carlito accompanies young cousin drug buy will anyone pulse edge seat film closes equally thrilling chase new york subway grand central station "                           
[14] " highlight depalmas gift choreographed mayhem occasions stage blood flows freely "                                                                                                 
[15] "yet viscera found character study even compelling "                                                                                                                                
[16] "carlito brigante lot michael corleone aging gangster trying unsuccessfully go legit "                                                                                              
[17] " culmination godfather saga played like opera theres immediacy carlitos way everpresent sense doom launched title sequence sets flashback story motion "                           
[18] " sense theres way many years carlito can stay trouble "                                                                                                                            
[19] "indeed observes attempt straight life function time change heart dont get reformed just run wind "                                                                                 
[20] "pacino captures carlitos dilemma surprising subtlety cautious observation borne years experience watching every corner enemy "                                                     
[21] "sean penn even better turning best performance date kleinfeld "                                                                                                                    
[22] " jew world puerto rican italian wiseguys kleinfeld outsider huge chip shoulder "                                                                                                   
[23] " simply pathetic heavy drinker cocaine addict playing tough guys way league penn invests kleinfeld tremendous nervous energy overwhelming survival instinct "                      
[24] " shows man moving steadily towards brink making moment goes quite jolting "                                                                                                        
[25] " compelling narrative viewers may experience profound sense deja vu "                                                                                                              
[26] "depalma continues steal shamelessly directors time adding scorsese repertoire point view tracking shot copacabana scene passing resemblances goodfellas "                          
[27] " even recycles previous plagiarisms like degree swing around kiss vertigo via body double climactic shootout will strike many far reminiscent train station sequence untouchables "
[28] " story standpoint theres obligatory love story cliched longsuffering girlfriend character "                                                                                        
[29] "penelope ann miller good limited actor doesnt anything new role eventually becomes just distraction never integrated fully enough story "                                          
[30] "still easier forgiving superficial flaws backbone solid "                                                                                                                          
[31] " two principle characters held iron grip attention one cinematic thievery world couldnt break "                                                                                    
[32] "carlitos way plays like tragic novel deliberate confident powerful "                                                                                                               
[33] " willing grant depalma tendencies towards extreme find well rewarded "                                                                                                             
