 [1] "plot dude brother driving crosscountry decide fool around trucker cb radio "                                                                                                                                                                                                   
 [2] " isnt long little prank gets someone put coma long story next thing know trucker following "                                                                                                                                                                                   
 [3] "lotsa nuttiness ensues pick friend venna girl dude crush "                                                                                                                                                                                                                     
 [4] " whats "                                                                                                                                                                                                                                                                       
 [5] " trucker still tail now harassing three young whippersnappers "                                                                                                                                                                                                                
 [6] " bet "                                                                                                                                                                                                                                                                         
 [7] "buckle dorothy gonna one bumpy ride "                                                                                                                                                                                                                                          
 [8] "critique good ol time movies "                                                                                                                                                                                                                                                 
 [9] "heres film actually gives away plotline trailer doesnt really bring anything new forefront youve seen flicks like duel breakdown youve crossed path still manages entertain gangbusters realistic situations believable characters funny moments thrills chills whole shebang "
[10] "lets give director john dahl continues put solid films every year havent seen red rock west favor right now jot piece paper rent earliest convenience "                                                                                                                        
[11] " much like film one excellent premise sets everything even pace "                                                                                                                                                                                                              
[12] " gives little bit background main three characters shows one small prank can lead whole lotta trouble everyone "                                                                                                                                                               
[13] "paul walker really surprised movie since ive never much thought anything pretty face damn ever pretty "                                                                                                                                                                        
[14] " actually manages put depth behind looks thats always appreciated films closely tied main characters "                                                                                                                                                                         
[15] "sobieski also good isnt movie long youd think man really takes film another level steve zahn "                                                                                                                                                                                 
[16] " youve loved guy goofball previous roles youll appreciate even dude starts one manic excited human beings ive seen quite time awesome "                                                                                                                                        
[17] " turn man scared wits end flick "                                                                                                                                                                                                                                              
[18] " speaking ending boy movie deliver chilling moments final clicks "                                                                                                                                                                                                             
[19] " arrow practically others arms well maybe im exaggerating catch drift minute brought another turn events turn took even higher level "                                                                                                                                         
[20] " kudos director dahl able generate type intensity suspense tension great score editing style camerawork "                                                                                                                                                                      
[21] "plotwise wonder bad guy able track well didnt really bother much can assume bugged car "                                                                                                                                                                                       
[22] " pretty much everything else story stuck like glue couldnt help put shoes appreciate thoroughly desperate circumstance "                                                                                                                                                       
[23] " great movie even cooler ending film will likely remembered one better thrillers year "                                                                                                                                                                                        
[24] " amazing "                                                                                                                                                                                                                                                                     
[25] "wheres joblo coming "                                                                                                                                                                                                                                                          
[26] "american psycho deep blue sea eye beholder fast furious final destination glass house way "                                                                                                                                                                                    
